"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Taste Receptor Cells","2/115",0.0335613506578561,0.383535860612727,0,0,7.31452802359882,24.8282887455063,"B3GAT1;SLC4A10"
"Pulmonary Vascular Smooth Muscle Cells","1/99",0.2199671313012,0.383535860612727,0,0,4.13411078717201,6.26018948804807,"CD248"
"Myofibroblasts","1/100",0.221926911560385,0.383535860612727,0,0,4.09214594928881,6.16034588762116,"GFAP"
"Purkinje Fiber Cells","1/102",0.225832006978328,0.383535860612727,0,0,4.01070923418872,5.96779050603106,"B3GAT1"
"Juxtaglomerular Cells","1/103",0.22777734539855,0.383535860612727,0,0,3.97118847539016,5.87492334394335,"CD248"
"Decidual Cells","1/106",0.23358466235033,0.383535860612727,0,0,3.85714285714286,5.60909836773195,"ZNF683"
"Merkel Cells","1/111",0.243168553227101,0.383535860612727,0,0,3.6808905380334,5.20478084558139,"TMEM37"
"Enteric Glia Cells","1/111",0.243168553227101,0.383535860612727,0,0,3.6808905380334,5.20478084558139,"GFAP"
"Pancreatic Stellate Cells","1/111",0.243168553227101,0.383535860612727,0,0,3.6808905380334,5.20478084558139,"CD248"
"Endothelial Cells (Blood Brain Barrier)","1/113",0.246969136476027,0.383535860612727,0,0,3.61479591836735,5.05526282536401,"GFAP"
"GABAergic Neurons","1/113",0.246969136476027,0.383535860612727,0,0,3.61479591836735,5.05526282536401,"GFAP"
"Hepatoblasts","1/114",0.248862407858827,0.383535860612727,0,0,3.58262597074228,4.98291365340615,"TMEM37"
"Radial Glia Cells","1/114",0.248862407858827,0.383535860612727,0,0,3.58262597074228,4.98291365340615,"GFAP"
"Satellite Glial Cells","1/114",0.248862407858827,0.383535860612727,0,0,3.58262597074228,4.98291365340615,"GFAP"
"Choroid Plexus Cells","1/117",0.254514276411869,0.383535860612727,0,0,3.48944405348346,4.77494948047232,"SLC4A10"
"Neuroendocrine Cells","1/123",0.265693266376988,0.383535860612727,0,0,3.31682837069254,4.39616667672928,"GFAP"
"Stromal Cells","1/124",0.267540390273413,0.383535860612727,0,0,3.28969636635142,4.33741443316037,"CD248"
"Luteal Cells","1/125",0.269382960523102,0.383535860612727,0,0,3.26300197498354,4.2798227837863,"GPT2"
"Oligodendrocyte Progenitor Cells","1/125",0.269382960523102,0.383535860612727,0,0,3.26300197498354,4.2798227837863,"GFAP"
"Pyramidal Cells","1/130",0.278527890347267,0.383535860612727,0,0,3.13573801613669,4.00821660462478,"GFAP"
"Hepatic Stellate Cells","1/132",0.282154369399051,0.383535860612727,0,0,3.08755257828322,3.90668320615816,"GFAP"
"Bergmann Glia","1/132",0.282154369399051,0.383535860612727,0,0,3.08755257828322,3.90668320615816,"GFAP"
"Ductal Cells","1/132",0.282154369399051,0.383535860612727,0,0,3.08755257828322,3.90668320615816,"TMEM37"
"Paneth Cells","1/132",0.282154369399051,0.383535860612727,0,0,3.08755257828322,3.90668320615816,"DEFA1"
"Ependymal Cells","1/136",0.289353816496661,0.383535860612727,0,0,2.99546485260771,3.71469112422295,"GFAP"
"Schwann Cells","1/138",0.292926956612449,0.383535860612727,0,0,2.95143750931029,3.62386940777819,"GFAP"
"Epsilon Cells","1/138",0.292926956612449,0.383535860612727,0,0,2.95143750931029,3.62386940777819,"ADAMTS6"
"Gamma Delta T Cells","1/146",0.307044282279795,0.383535860612727,0,0,2.78747361013371,3.29134653812698,"FGFBP2"
"Neutrophils","1/151",0.315726944068307,0.383535860612727,0,0,2.69387755102041,3.10571092406925,"DEFA1"
"Neural Stem/Precursor Cells","1/152",0.317450637880715,0.383535860612727,0,0,2.67590214893905,3.07041828055456,"GFAP"
"Erythroid-like And Erythroid Precursor Cells","1/153",0.319170076285828,0.383535860612727,0,0,2.65816326530612,3.0357052873752,"DEFA1"
"Astrocytes","1/154",0.320885269622271,0.383535860612727,0,0,2.640656262505,3.00155907202735,"GFAP"
"Pericytes","1/155",0.322596228121901,0.383535860612727,0,0,2.62337662337662,2.96796712606432,"CD248"
"NK Cells","1/157",0.326005481520818,0.383535860612727,0,0,2.5894819466248,2.90239775017796,"FGFBP2"
"Retinal Ganglion Cells","1/164",0.337805969121272,0.386063964710025,0,0,2.47740077626142,2.68868244347541,"RNU1-1"
"Oligodendrocytes","1/178",0.360802714392248,0.397003458123746,0,0,2.2798339674853,2.32411738851616,"GFAP"
"B Cells","1/182",0.367228198764465,0.397003458123746,0,0,2.22899988724772,2.23294929425324,"B3GAT1"
"Fibroblasts","1/232",0.442397614703089,0.465681699687462,0,0,1.74211502782931,1.42077532663727,"CD248"
"Neurons","1/289",0.517449151191336,0.53071707814496,0,0,1.39328231292517,0.917955716193949,"BEX1"
"Interneurons","1/305",0.536673089945879,0.536673089945879,0,0,1.31887755102041,0.820824731748361,"KCNQ5"
