"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Hypoxia response via HIF activation Homo sapiens P00030","1/24",0.05833855301301,0.22860530192061,0,0,17.681455190772,50.2417155506286,"PIK3R3"
"Axon guidance mediated by netrin Homo sapiens P00009","1/30",0.0723939657090184,0.22860530192061,0,0,14.0190007037298,36.8087414767415,"PIK3R3"
"Insulin/IGF pathway-protein kinase B signaling cascade Homo sapiens P00033","1/34",0.0816498044624026,0.22860530192061,0,0,12.317254174397,30.8586121657323,"PIK3R3"
"PI3 kinase pathway Homo sapiens P00048","1/42",0.0998907694703361,0.22860530192061,0,0,9.90990542558487,22.8292310643337,"PIK3R3"
"p53 pathway feedback loops 2 Homo sapiens P04398","1/45",0.106639187352935,0.22860530192061,0,0,9.23283858998145,20.665901611884,"PIK3R3"
"VEGF signaling pathway Homo sapiens P00056","1/54",0.126588324068776,0.22860530192061,0,0,7.66153253754332,15.8349703751844,"PIK3R3"
"p53 pathway Homo sapiens P00059","1/71",0.16308595979881,0.22860530192061,0,0,5.79591836734694,10.5107696169887,"PIK3R3"
"T cell activation Homo sapiens P00053","1/73",0.167280269123171,0.22860530192061,0,0,5.6343537414966,10.0747012408884,"PIK3R3"
"Endothelin signaling pathway Homo sapiens P00019","1/75",0.171453976440458,0.22860530192061,0,0,5.4815223386652,9.66633798573148,"PIK3R3"
"PDGF signaling pathway Homo sapiens P00047","1/112",0.2450711886959,0.29408542643508,0,0,3.64754550468836,5.1292023601924,"PIK3R3"
"Angiogenesis Homo sapiens P00005","1/142",0.3000204969827,0.324302961975654,0,0,2.86712983065567,3.45175045757094,"PIK3R3"
"Integrin signalling pathway Homo sapiens P00034","1/156",0.324302961975654,0.324302961975654,0,0,2.60631994733377,2.93491729206467,"PIK3R3"
