"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Defensin 1","1/6",0.0149082847993736,0.122244051860966,0,0,81.4081632653061,342.389562344484,"DEFA1"
"TMC","1/8",0.0198291614511851,0.122244051860966,0,0,58.1428571428571,227.954980151296,"TMC1"
"Band 3 cyto","1/9",0.0222805591236868,0.122244051860966,0,0,50.8724489795918,193.520869933163,"SLC4A10"
"PLAC","1/11",0.0271653448579924,0.122244051860966,0,0,40.6938775510204,146.734521000359,"ADAMTS6"
"Aminotran 1 2","1/17",0.0416766547912335,0.132223484795078,0,0,25.4260204081633,80.799167280865,"GPT2"
"GRAM","1/18",0.0440744949316927,0.132223484795078,0,0,23.9291716686675,74.7038591145848,"GRAMD4"
"Metallophos","1/28",0.0677318256109869,0.174167551571109,0,0,15.0589569160998,40.5417104352724,"MPPED2"
"Reprolysin","1/38",0.0908151166313485,0.204334012420534,0,0,10.9834528405957,26.3485293003408,"ADAMTS6"
"VWA","1/47",0.111110560303655,0.222221120607311,0,0,8.83052351375333,19.4026870705364,"CACHD1"
"TSP 1","1/56",0.130961819814475,0.228509219541994,0,0,7.3821892393321,15.0068793354093,"ADAMTS6"
"BACK","1/60",0.139644523053441,0.228509219541994,0,0,6.88031822898651,13.544974303559,"KLHL4"
"Lectin C","1/85",0.192016936645131,0.288025404967696,0,0,4.8265306122449,7.96460422141435,"CD248"
"SH2","1/100",0.221926911560385,0.304475947091005,0,0,4.09214594928881,6.16034588762116,"PIK3R3"
"PDZ","1/117",0.254514276411869,0.304475947091005,0,0,3.48944405348346,4.77494948047232,"SNTG2"
"BTB","1/129",0.27670792410592,0.304475947091005,0,0,3.16039540816327,4.06045312240468,"KLHL4"
"I-set","1/134",0.285762982719773,0.304475947091005,0,0,3.04081632653061,3.80890385676326,"LRRN3"
"fn3","1/135",0.287560616697061,0.304475947091005,0,0,3.01797136765154,3.76136290453997,"LRRN3"
"zf-C2H2","1/675",0.820713555680428,0.820713555680428,0,0,0.583661357718161,0.115320468999178,"ZNF683"
