"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Aminotrans I/II","1/18",0.0440744949316927,0.278293867105759,0,0,23.9291716686675,74.7038591145848,"GPT2"
"GRAM","1/21",0.0512327930672156,0.278293867105759,0,0,20.3367346938776,60.4280744540867,"GRAMD4"
"M-pesterase","1/27",0.0653921522588676,0.278293867105759,0,0,15.6389324960754,42.6528898315632,"MPPED2"
"RabGAP TBC","1/39",0.0930924017046572,0.278293867105759,0,0,10.6938775510204,25.3890053323137,"TBC1D3G"
"LRR C","1/40",0.0953640965755272,0.278293867105759,0,0,10.4191522762951,24.4855612889518,"LRRN3"
"VWF A","1/49",0.115559999022241,0.278293867105759,0,0,8.46173469387755,18.2601307935979,"CACHD1"
"BACK","1/54",0.126588324068776,0.278293867105759,0,0,7.66153253754332,15.8349703751844,"KLHL4"
"LRR cys N","1/56",0.130961819814475,0.278293867105759,0,0,7.3821892393321,15.0068793354093,"LRRN3"
"EGF Ca bd 2","1/68",0.156755649080656,0.296094003819017,0,0,6.05635089856838,11.2228243619718,"CD248"
"Lectin C","1/77",0.17560718091187,0.298532207550179,0,0,5.33673469387755,9.28328044629381,"CD248"
"Ion trans","1/106",0.23358466235033,0.321822357727575,0,0,3.85714285714286,5.60909836773195,"KCNQ5"
"BTB POZ","1/116",0.252634966589978,0.321822357727575,0,0,3.51996450754215,4.84280114390583,"KLHL4"
"Ig I-set","1/126",0.271220988057227,0.321822357727575,0,0,3.23673469387755,4.22336048857463,"LRRN3"
"PDZ","1/131",0.280343368498395,0.321822357727575,0,0,3.11145996860283,3.95696844602525,"SNTG2"
"EGF like","1/133",0.283960903877272,0.321822357727575,0,0,3.06400742115028,3.85733627834156,"CD248"
"FN III","1/151",0.315726944068307,0.335459878072577,0,0,2.69387755102041,3.10571092406925,"LRRN3"
"Znf C2H2","1/594",0.778951247750902,0.778951247750902,0,0,0.666173383349967,0.166414653256203,"ZNF683"
