"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Arterial embolism and thrombosis","2/22",0.001370383663162,0.0575561138528041,0,0,41.5208333333333,273.732925265883,"SNTG2;SLC4A10"
"Acute dermatitis due to solar radiation","1/7",0.017371741450284,0.068897628449064,0,0,67.8367346938775,274.936210768444,"GRAMD4"
"Neoplasm of uncertain behavior of breast","1/12",0.0295987615689071,0.068897628449064,0,0,36.9925788497217,130.214719406514,"B3GAT1"
"Conduct disorders","1/13",0.032026213248763,0.068897628449064,0,0,33.9081632653061,116.684789992962,"KLHL4"
"Nerve plexus lesions","1/14",0.0344477141698712,0.068897628449064,0,0,31.298273155416,105.422368949113,"KCNQ5"
"Contracture of palmar fascia [Dupuytren's disease]","1/15",0.0368632785936063,0.068897628449064,0,0,29.0612244897959,95.9177159613371,"SNTG2"
"Contracture of joint","1/16",0.0392729207344652,0.068897628449064,0,0,27.1224489795918,87.8013353011642,"ADAMTS6"
"Muscle/tendon sprain","1/16",0.0392729207344652,0.068897628449064,0,0,27.1224489795918,87.8013353011642,"SNTG2"
"Acute and chronic tonsillitis","1/17",0.0416766547912335,0.068897628449064,0,0,25.4260204081633,80.799167280865,"KLHL4"
"Absent or infrequent menstruation","1/18",0.0440744949316927,0.068897628449064,0,0,23.9291716686675,74.7038591145848,"VMO1"
"Attention deficit hyperactivity disorder","1/18",0.0440744949316927,0.068897628449064,0,0,23.9291716686675,74.7038591145848,"KLHL4"
"Erythematous conditions","1/19",0.0464664552952436,0.068897628449064,0,0,22.5986394557823,69.3557808280063,"CACHD1"
"Abdominal hernia","1/19",0.0464664552952436,0.068897628449064,0,0,22.5986394557823,69.3557808280063,"KCNQ5"
"Other infectious and parasitic diseases","1/19",0.0464664552952436,0.068897628449064,0,0,22.5986394557823,69.3557808280063,"SNTG2"
"Tinnitus","1/19",0.0464664552952436,0.068897628449064,0,0,22.5986394557823,69.3557808280063,"ODF3"
"Benign neoplasm of unspecified sites","1/19",0.0464664552952436,0.068897628449064,0,0,22.5986394557823,69.3557808280063,"KLHL4"
"Other cerebral degenerations","1/19",0.0464664552952436,0.068897628449064,0,0,22.5986394557823,69.3557808280063,"ADAMTS6"
"Migraine with aura","1/19",0.0464664552952436,0.068897628449064,0,0,22.5986394557823,69.3557808280063,"B3GAT1"
"Other disorders of soft tissues","1/19",0.0464664552952436,0.068897628449064,0,0,22.5986394557823,69.3557808280063,"SNTG2"
"Symptoms involving cardiovascular system","1/19",0.0464664552952436,0.068897628449064,0,0,22.5986394557823,69.3557808280063,"GRAMD4"
"Pleurisy; pleural effusion","1/20",0.0488525499820278,0.068897628449064,0,0,21.4081632653061,64.6301466936404,"ZNF683"
"Rhesus isoimmunization in pregnancy","1/20",0.0488525499820278,0.068897628449064,0,0,21.4081632653061,64.6301466936404,"B3GAT1"
"Other disorders of biliary tract","1/20",0.0488525499820278,0.068897628449064,0,0,21.4081632653061,64.6301466936404,"FGFBP2"
"Asthma with exacerbation","1/20",0.0488525499820278,0.068897628449064,0,0,21.4081632653061,64.6301466936404,"KLHL4"
"Neutropenia","1/21",0.0512327930672156,0.068897628449064,0,0,20.3367346938776,60.4280744540867,"KLHL4"
"Inflammatory disease of cervix, vagina, and vulva","1/21",0.0512327930672156,0.068897628449064,0,0,20.3367346938776,60.4280744540867,"KCNQ5"
"Cerebral aneurysm","1/21",0.0512327930672156,0.068897628449064,0,0,20.3367346938776,60.4280744540867,"ODF3"
"Other specified erythematous conditions","1/21",0.0512327930672156,0.068897628449064,0,0,20.3367346938776,60.4280744540867,"BEX1"
"Vaginitis and vulvovaginitis","1/21",0.0512327930672156,0.068897628449064,0,0,20.3367346938776,60.4280744540867,"KCNQ5"
"Phlebitis and thrombophlebitis of lower extremities","1/22",0.0536071985992548,0.068897628449064,0,0,19.3673469387755,56.6702499978695,"KLHL4"
"Other disorders of the kidney and ureters","1/22",0.0536071985992548,0.068897628449064,0,0,19.3673469387755,56.6702499978695,"B3GAT1"
"Sinoatrial node dysfunction (Bradycardia)","1/24",0.05833855301301,0.068897628449064,0,0,17.681455190772,50.2417155506286,"PIK3R3"
"Rosacea","1/24",0.05833855301301,0.068897628449064,0,0,17.681455190772,50.2417155506286,"GRAMD4"
"Poisoning by other anti-infectives","1/25",0.0606955298241754,0.068897628449064,0,0,16.9438775510204,47.4748002047703,"KLHL4"
"Open wound of foot except toe(s) alone","1/25",0.0606955298241754,0.068897628449064,0,0,16.9438775510204,47.4748002047703,"KLHL4"
"Ovarian dysfunction","1/25",0.0606955298241754,0.068897628449064,0,0,16.9438775510204,47.4748002047703,"GRAMD4"
"Urinary tract infection","1/25",0.0606955298241754,0.068897628449064,0,0,16.9438775510204,47.4748002047703,"GRAMD4"
"Disorders of sacrum","1/27",0.0653921522588676,0.0693838213575963,0,0,15.6389324960754,42.6528898315632,"MPPED2"
"Pyelonephritis","1/27",0.0653921522588676,0.0693838213575963,0,0,15.6389324960754,42.6528898315632,"ODF3"
"Other acquired deformities of limbs","1/28",0.0677318256109869,0.0693838213575963,0,0,15.0589569160998,40.5417104352724,"SNTG2"
"Cancer of other male genital organs","1/28",0.0677318256109869,0.0693838213575963,0,0,15.0589569160998,40.5417104352724,"DEFA1"
"Diabetes mellitus","1/41",0.0976302146847682,0.0976302146847682,0,0,10.1581632653061,23.6336602002892,"TBC1D3G"
