"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Hernia, Inguinal","1/7",0.017371741450284,0.472605849231293,0,0,67.8367346938775,274.936210768444,"ADAMTS6"
"Osteosarcoma","1/9",0.0222805591236868,0.472605849231293,0,0,50.8724489795918,193.520869933163,"ADAMTS6"
"Circadian Rhythm","2/121",0.0368223679095263,0.472605849231293,0,0,6.94362745098039,22.9254261488969,"MPPED2;CD248"
"Education","3/307",0.0413465811083513,0.472605849231293,0,0,4.125,13.1412828636865,"SLC4A10;KCNQ5;CD248"
"Everolimus","1/21",0.0512327930672156,0.472605849231293,0,0,20.3367346938776,60.4280744540867,"KCNQ5"
"Citalopram","2/163",0.0627088733106241,0.472605849231293,0,0,5.1213768115942,14.1823846235064,"ZNF683;KLHL4"
"Bupropion","1/32",0.0770332554327669,0.472605849231293,0,0,13.1132323897301,33.6160080774025,"ADAMTS6"
"Refractive Errors","1/32",0.0770332554327669,0.472605849231293,0,0,13.1132323897301,33.6160080774025,"KCNQ5"
"Bilirubin","2/190",0.0817755293827745,0.472605849231293,0,0,4.37987588652482,10.9662335233517,"CACHD1;PIK3R3"
"Atrial Natriuretic Factor","1/37",0.0885322278902677,0.472605849231293,0,0,11.2891156462585,27.3692036867235,"ZNF683"
"Refraction, Ocular","1/37",0.0885322278902677,0.472605849231293,0,0,11.2891156462585,27.3692036867235,"KCNQ5"
"Mental Disorders","2/200",0.0892414542606553,0.472605849231293,0,0,4.15656565656566,10.0439652116179,"OGFRP1;ADAMTS6"
"Biomarkers","1/39",0.0930924017046572,0.472605849231293,0,0,10.6938775510204,25.3890053323137,"MPPED2"
"HIV","1/40",0.0953640965755272,0.472605849231293,0,0,10.4191522762951,24.4855612889518,"KCNQ5"
"Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis","1/41",0.0976302146847682,0.472605849231293,0,0,10.1581632653061,23.6336602002892,"KLHL4"
"Eosinophils","2/213",0.0992375896055413,0.472605849231293,0,0,3.89790679304897,9.00509398796859,"SNTG2;MPPED2"
"Fertility","1/42",0.0998907694703361,0.472605849231293,0,0,9.90990542558487,22.8292310643337,"SLC4A10"
"Endometriosis","1/43",0.102145774279416,0.472605849231293,0,0,9.6734693877551,22.0686112387857,"DEFA1"
"Anger","1/45",0.106639187352935,0.472605849231293,0,0,9.23283858998145,20.665901611884,"MPPED2"
"Fantasy","1/47",0.111110560303655,0.472605849231293,0,0,8.83052351375333,19.4026870705364,"FGFBP2"
"Factor VII","1/49",0.115559999022241,0.472605849231293,0,0,8.46173469387755,18.2601307935979,"KLHL4"
"Migraine Disorders","2/235",0.116823917787511,0.472605849231293,0,0,3.52592989985694,7.57047985157345,"LRRN3;MPPED2"
"Calcium","2/251",0.13007704380733,0.485398745105909,0,0,3.29668674698795,6.72401578121241,"KCNQ5;ADAMTS6"
"Corneal Topography","1/59",0.137481851045255,0.485398745105909,0,0,6.99929627023223,13.8884471557023,"ADAMTS6"
"Reverse Transcriptase Inhibitors","1/61",0.141801880592737,0.485398745105909,0,0,6.76530612244898,13.2148375405932,"POLR3G"
"Creatine Kinase","1/61",0.141801880592737,0.485398745105909,0,0,6.76530612244898,13.2148375405932,"ADAMTS6"
"Gestational Age","1/68",0.156755649080656,0.500505186968762,0,0,6.05635089856838,11.2228243619718,"ADAMTS6"
"Myopia","1/69",0.158870948881139,0.500505186968762,0,0,5.96698679471789,10.9772451176002,"KCNQ5"
"Maximal Midexpiratory Flow Rate","1/71",0.16308595979881,0.500505186968762,0,0,5.79591836734694,10.5107696169887,"IMPDH1P8"
"Memory","1/95",0.21207952058325,0.606387525813823,0,0,4.31089882761615,6.68531593969729,"B3GAT1"
"Magnesium","1/97",0.216033047281136,0.606387525813823,0,0,4.22066326530612,6.46742313757927,"MPPED2"
