"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Colon VACO 4A PDB:201062 VACO 4A CRC65","2/493",0.350213485881432,0.994763717779234,0,0,1.65130685675492,1.7325715490469,"GPT2;GRAMD4"
"Melanoma A-375 BTO:0002806 4hrs 50cm 400to1200 ","1/201",0.396895001064828,0.994763717779234,0,0,2.01530612244898,1.86231116386419,"POLR3G"
"Lymphoblastoid BTO:0000773 X126.126 HM46.GM12878","1/204",0.401452901059541,0.994763717779234,0,0,1.98522167487685,1.81184245886508,"SLC25A20"
"Lymphoblastoid BTO:0000773 X127.126 HM46.GM12234","1/204",0.401452901059541,0.994763717779234,0,0,1.98522167487685,1.81184245886508,"SLC25A20"
"Lymphoblastoid BTO:0000773 X128.126 HM46.GM12761","1/204",0.401452901059541,0.994763717779234,0,0,1.98522167487685,1.81184245886508,"SLC25A20"
"Lymphoblastoid BTO:0000773 X129.126 HM46.GM18507","1/204",0.401452901059541,0.994763717779234,0,0,1.98522167487685,1.81184245886508,"SLC25A20"
"Lymphoblastoid BTO:0000773 X130.126 HM46.GM18502","1/204",0.401452901059541,0.994763717779234,0,0,1.98522167487685,1.81184245886508,"SLC25A20"
"Lymphoblastoid BTO:0000773 X131.126 HM46.GM12891","1/204",0.401452901059541,0.994763717779234,0,0,1.98522167487685,1.81184245886508,"SLC25A20"
"Neuroblastoma SK-N-BE BTO:0002696 24h P003962-1","1/215",0.417878205464447,0.994763717779234,0,0,1.88212855235552,1.64227999604279,"GRAMD4"
"Neuroblastoma SK-N-BE BTO:0002696 24h P003962-2","1/217",0.420816794239308,0.994763717779234,0,0,1.86451247165533,1.61384314167217,"GRAMD4"
"Neuroblastoma SK-N-BE BTO:0002696 12h P003961-2","1/236",0.448018125342039,0.994763717779234,0,0,1.71211463308728,1.37469380180475,"GRAMD4"
"Neuroblastoma SK-N-BE BTO:0002696 12h P003961-1","1/238",0.45080752247898,0.994763717779234,0,0,1.69749418754844,1.35241875911127,"GRAMD4"
"Embryonic stem hES H1 PDB:200035 8plex protein rep3-1","2/627",0.467682585672675,0.994763717779234,0,0,1.28833333333333,0.979088820015668,"GPT2;POLR3G"
"Embryonic stem hES H7 PDB:200036 8plex protein rep3-2","2/627",0.467682585672675,0.994763717779234,0,0,1.28833333333333,0.979088820015668,"GPT2;POLR3G"
"Embryonic stem hES H9 PDB:200038 8plex protein rep3-3","2/627",0.467682585672675,0.994763717779234,0,0,1.28833333333333,0.979088820015668,"GPT2;POLR3G"
"Embryonic stem hES H14 PDB:200037 8plex protein rep3-4","2/629",0.469347754727298,0.994763717779234,0,0,1.28409090909091,0.971300879003112,"GPT2;POLR3G"
"Human iPS iPS DF19.11 PDB:200039 8plex protein rep3-8","2/629",0.469347754727298,0.994763717779234,0,0,1.28409090909091,0.971300879003112,"GPT2;POLR3G"
"Human iPS iPS DF19.7 PDB:200040 8plex protein rep3-7","2/629",0.469347754727298,0.994763717779234,0,0,1.28409090909091,0.971300879003112,"GPT2;POLR3G"
"Human iPS iPS DF6.9 PDB:200042 8plex protein rep3-6","2/629",0.469347754727298,0.994763717779234,0,0,1.28409090909091,0.971300879003112,"GPT2;POLR3G"
"Human iPS iPS DF4.7 PDB:200041 8plex protein rep3-5","2/632",0.471839952470478,0.994763717779234,0,0,1.27777777777778,0.959758610938425,"GPT2;POLR3G"
"Neuroblastoma SK-N-BE BTO:0002696 6h P003960-1","1/264",0.485836559369382,0.994763717779234,0,0,1.52766353689765,1.10279435111613,"GRAMD4"
"Neuroblastoma SK-N-BE BTO:0002696 6h P003960-2","1/264",0.485836559369382,0.994763717779234,0,0,1.52766353689765,1.10279435111613,"GRAMD4"
"Breast HCC-2218 PDB:200004 HCC2218 R3-1","1/271",0.494887115497965,0.994763717779234,0,0,1.4875283446712,1.04636550634774,"GRAMD4"
"Breast MCF-7 BTO:0000093 HCC2218 R3-2","1/271",0.494887115497965,0.994763717779234,0,0,1.4875283446712,1.04636550634774,"GRAMD4"
"Breast MCF-7 BTO:0000093 MDAMB453 R1-2","1/295",0.524748024205652,0.994763717779234,0,0,1.36443148688047,0.879836023363404,"GRAMD4"
"Breast MDA-MB-453 BTO:0001908 MDAMB453 R1-1","1/296",0.525953938399227,0.994763717779234,0,0,1.35973711518506,0.8736877155004,"GRAMD4"
"Colon KM-12 BTO:0003172 P003820","1/297",0.527156853769046,0.994763717779234,0,0,1.35507446221732,0.867596098975174,"GPT2"
"Melanoma M14 BTO:0002805 P001562","1/319",0.552876878995617,0.994763717779234,0,0,1.25991528686946,0.746650927012791,"GRAMD4"
"Hematopoietic JURKAT BTO:0000661 Jurkat R2","1/329",0.564109658900554,0.994763717779234,0,0,1.22088103534097,0.698962469725785,"GRAMD4"
"Melanoma M14 BTO:0002805 P003817","1/341",0.577224354374001,0.994763717779234,0,0,1.17707082833133,0.646828974702705,"GRAMD4"
"Neuroblastoma SK-N-BE BTO:0002696 3h P003959-2","1/341",0.577224354374001,0.994763717779234,0,0,1.17707082833133,0.646828974702705,"GRAMD4"
"Neuroblastoma SK-N-BE BTO:0002696 3h P003959-1","1/344",0.580442128338466,0.994763717779234,0,0,1.16659725114536,0.634588278572096,"GRAMD4"
"Hematopoietic JURKAT BTO:0000661 Jurkat R1","1/349",0.585751828008511,0.994763717779234,0,0,1.14954257565095,0.614843285352273,"GRAMD4"
"Neuroblastoma SK-N-BE BTO:0002696 0h P003958-1","1/349",0.585751828008511,0.994763717779234,0,0,1.14954257565095,0.614843285352273,"GRAMD4"
"Neuroblastoma SK-N-BE BTO:0002696 0h P003958-2","1/349",0.585751828008511,0.994763717779234,0,0,1.14954257565095,0.614843285352273,"GRAMD4"
"Hematopoietic MOLT-4 BTO:0000873 P003361","1/373",0.610335480085453,0.994763717779234,0,0,1.07406188281764,0.530314301480394,"GPT2"
"Colon LS123 PDB:200121 LS123 CRC65","1/387",0.624009538719701,0.994763717779234,0,0,1.03436607803743,0.487796310150784,"GPT2"
"Colon HDC-114 PDB:200093 HDC-114 CRC65","1/388",0.624968059018707,0.994763717779234,0,0,1.03164056320202,0.48492753270841,"GPT2"
"Cecum LS1034 PDB:200120 LS1034 CRC65","1/389",0.625924184476946,0.994763717779234,0,0,1.02892909741216,0.482080061330031,"GPT2"
"Lymphoblastoid BTO:0000773 X128.126 HM41.GM18632","1/393",0.629724855125968,0.994763717779234,0,0,1.01822157434402,0.470899266156558,"SLC25A20"
"Lymphoblastoid BTO:0000773 X130.126 HM41.GM12144","1/393",0.629724855125968,0.994763717779234,0,0,1.01822157434402,0.470899266156558,"SLC25A20"
"Lymphoblastoid BTO:0000773 X131.126 HM41.GM18532","1/393",0.629724855125968,0.994763717779234,0,0,1.01822157434402,0.470899266156558,"SLC25A20"
"Lymphoblastoid BTO:0000773 X127.126 HM41.GM12340","1/394",0.630669094145571,0.994763717779234,0,0,1.0155787505842,0.468155367466317,"SLC25A20"
"Colon C80 PDB:200068 C80 CRC65","1/401",0.637213012754308,0.994763717779234,0,0,0.997448979591837,0.449501658770232,"GPT2"
"Melanoma SK-MEL-5 BTO:0002134 P001570","1/414",0.649065900909554,0.994763717779234,0,0,0.965409892770668,0.417270453591166,"GRAMD4"
"Colon C70 PDB:200066 C70 CRC65","1/421",0.655290159495875,0.994763717779234,0,0,0.948979591836735,0.401111989135717,"GPT2"
"Lymphoblastoid BTO:0000773 X129.126 HM41.GM18608","1/422",0.656170461158409,0.994763717779234,0,0,0.9466770080954,0.398867849030506,"SLC25A20"
"Breast MCF-7 BTO:0000093 MDAMB453 R4-2","1/429",0.662271183985793,0.994763717779234,0,0,0.930860194545108,0.38358902111077,"GRAMD4"
"Breast MDA-MB-453 BTO:0001908 MDAMB453 R4-1","1/429",0.662271183985793,0.994763717779234,0,0,0.930860194545108,0.38358902111077,"GRAMD4"
"Ovary OVCAR-4 BTO:0002561 P001888","1/433",0.665709548322704,0.994763717779234,0,0,0.922052154195011,0.375184697091923,"GPT2"
"Lymphoblastoid BTO:0000773 X126.126 HM41.GM12878","1/433",0.665709548322704,0.994763717779234,0,0,0.922052154195011,0.375184697091923,"SLC25A20"
"Brain SNB-19 BTO:0003761 P001899","1/434",0.666563764961023,0.994763717779234,0,0,0.919875571475703,0.373119444141397,"GPT2"
"Hepatoma Hep-G2 BTO:0000599 HepG2 R1","1/439",0.670802863829235,0.994763717779234,0,0,0.909141738887336,0.363002095109039,"GPT2"
"Melanoma MALME-3M BTO:0004162 P003199","1/442",0.673320923777135,0.994763717779234,0,0,0.902818270165209,0.35709460615084,"GRAMD4"
"Hepatoma Hep-G2 BTO:0000599 HepG2 R2","1/449",0.679123219490792,0.994763717779234,0,0,0.888392857142857,0.343766011074968,"GPT2"
"Breast HCC-202 PDB:200003 HCC202 R1-1","1/451",0.680762385356932,0.994763717779234,0,0,0.884353741496599,0.340071115694011,"GPT2"
"Breast MCF-7 BTO:0000093 HCC202 R1-2","1/451",0.680762385356932,0.994763717779234,0,0,0.884353741496599,0.340071115694011,"GPT2"
"Colon CCK-81 PDB:200071 CCK-81 CRC65","1/454",0.683205758631719,0.994763717779234,0,0,0.878361940802811,0.334620068982963,"GRAMD4"
"Colon RKO BTO:0001890 RKO R2","1/458",0.686435099835917,0.994763717779234,0,0,0.87049524404948,0.327518260914417,"GRAMD4"
"Colon GP2d PDB:200089 GP2d CRC65","1/468",0.694367972003337,0.994763717779234,0,0,0.851418083293275,0.310557504447537,"GRAMD4"
"Cecum SNU-C2B PDB:200160 SNU-C2B CRC65","1/472",0.697485751834617,0.994763717779234,0,0,0.844014038736514,0.304075632649228,"GRAMD4"
"Cecum LS411 PDB:200122 LS411 CRC65","1/479",0.702867035045183,0.994763717779234,0,0,0.831355136196738,0.293125465994989,"GPT2"
"Breast MCF-7 BTO:0000093 MFM R2-2","1/481",0.704387237080465,0.994763717779234,0,0,0.82780612244898,0.290085633767025,"GPT2"
"Breast MFM-223 BTO:0001961 MFM R2-1","1/481",0.704387237080465,0.994763717779234,0,0,0.82780612244898,0.290085633767025,"GPT2"
"Colon SK-CO-1 PDB:200136 SK-CO-1 CRC65","1/490",0.711134350982152,0.994763717779234,0,0,0.812194816576937,0.276872263809948,"GPT2"
"Lymphoblastoid BTO:0000773 X129.126 HM42.GM18608","1/492",0.712613087509609,0.994763717779234,0,0,0.808803358410574,0.27403605259227,"SLC25A20"
"Lymphoblastoid BTO:0000773 X131.126 HM42.GM18558","1/492",0.712613087509609,0.994763717779234,0,0,0.808803358410574,0.27403605259227,"SLC25A20"
"Lymphoblastoid BTO:0000773 X130.126 HM42.GM18499","1/493",0.713349671210761,0.994763717779234,0,0,0.807117969138875,0.272631177993693,"SLC25A20"
"Lymphoblastoid BTO:0000773 X126.126 HM42.GM12878","1/493",0.713349671210761,0.994763717779234,0,0,0.807117969138875,0.272631177993693,"SLC25A20"
"Lymphoblastoid BTO:0000773 X128.126 HM42.GM18632","1/494",0.714084404748727,0.994763717779234,0,0,0.805439417146169,0.271235033834702,"SLC25A20"
"Colon HDC-111 PDB:201056 HDC-111 CRC65","1/503",0.720614493147041,0.994763717779234,0,0,0.790633384828035,0.259051794077601,"GRAMD4"
"Hematopoietic K-562 BTO:0000664 K562 R1","1/506",0.722758534436982,0.994763717779234,0,0,0.7858153162255,0.25513858749472,"POLR3G"
"Colon C75 PDB:200067 C75 CRC65","1/513",0.727698785994957,0.994763717779234,0,0,0.774792729591837,0.246281871083158,"GPT2"
"Hepatoma Hep-G2 BTO:0000599 HepG2 R3","1/514",0.728397456420459,0.994763717779234,0,0,0.773242630385488,0.245047102703211,"GPT2"
"Hematopoietic JURKAT BTO:0000661 Jurkat R3","1/516",0.729789530851465,0.994763717779234,0,0,0.770160491381018,0.242599861881058,"GRAMD4"
"Melanoma SK-MEL-28 BTO:0002131 P001360","1/522",0.733923933398625,0.994763717779234,0,0,0.761056053899487,0.235432605575717,"GRAMD4"
"Colon HDC-73 PDB:201058 HDC-73 CRC65","1/522",0.733923933398625,0.994763717779234,0,0,0.761056053899487,0.235432605575717,"GPT2"
"Lymphoblastoid BTO:0000773 X127.126 HM42.GM12340","1/530",0.739340162821328,0.994763717779234,0,0,0.749238069518923,0.226267770973868,"SLC25A20"
"Prostate LNCaP BTO:0001321 LnCap R3","1/537",0.743990621499931,0.994763717779234,0,0,0.739186719463905,0.218597359916219,"GPT2"
"Prostate LNCaP BTO:0001321 LnCap R1","1/576",0.768449619002868,0.994763717779234,0,0,0.687666370896185,0.181117758375817,"GPT2"
"Breast MCF-7 BTO:0000093 MDAMB453 R3-2","1/598",0.781220766042223,0.994763717779234,0,0,0.661573171982361,0.163340760970942,"GRAMD4"
"Breast MDA-MB-453 BTO:0001908 MDAMB453 R3-1","1/598",0.781220766042223,0.994763717779234,0,0,0.661573171982361,0.163340760970942,"GRAMD4"
"Lymphoblastoid BTO:0000773 X129.126 HM26.GM11992","1/624",0.795425862637887,0.994763717779234,0,0,0.633111671634946,0.144905099864284,"SLC25A20"
"Colon HDC-143 PDB:200096 HDC-143 CRC65","1/624",0.795425862637887,0.994763717779234,0,0,0.633111671634946,0.144905099864284,"GRAMD4"
"Lymphoblastoid BTO:0000773 X126.126 HM26.GM12878","1/624",0.795425862637887,0.994763717779234,0,0,0.633111671634946,0.144905099864284,"SLC25A20"
"Lymphoblastoid BTO:0000773 X127.126 HM26.GM12878","1/627",0.797005566802792,0.994763717779234,0,0,0.629979787442133,0.142938391677402,"SLC25A20"
"Lymphoblastoid BTO:0000773 X128.126 HM26.GM18501","1/634",0.800645199306957,0.994763717779234,0,0,0.622787503627043,0.138468940125681,"SLC25A20"
"Lymphoblastoid BTO:0000773 X131.126 HM26.GM06994","1/649",0.808230395239933,0.994763717779234,0,0,0.607898715041572,0.129426571647609,"SLC25A20"
"Lymphoblastoid BTO:0000773 X130.126 HM26.GM12891","1/655",0.811184630194866,0.994763717779234,0,0,0.602134431754353,0.126002406314785,"SLC25A20"
"Lymphoblastoid BTO:0000773 X128.126 HM23.GM18505","1/657",0.812159428072859,0.994763717779234,0,0,0.60023643603783,0.124884363416156,"SLC25A20"
"Lymphoblastoid BTO:0000773 X127.126 HM23.GM15510","1/661",0.814094250684117,0.994763717779234,0,0,0.596474953617811,0.12268245107844,"SLC25A20"
"Lymphoblastoid BTO:0000773 X129.126 HM23.GM19099","1/662",0.814574896466136,0.994763717779234,0,0,0.595541696254901,0.12213899213326,"SLC25A20"
"Lymphoblastoid BTO:0000773 X130.126 HM23.GM19193","1/662",0.814574896466136,0.994763717779234,0,0,0.595541696254901,0.12213899213326,"SLC25A20"
"Lymphoblastoid BTO:0000773 X131.126 HM23.GM18951","1/662",0.814574896466136,0.994763717779234,0,0,0.595541696254901,0.12213899213326,"SLC25A20"
"Lymphoblastoid BTO:0000773 X126.126 HM23.GM12878","1/663",0.815054324316105,0.994763717779234,0,0,0.594611258400641,0.121598306998002,"SLC25A20"
"Lymphoblastoid BTO:0000773 X127.126 HM21.GM15510","1/680",0.823021160747872,0.994763717779234,0,0,0.579213128550389,0.112815291207855,"SLC25A20"
"Lymphoblastoid BTO:0000773 X128.126 HM21.GM18505","1/680",0.823021160747872,0.994763717779234,0,0,0.579213128550389,0.112815291207855,"SLC25A20"
"Lymphoblastoid BTO:0000773 X128.126 HM24.GM18519","1/680",0.823021160747872,0.994763717779234,0,0,0.579213128550389,0.112815291207855,"SLC25A20"
"Lymphoblastoid BTO:0000773 X126.126 HM21.GM12878","1/680",0.823021160747872,0.994763717779234,0,0,0.579213128550389,0.112815291207855,"SLC25A20"
"Lymphoblastoid BTO:0000773 X129.126 HM21.GM19099","1/681",0.823479176322047,0.994763717779234,0,0,0.578331332533013,0.112321785942573,"SLC25A20"
"Lymphoblastoid BTO:0000773 X131.126 HM21.GM18951","1/681",0.823479176322047,0.994763717779234,0,0,0.578331332533013,0.112321785942573,"SLC25A20"
"Lymphoblastoid BTO:0000773 X129.126 HM24.GM11840","1/683",0.824391725332874,0.994763717779234,0,0,0.576575498234484,0.111342187273592,"SLC25A20"
"Lymphoblastoid BTO:0000773 X131.126 HM24.GM12749","1/683",0.824391725332874,0.994763717779234,0,0,0.576575498234484,0.111342187273592,"SLC25A20"
"Lymphoblastoid BTO:0000773 X126.126 HM24.GM12878","1/683",0.824391725332874,0.994763717779234,0,0,0.576575498234484,0.111342187273592,"SLC25A20"
"Lymphoblastoid BTO:0000773 X127.126 HM24.GM06985","1/686",0.825751886586384,0.994763717779234,0,0,0.573960971249814,0.109891101350367,"SLC25A20"
"Lymphoblastoid BTO:0000773 X130.126 HM24.GM12043","1/687",0.826202975209847,0.994763717779234,0,0,0.573094543940025,0.109412231927411,"SLC25A20"
"Lymphoblastoid BTO:0000773 X130.126 HM21.GM19193","1/704",0.833698675453182,0.994763717779234,0,0,0.558742415885273,0.101625882225136,"SLC25A20"
"Embryonic stem hES H1 PDB:200035 4plex protein A-1","2/1271",0.835532940723292,0.994763717779234,0,0,0.613376674546887,0.110214897744736,"GPT2;POLR3G"
"Embryonic stem hES H9 PDB:200038 4plex protein A-2","2/1275",0.836859545048292,0.994763717779234,0,0,0.611318407960199,0.10887521557825,"GPT2;POLR3G"
"Human fetal fibroblast NFF PDB:200043 4plex protein A-4","2/1275",0.836859545048292,0.994763717779234,0,0,0.611318407960199,0.10887521557825,"GPT2;POLR3G"
"Embryonic stem hES H9 PDB:200038 8plex protein rep2-3","1/717",0.839216019750716,0.994763717779234,0,0,0.54822711207388,0.0960971585822883,"POLR3G"
"Embryonic stem hES H7 PDB:200036 8plex protein rep2-2","1/728",0.843744102646859,0.994763717779234,0,0,0.539623277096258,0.0916852466971335,"POLR3G"
"Embryonic stem hES H14 PDB:200037 8plex protein rep2-4","1/729",0.844149494498724,0.994763717779234,0,0,0.538854003139717,0.0912957026091114,"POLR3G"
"Human iPS iPS DF19.11 PDB:200039 8plex protein rep2-8","1/729",0.844149494498724,0.994763717779234,0,0,0.538854003139717,0.0912957026091114,"POLR3G"
"Human iPS iPS DF4.7 PDB:200041 8plex protein rep2-5","1/729",0.844149494498724,0.994763717779234,0,0,0.538854003139717,0.0912957026091114,"POLR3G"
"Human iPS iPS DF19.7 PDB:200040 8plex protein rep2-7","1/730",0.844553855520046,0.994763717779234,0,0,0.538086839674141,0.0909080349895995,"POLR3G"
"Embryonic stem hES H1 PDB:200035 8plex protein rep2-1","1/731",0.84495718840396,0.994763717779234,0,0,0.537321778026279,0.0905222332322668,"POLR3G"
"Human iPS iPS DF6.9 PDB:200042 8plex protein rep2-6","1/731",0.84495718840396,0.994763717779234,0,0,0.537321778026279,0.0905222332322668,"POLR3G"
"Human iPS iPS DF19.7 PDB:200040 4plex protein A-3","2/1306",0.846825133421636,0.994763717779234,0,0,0.595794989775051,0.0990575063593679,"GPT2;POLR3G"
"Prostate LNCaP BTO:0001321 LnCap R2","1/763",0.857335982346027,0.994763717779234,0,0,0.51390004820826,0.0791022666104637,"GPT2"
"Embryonic stem hES H1 PDB:200035 4plex protein B-1","2/1476",0.892447058425146,0.994763717779234,0,0,0.522274988692899,0.0594286710046493,"GPT2;POLR3G"
"Human iPS iPS DF19.7 PDB:200040 4plex protein B-3","2/1476",0.892447058425146,0.994763717779234,0,0,0.522274988692899,0.0594286710046493,"GPT2;POLR3G"
"Embryonic stem hES H9 PDB:200038 4plex protein B-2","2/1477",0.892674592733222,0.994763717779234,0,0,0.521892655367232,0.0592521235709765,"GPT2;POLR3G"
"Human fetal fibroblast NFF PDB:200043 4plex protein B-4","2/1477",0.892674592733222,0.994763717779234,0,0,0.521892655367232,0.0592521235709765,"GPT2;POLR3G"
"Human fetal fibroblast NFF PDB:200043 4plex protein C-4","2/1484",0.894255168185959,0.994763717779234,0,0,0.519230769230769,0.0580313707825981,"GPT2;POLR3G"
"Human iPS iPS DF19.7 PDB:200040 4plex protein C-3","2/1484",0.894255168185959,0.994763717779234,0,0,0.519230769230769,0.0580313707825981,"GPT2;POLR3G"
"Embryonic stem hES H9 PDB:200038 4plex protein C-2","2/1485",0.894479235153465,0.994763717779234,0,0,0.518852551135087,0.0578591107704925,"GPT2;POLR3G"
"Embryonic stem hES H1 PDB:200035 4plex protein C-1","2/1495",0.896696352736962,0.994763717779234,0,0,0.515098236213441,0.0561652755364188,"GPT2;POLR3G"
"Colon RKO BTO:0001890 RKO R3","1/929",0.907555233269906,0.994763717779234,0,0,0.41832336382829,0.0405777225304507,"GPT2"
"Embryonic stem hES H1 PDB:200035 4plex protein D-1","1/1104",0.941729381884453,0.994763717779234,0,0,0.348715007308454,0.0209359165944416,"POLR3G"
"Embryonic stem hES H9 PDB:200038 4plex protein D-2","1/1104",0.941729381884453,0.994763717779234,0,0,0.348715007308454,0.0209359165944416,"POLR3G"
"Human fetal fibroblast NFF PDB:200043 4plex protein D-4","1/1104",0.941729381884453,0.994763717779234,0,0,0.348715007308454,0.0209359165944416,"POLR3G"
"Human iPS iPS DF19.7 PDB:200040 4plex protein D-3","1/1104",0.941729381884453,0.994763717779234,0,0,0.348715007308454,0.0209359165944416,"POLR3G"
"Hematopoietic JURKAT BTO:0000661 High coverage proteome bortezomib R3","1/1154",0.94896803501971,0.994763717779234,0,0,0.332707931394587,0.017427295924958,"GRAMD4"
"Hematopoietic JURKAT BTO:0000661 High coverage proteome untreated R3","1/1154",0.94896803501971,0.994763717779234,0,0,0.332707931394587,0.017427295924958,"GRAMD4"
"Hematopoietic JURKAT BTO:0000661 High coverage proteome bortezomib R2","1/1231",0.958425433683689,0.994763717779234,0,0,0.310602289696366,0.0131892647773227,"GRAMD4"
"Hematopoietic JURKAT BTO:0000661 High coverage proteome untreated R2","1/1253",0.960796213754175,0.994763717779234,0,0,0.304785812088414,0.0121892834223966,"GRAMD4"
"Hematopoietic JURKAT BTO:0000661 Jurkat full proteome","1/1285",0.964009809496678,0.994763717779234,0,0,0.296681289338165,0.010874499193693,"GRAMD4"
"Hematopoietic JURKAT BTO:0000661 High coverage proteome untreated R1","1/1340",0.968940474589257,0.994763717779234,0,0,0.283656703906357,0.00894996432160613,"GRAMD4"
"Hematopoietic JURKAT BTO:0000661 High coverage proteome bortezomib R1","1/1352",0.969924801204522,0.994763717779234,0,0,0.280955905678334,0.00857947604437182,"GRAMD4"
"Colon HTC-116 BTO:0001109 nuclear extract-2","1/1577",0.983620829444627,0.994763717779234,0,0,0.237931213094375,0.00392938452337672,"POLR3G"
"Colon HTC-116 BTO:0001109 nuclear extract-1","1/1579",0.983709604456757,0.994763717779234,0,0,0.237603786761853,0.00390253359067709,"POLR3G"
"Colon HTC-116 BTO:0001109 nuclear extract-3","1/1579",0.983709604456757,0.994763717779234,0,0,0.237603786761853,0.00390253359067709,"POLR3G"
"Colon HTC-116 BTO:0001109 nuclear extract-5","1/1579",0.983709604456757,0.994763717779234,0,0,0.237603786761853,0.00390253359067709,"POLR3G"
"Colon HTC-116 BTO:0001109 nuclear extract-6","1/1579",0.983709604456757,0.994763717779234,0,0,0.237603786761853,0.00390253359067709,"POLR3G"
"Colon HTC-116 BTO:0001109 nuclear extract-4","1/1618",0.985349403048099,0.994763717779234,0,0,0.231380864033925,0.00341494480493464,"POLR3G"
"Cervix HeLa BTO:0000567 LysC R2","1/1632",0.985897651778372,0.994763717779234,0,0,0.22921958482964,0.00325554415118715,"GPT2"
"Colon HTC-116 BTO:0001109 cytosol-1","1/1731",0.989240236401525,0.994763717779234,0,0,0.214934528724785,0.00232517644681489,"POLR3G"
"Colon HTC-116 BTO:0001109 cytosol-2","1/1731",0.989240236401525,0.994763717779234,0,0,0.214934528724785,0.00232517644681489,"POLR3G"
"Colon HTC-116 BTO:0001109 cytosol-4","1/1731",0.989240236401525,0.994763717779234,0,0,0.214934528724785,0.00232517644681489,"POLR3G"
"Colon HTC-116 BTO:0001109 cytosol-5","1/1731",0.989240236401525,0.994763717779234,0,0,0.214934528724785,0.00232517644681489,"POLR3G"
"Colon HTC-116 BTO:0001109 cytosol-6","1/1743",0.989588366722716,0.994763717779234,0,0,0.213313339112913,0.00223258295121795,"POLR3G"
"Colon HTC-116 BTO:0001109 cytosol-3","1/1761",0.990089954266706,0.994763717779234,0,0,0.210923005565863,0.0021006828407636,"POLR3G"
"Breast MCF-7 BTO:0000093 MCF7 V R1","1/1936",0.993883454625856,0.994763717779234,0,0,0.19000158202816,0.00116572203901018,"GRAMD4"
"Breast MCF-7 BTO:0000093 MCF7 4-OHT R2","1/1938",0.993917254998948,0.994763717779234,0,0,0.189784328806381,0.00115793497007993,"GRAMD4"
"Breast MCF-7 BTO:0000093 MCF7 Fulvestrant R2","1/1945",0.994034120221061,0.994763717779234,0,0,0.189027462836987,0.00113109246387167,"GRAMD4"
"Breast MCF-7 BTO:0000093 MCF7 Fulvestrant R1","1/1991",0.994749146506486,0.994763717779234,0,0,0.184186237308994,0.000969683013183506,"GRAMD4"
"Breast MCF-7 BTO:0000093 MCF7 V R2","1/1991",0.994749146506486,0.994763717779234,0,0,0.184186237308994,0.000969683013183506,"GRAMD4"
"Breast MCF-7 BTO:0000093 MCF7 4-OHT R1","1/1992",0.994763717779234,0.994763717779234,0,0,0.184083477690423,0.00096644554620272,"GRAMD4"
