"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"PRX-08066 Up","2/144",0.0503731921946642,0.31399898455863,0,0,5.81220657276995,17.3685945029882,"GPT2;GRAMD4"
"STK368746 Up","2/146",0.0516255263806262,0.31399898455863,0,0,5.73090277777778,16.9849002483351,"GPT2;GRAMD4"
"Varespladib Down","1/139",0.294706918226376,0.31399898455863,0,0,2.92990239574091,3.57967831775799,"GRAMD4"
"SAR7334 Down","1/139",0.294706918226376,0.31399898455863,0,0,2.92990239574091,3.57967831775799,"GPT2"
"Actinonin Up","1/140",0.296482488408479,0.31399898455863,0,0,2.90867713992072,3.53627403902577,"GPT2"
"Amsacrine Down","1/140",0.296482488408479,0.31399898455863,0,0,2.90867713992072,3.53627403902577,"GPT2"
"Gefitinib Up","1/141",0.298253677795296,0.31399898455863,0,0,2.88775510204082,3.49363756094843,"GPT2"
"Kaempferide Down","1/141",0.298253677795296,0.31399898455863,0,0,2.88775510204082,3.49363756094843,"GRAMD4"
"Betamethasone Down","1/141",0.298253677795296,0.31399898455863,0,0,2.88775510204082,3.49363756094843,"GRAMD4"
"AK 7 Up","1/142",0.3000204969827,0.31399898455863,0,0,2.86712983065567,3.45175045757094,"GPT2"
"Orteronel Down","1/142",0.3000204969827,0.31399898455863,0,0,2.86712983065567,3.45175045757094,"GRAMD4"
"SB-674042 Down","1/142",0.3000204969827,0.31399898455863,0,0,2.86712983065567,3.45175045757094,"CACHD1"
"MK-1775 Down","1/142",0.3000204969827,0.31399898455863,0,0,2.86712983065567,3.45175045757094,"GPT2"
"GW 501516 Down","1/142",0.3000204969827,0.31399898455863,0,0,2.86712983065567,3.45175045757094,"GRAMD4"
"Mavorixafor Down","1/142",0.3000204969827,0.31399898455863,0,0,2.86712983065567,3.45175045757094,"POLR3G"
"Pyr1-Apelin-13 Down","1/143",0.301782956468689,0.31399898455863,0,0,2.84679505605059,3.41059486630523,"GPT2"
"Nateglinide Up","1/143",0.301782956468689,0.31399898455863,0,0,2.84679505605059,3.41059486630523,"GPT2"
"Papaverine Up","1/143",0.301782956468689,0.31399898455863,0,0,2.84679505605059,3.41059486630523,"GPT2"
"GSK4112 Down","1/143",0.301782956468689,0.31399898455863,0,0,2.84679505605059,3.41059486630523,"GPT2"
"CHCA Down","1/143",0.301782956468689,0.31399898455863,0,0,2.84679505605059,3.41059486630523,"GRAMD4"
"Lixivaptan Up","1/143",0.301782956468689,0.31399898455863,0,0,2.84679505605059,3.41059486630523,"GPT2"
"GW311616 Down","1/143",0.301782956468689,0.31399898455863,0,0,2.84679505605059,3.41059486630523,"GRAMD4"
"UNC 0638 Down","1/143",0.301782956468689,0.31399898455863,0,0,2.84679505605059,3.41059486630523,"GPT2"
"Aripiprazole Up","1/143",0.301782956468689,0.31399898455863,0,0,2.84679505605059,3.41059486630523,"GRAMD4"
