"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"ZNF2 NPC Knockdown GSE54112 down","6/496",0.001422647284845,0.647304514604475,0,0,5.41558441558442,35.5004331524667,"FGFBP2;BEX1;LRRN3;GPT2;B3GAT1;GFAP"
"Schizophrena hIPSC NPC GSE63738 down","4/496",0.0351145943571396,0.732213828057865,0,0,3.4390243902439,11.5177687858579,"BEX1;GPT2;B3GAT1;GFAP"
"Dnmt1 Cortex knockout GSE58261 up","4/498",0.0355579181451376,0.732213828057865,0,0,3.4247491638796,11.4269920831363,"GPT2;B3GAT1;KCNQ5;GFAP"
"Desipramine Brain - Nucleus accumbens saline x treated 15mg-kg 2x daily GSE71527 down","3/493",0.12526661944172,0.732213828057865,0,0,2.53495440729483,5.26588831396252,"LRRN3;SLC4A10;PIK3R3"
"TAF15 Striatum Knockdown GSE77703 down","3/495",0.126374562471989,0.732213828057865,0,0,2.52439024390244,5.22171400248932,"B3GAT1;SLC4A10;KCNQ5"
"Autism iPSCs-derived Neural Cultures Differentiation day 31 GSE61476 up","3/495",0.126374562471989,0.732213828057865,0,0,2.52439024390244,5.22171400248932,"MPPED2;B3GAT1;CD248"
"Clobetasol Embryonic stem cells 6 hrs GSE63804 down","3/495",0.126374562471989,0.732213828057865,0,0,2.52439024390244,5.22171400248932,"GPT2;B3GAT1;PIK3R3"
"JAK3i (CP-690550) iPSC-WA 2uM-24hrs GSE57896 up","3/496",0.126929897268427,0.732213828057865,0,0,2.51914030469121,5.1998087294763,"LRRN3;GPT2;PIK3R3"
"SYKi (R406) iPSC-WA 1uM-7d GSE57896 up","3/497",0.127486136751438,0.732213828057865,0,0,2.5139116202946,5.17802355637406,"GPT2;PIK3R3;SLC25A20"
"TAF15 Motor neuron Knockdown GSE77707 up","3/497",0.127486136751438,0.732213828057865,0,0,2.5139116202946,5.17802355637406,"BEX1;LRRN3;PIK3R3"
