"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Key Identified Male Osteoporosis GSE159121 1","4/250",0.00349720414443198,0.467256114895877,0,0,6.96500530222694,39.3926174068015,"CACHD1;POLR3G;CD248;ADAMTS6"
"Cellular Cell-Derived Cardiomyocytes Melphalan GSE150055 1","4/250",0.00349720414443198,0.467256114895877,0,0,6.96500530222694,39.3926174068015,"GPT2;CACHD1;KCNQ5;ADAMTS6"
"Nephronal Pluripotent Renal-Vesicle Formation GSE75711 2","4/250",0.00349720414443198,0.467256114895877,0,0,6.96500530222694,39.3926174068015,"BEX1;B3GAT1;POLR3G;KLHL4"
"Shsrc-1 Shnt Tamoxifen Ly2 GSE99647 1","4/250",0.00349720414443198,0.467256114895877,0,0,6.96500530222694,39.3926174068015,"FGFBP2;GPT2;PIK3R3;KCNQ5"
"H3K4 Reinforcement Activation-Induced Kinetics GSE73213 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"LRRN3;KCNQ5;CD248"
"Cxcr5 Cd45Ra-Cd8 Subset Follicular GSE105095 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"LRRN3;CACHD1;CD248"
"N384546 Papillary Mir-145-5P Akt3 GSE124841 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"SLC4A10;CD248;FSCN2"
"Bone Size Height Fractures GSE128641 2","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"POLR3G;KCNQ5;SLC25A20"
"Follicular Helper Effector Lymphocytes GSE58596 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"LRRN3;CACHD1;CD248"
"Follicular Helper Effector Lymphocytes GSE58596 2","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"LRRN3;CACHD1;CD248"
"Shows Failing Non-Failing Heart GSE71613 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"LRRN3;GPT2;CD248"
"Shows Failing Non-Failing Heart GSE71613 2","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"LRRN3;GPT2;CD248"
"Genes Expression Glioma Stem-Like GSE150653 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"GPT2;B3GAT1;PIK3R3"
"Genome-Wide C-Myc-Depleted Rescued Mda-Mb-231Brm GSE106312 3","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"POLR3G;KCNQ5;ADAMTS6"
"Metabolome Pcb 126 Glyphosate GSE109565 7","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"CACHD1;KCNQ5;KLHL4"
"Dot1L-Interacting Af10 Mllt10 Somatic GSE161043 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"CACHD1;CD248;KLHL4"
"R-Loop Xrn2 Hybrid Resolution GSE155865 2","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"BEX1;GPT2;POLR3G"
