"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Oncogenic Myc Dependency Spliceosome GSE66182 3","5/250",0.000392590092487609,0.467256114895877,0,0,8.93650793650794,70.0867485762129,"GPT2;PIK3R3;POLR3G;SLC25A20;GRAMD4"
"Pre-Transplantational Post-Transplantational Fate Cartilage GSE116173 1","4/250",0.00349720414443198,0.467256114895877,0,0,6.96500530222694,39.3926174068015,"TMEM37;BEX1;PIK3R3;KCNQ5"
"Erbb2 Igf1R Raf1 Samples GSE73628 5","4/250",0.00349720414443198,0.467256114895877,0,0,6.96500530222694,39.3926174068015,"BEX1;PIK3R3;POLR3G;CD248"
"Immunological Imbalance Fibrodysplasia Ossificans GSE78081 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"ZNF683;FGFBP2;F8A2"
"Roll Shear Tether Sling GSE107981 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"LRRN3;CACHD1;ADAMTS6"
"Melanocytes Driven Cell-Derived Exosomes GSE84683 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"LRRN3;CACHD1;GRAMD4"
"Acute Viral Bronchiolitis Nms GSE113209 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"TMC1;TMEM37;CACHD1"
"Examining Serotonergic Neuron Ipscs GSE117910 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"BEX1;SLC4A10;PIK3R3"
"Tumor-Associated Macrophages Liver Clm GSE131353 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"TMEM37;MPPED2;PIK3R3"
"Painful Non-Painful Nf2 Set2 GSE138346 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"FGFBP2;BEX1;GPT2"
"Expression Profiling Etoposide-Induced Senescent GSE99028 2","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"LRRN3;PIK3R3;KLHL4"
"Nascent-Seq Drb-Treated Untreated U2Os GSE105815 3","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"TMEM37;CACHD1;PIK3R3"
"Adaptations Underlie Vulnerabilities Chemoresistant GSE111920 2","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"PIK3R3;POLR3G;ADAMTS6"
"Adaptations Underlie Vulnerabilities Chemoresistant GSE111920 3","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"PIK3R3;POLR3G;ADAMTS6"
"Znf217 Occupancy Association Eralpha GSE58326 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"SLC4A10;PIK3R3;KLHL4"
"Structural Classes Activating Foxa1 GSE123619 2","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"CACHD1;PIK3R3;CD248"
"Myelin Pmp2 Sox10 Invasion GSE79988 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"CACHD1;KLHL4;ADAMTS6"
"Environment Distinguish Lncrnas Stability GSE80045 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"B3GAT1;CACHD1;KLHL4"
"Slam Reside Mantle Zone GSE136303 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"B3GAT1;PIK3R3;GRAMD4"
"Spontaneous Single-Copy Tp53 Markedly GSE70874 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"SNTG2;BEX1;POLR3G"
"Rapid Neurogenesis Transcriptional Activation GSE60548 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"SLC25A20;KLHL4;GRAMD4"
"Hs Lesional Nonlesional Skin GSE155176 2","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"GPT2;CACHD1;POLR3G"
"Engineering Directs Vascularization Multilineage GSE159491 6","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"TMEM37;SLC25A20;ADAMTS6"
"Erg Cord Recapitulates Leukemias GSE53665 6","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"FGFBP2;BEX1;GRAMD4"
"Hemopexin Blocks Heme G-Quadruplex GSE139091 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"TMEM37;GRAMD4;GFAP"
"Ehmt1 Ehmt2 Fetal Hemoglobin GSE71421 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"BEX1;CACHD1"
