"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Gain Atxn1-Cic Spinocerebellar Ataxia GSE108254 1","4/250",0.00349720414443198,0.467256114895877,0,0,6.96500530222694,39.3926174068015,"BEX1;GPT2;B3GAT1;GFAP"
"Vascular Pparb Angiogenesis Progression GSE140513 1","4/250",0.00349720414443198,0.467256114895877,0,0,6.96500530222694,39.3926174068015,"CACHD1;PIK3R3;CD248;KLHL4"
"Siah2 Control Tumor Environment GSE134412 1","4/250",0.00349720414443198,0.467256114895877,0,0,6.96500530222694,39.3926174068015,"CACHD1;PIK3R3;CD248;KLHL4"
"Notch1 Synergizes Promoting Castration-Resistant GSE87448 3","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"GPT2;MPPED2;CACHD1"
"Hdac3 Enzymatic Skeletal Fuel GSE115226 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"BEX1;MPPED2;KCNQ5"
"Hippo Driven Hypertranscription Number GSE120015 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"MPPED2;B3GAT1;GRAMD4"
"Creb3L1 Anterior Corticotroph Att20 GSE147978 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"BEX1;LRRN3;KCNQ5"
"Cavenous Normal Glucose Condition GSE146078 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"POLR3G;CD248;GFAP"
"Ifn-B Treatment Primary Hepatocytes GSE149497 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"TMEM37;GPT2;CACHD1"
"Investigating Tmprss2-Erg Homozygous Prostate GSE61008 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"BEX1;MPPED2;POLR3G"
"Killing Mll-Af4 Harboring Ras GSE89560 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"SNTG2;BEX1;LRRN3"
"Non-Cpg Partially Overlaps Rett GSE123941 2","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"GPT2;KLHL4;ADAMTS6"
"Microrna-183 Continuously Scales Pain GSE99265 2","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"LRRN3;KCNQ5;KLHL4"
"Verification Pathophysiology Lipoid Adrenal GSE123300 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"LRRN3;ODF3;MPPED2"
"Glial Progenitors Sox1 Positive GSE119480 3","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"BEX1;GPT2;SLC25A20"
"Hand2 Selectively Reorganizes Pacemaker-Like GSE124337 3","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"LRRN3;SLC4A10;CD248"
"Splenic Type-Ot-I Nik Cd4Cre-Ot-I GSE155576 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"GPT2;KCNQ5;KLHL4"
"Trem2 Anti-Inflammatory Suppressed Pro-Inflammatory GSE157891 2","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"SNTG2;GPT2;GFAP"
"Cd36 Optimizes Fatty Uptake GSE116350 3","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"BEX1;MPPED2;SLC25A20"
"Mapping Allelome Tissue-Specific Allelic GSE75957 39","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"TMEM37;BEX1;PIK3R3"
"Cdk6 Direct Target Nup98-Fusion-Protein-Driven GSE134784 5","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"LRRN3;KLHL4"
"Asynchronous Combinatorial Bcl11B Commitment GSE76606 2","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"GPT2;ADAMTS6"
"Insm1 Delamination Down-Regulation Adherens GSE109709 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"MPPED2;B3GAT1"
"Data Nsd2 Germinal Center GSE111755 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"KCNQ5;ADAMTS6"
"Foxf2 Tgfb-Induced Enabling Dissolution GSE112796 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"POLR3G;GRAMD4"
"Preclinical Evaluation Azd2014 Castration GSE93897 3","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"PIK3R3;POLR3G"
"Thioredoxin-1 Fueling Synthesis Proliferation GSE107090 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"TMEM37;KCNQ5"
"Telomeres Suppress Retrotransposons Exp2 GSE118026 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"BEX1;GPT2"
"Blnc1 Liver Lko Feeding GSE108609 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"TMEM37;GPT2"
"Juvenile Early Adolescent Muscle GSE121278 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"SLC4A10;KCNQ5"
"Sunitinib Sorafenib Suggest Cardiotoxicity GSE98973 2","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"MPPED2;ADAMTS6"
"Mirna-Mediated Silencing Argonaute 6 Chr Seq GSE108800 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"CACHD1;PIK3R3"
"Chx10-Cre Rb1 P107 Hells GSE143732 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"BEX1;B3GAT1"
"Upregulated Preneoplasia Stressed Hcc-Initiating GSE77323 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"MPPED2;POLR3G"
"Akvpl Vs Akvpsl Derived GSE84812 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"CACHD1;ADAMTS6"
"Bulk Bach2-Deficient Foxp3 Treg GSE127699 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"KCNQ5;GRAMD4"
"Nogo Muscle Modulating Nogo-A GSE131955 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"BEX1;GRAMD4"
"Post-Transduction Mir-99 Lentiviral Vectors GSE101902 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"LRRN3;ADAMTS6"
"3? 5? Helicase Ythdc2 GSE102346 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"CACHD1;ADAMTS6"
"Squamous-Columnar Pool Cancer-Prone Lgr5-Cd44 GSE130003 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"POLR3G;SLC25A20"
"Laminin-Binding Integrins Secretory Lactation GSE132281 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"GPT2;KCNQ5"
"Tumour States Occurring P63 GSE110586 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"CACHD1;KCNQ5"
"Smchd1 Neural Stem Cells GSE111726 1.1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"KLHL4;GFAP"
"Insulin-Stimulated Proteolytic Expenditure Uptake GSE134846 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"TMEM37;GPT2"
"Transcription Zfp281 Sustains Ctla-4 GSE135968 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"KLHL4;ADAMTS6"
"Hippocampus Aged Lpar2 Versus GSE136869 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"GPT2;GRAMD4"
"Hltf-Deletion Il33 Cell-Cd8 Death GSE137060 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"KCNQ5;SLC25A20"
"Foxp1 Deregulation Lymphocyte Stages GSE137463 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"KCNQ5;GRAMD4"
"Crebbp Increases Hdac Thyroid GSE117551 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"GPT2;B3GAT1"
"Transcriptome-Wide Circular Dynamic Adipogenesis GSE118762 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"GPT2;CACHD1"
"Profile Stimulated Cartilage Fragments GSE141308 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"BEX1;GRAMD4"
"Glucagon Receptor Blocked Signature GSE122348 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"GPT2;SLC25A20"
"Cd146 Cd45-Cd31 Bout Electrical GSE122628 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"PIK3R3;KLHL4"
"Splicing Hnrnpu Skeletal Muscle GSE145712 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"GPT2;KCNQ5"
"Runx2Fl Fl Gli1-Creert2 Incisor GSE146332 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"GPT2;KCNQ5"
"Injured Ganglion Rgcs Arid1A GSE147844 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"TMEM37;GFAP"
"Immediate Deferred Epigenomic Signatures GSE125068 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"SLC4A10;GFAP"
"Mrtf Srf Cap2-Dependent Delays GSE125603 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"MPPED2;SLC25A20"
"Nppb Sensors Mast Cell-Induced GSE125626 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"BEX1;KCNQ5"
"Whole-Transcriptome 16 Aav9-M7 8L GSE125732 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"TMEM37;GPT2"
"Directs Demethylation H3K9Me2 Co-Transcriptionall GSE153651 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"BEX1;SLC25A20"
"Liraglutide Dapagliflozin Multi-Hit Preserved GSE153923 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"MPPED2;GRAMD4"
"Prdm15 Lymphomagenesis Transcriptionally Rewiring GSE116906 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"KCNQ5;CD248"
"Nih 3T3 Bpv-13 E6 GSE129593 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"SLC4A10;CD248"
"Cell Redefines Endometrium Bulkrnaseq GSE160386 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"SNTG2;ADAMTS6"
"Fibrous Morphogenesis Digit Tip GSE131078 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"MPPED2;FSCN2"
"Hypomorphic Nkx2-5 Mutant Heart GSE44573 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"KLHL4;GRAMD4"
"Trans-Chromosomal Lincrna Escapes X-Chromosome GSE45157 1","2/250",0.12923841864445,0.467256114895877,0,0,3.31014784946237,6.77288151187956,"GPT2;SLC25A20"
