"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Fzd3 Celsr3 Mutant Cortex GSE77081 2","4/250",0.00349720414443198,0.467256114895877,0,0,6.96500530222694,39.3926174068015,"LRRN3;SLC4A10;KCNQ5;KLHL4"
"Jarid2 Acting Polycomb Repressive GSE60808 2","4/250",0.00349720414443198,0.467256114895877,0,0,6.96500530222694,39.3926174068015,"BEX1;LRRN3;MPPED2;PIK3R3"
"Perturbation Ogt-Tet1 Interaction Embryonic GSE109540 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"BEX1;GPT2;POLR3G"
"Layer-Specific Molecular Neocortical Astrocytes GSE111916 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"LRRN3;PIK3R3;POLR3G"
"Sequentially Acting Sox Orchestrate GSE117997 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"SNTG2;LRRN3;GFAP"
"Decomposing Learning Measurements Platforms GSE118880 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"BEX1;GPT2;CACHD1"
"Mechanoreceptive Somatosensory Neuron Subtypes GSE127161 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"B3GAT1;SLC4A10;FSCN2"
"Total Hippocampus App Ps1 GSE158995 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"SNTG2;SLC4A10;KCNQ5"
"Consequences Dlx3 Enamel Determined GSE57984 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"KCNQ5;GRAMD4;ADAMTS6"
"Pro-Opiomelanocortin Pomc Obesogenic Malprogramming GSE135639 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"SNTG2;SLC4A10;POLR3G"
"Pbabe Camnk D4M 3A GSE141248 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"GPT2;CACHD1;KLHL4"
"Rbfox1-Nestin Hippocampus GSE96722 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"SLC4A10;ADAMTS6;GFAP"
"Wt Pik3Ca2X Basal Profile GSE99659 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"GPT2;PIK3R3;POLR3G"
"Gain Atxn1-Cic Spinocerebellar Ataxia GSE108255 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"BEX1;KCNQ5;GFAP"
"Runx3 Ctl Chr Assoc GSE111135 2","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"CD248;GRAMD4;ADAMTS6"
"Transcript Isoform Putative Motif GSE115451 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"MPPED2;PIK3R3;CD248"
"Tres2015 GSE120898 2","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"B3GAT1;CACHD1;KCNQ5"
"Atac-Seq Adult Rods Cones GSE83312 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"SNTG2;MPPED2;FSCN2"
"Mechanics Multilayer Instruct E15 GSE152486 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"CACHD1;POLR3G;ADAMTS6"
"Degeneration Tead Reactive M?ller GSE94534 1","3/250",0.0245752827254661,0.467256114895877,0,0,5.09165302782324,18.8697379562837,"SNTG2;MPPED2;FSCN2"
