"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Jervell Lange-Nielsen syndrome","2/51",0.00722250262714212,0.41661413566356,0,0,16.922619047619,83.4378830060969,"TMC1;KCNQ5"
"Malignant Teratocarcinosarcoma","1/5",0.0124387771927725,0.41661413566356,0,0,101.765306122449,446.437935140061,"GFAP"
"Vascular hyalinosis","1/5",0.0124387771927725,0.41661413566356,0,0,101.765306122449,446.437935140061,"GFAP"
"Benign familial infantile epilepsy","2/68",0.0125608922452036,0.41661413566356,0,0,12.5530303030303,54.9467110196934,"SLC4A10;KCNQ5"
"Encephalitis lethargica","1/6",0.0149082847993736,0.41661413566356,0,0,81.4081632653061,342.389562344484,"GFAP"
"Parkinson disease 3","1/6",0.0149082847993736,0.41661413566356,0,0,81.4081632653061,342.389562344484,"GFAP"
"Balo disease","1/7",0.017371741450284,0.41661413566356,0,0,67.8367346938775,274.936210768444,"GFAP"
"Biermer disease","1/7",0.017371741450284,0.41661413566356,0,0,67.8367346938775,274.936210768444,"GFAP"
"Chromosome 2 monosomy 2q24","1/9",0.0222805591236868,0.41661413566356,0,0,50.8724489795918,193.520869933163,"SLC4A10"
"Coloboma of optic nerve","1/9",0.0222805591236868,0.41661413566356,0,0,50.8724489795918,193.520869933163,"GFAP"
"HMG CoA lyase deficiency","1/10",0.0247259488172581,0.41661413566356,0,0,45.2176870748299,167.301012082339,"GFAP"
"Plasmalogens synthesis deficiency isolated","1/10",0.0247259488172581,0.41661413566356,0,0,45.2176870748299,167.301012082339,"GFAP"
"Retinitis pigmentosa","2/101",0.0264315192050236,0.41661413566356,0,0,8.35479797979798,30.3546359095748,"FSCN2;GFAP"
"Pigmentary retinopathy","2/102",0.026917726401911,0.41661413566356,0,0,8.27083333333333,29.898816321571,"FSCN2;GFAP"
"Cerebellar liponeurocytoma","1/12",0.0295987615689071,0.41661413566356,0,0,36.9925788497217,130.214719406514,"GFAP"
"Leber congenital amaurosis","2/108",0.0299104769216571,0.41661413566356,0,0,7.80031446540881,27.3755660286593,"FSCN2;GFAP"
"Vitreoretinochoroidopathy dominant","1/13",0.032026213248763,0.41661413566356,0,0,33.9081632653061,116.684789992962,"GFAP"
"Optic neuropathy anterior ischemic","2/114",0.0330295301793541,0.41661413566356,0,0,7.38020833333333,25.1691175766564,"BEX1;GFAP"
"Megalencephaly polymicrogyria and hydrocephalus (MPPH) syndrome","1/15",0.0368632785936063,0.41661413566356,0,0,29.0612244897959,95.9177159613371,"GFAP"
"Post-Streptococcal Neurologic Disorders","1/15",0.0368632785936063,0.41661413566356,0,0,29.0612244897959,95.9177159613371,"GFAP"
"Macrocephaly benign familial","1/16",0.0392729207344652,0.41661413566356,0,0,27.1224489795918,87.8013353011642,"GFAP"
"Chromosome 15 trisomy mosaicism","1/16",0.0392729207344652,0.41661413566356,0,0,27.1224489795918,87.8013353011642,"GFAP"
"Polyglucosan body disease adult","1/17",0.0416766547912335,0.41661413566356,0,0,25.4260204081633,80.799167280865,"GFAP"
"Desmoplastic infantile astrocytoma","1/18",0.0440744949316927,0.41661413566356,0,0,23.9291716686675,74.7038591145848,"GFAP"
"Currarino triad","1/18",0.0440744949316927,0.41661413566356,0,0,23.9291716686675,74.7038591145848,"GFAP"
"Myokymia with neonatal epilepsy","1/20",0.0488525499820278,0.41661413566356,0,0,21.4081632653061,64.6301466936404,"KCNQ5"
"Epilepsy benign neonatal dominant form","1/22",0.0536071985992548,0.41661413566356,0,0,19.3673469387755,56.6702499978695,"KCNQ5"
"L-2-hydroxyglutaric aciduria","1/22",0.0536071985992548,0.41661413566356,0,0,19.3673469387755,56.6702499978695,"GFAP"
"Megalencephalic leukoencephalopathy with subcortical cysts","1/25",0.0606955298241754,0.41661413566356,0,0,16.9438775510204,47.4748002047703,"GFAP"
"Amyloidosis Finnish type","1/25",0.0606955298241754,0.41661413566356,0,0,16.9438775510204,47.4748002047703,"GFAP"
"Deafness autosomal dominant nonsyndromic sensorineural 3","1/25",0.0606955298241754,0.41661413566356,0,0,16.9438775510204,47.4748002047703,"TMC1"
"Desmoplastic infantile ganglioglioma","1/26",0.0630467249540435,0.41661413566356,0,0,16.265306122449,44.9553406480956,"GFAP"
"Severe infantile axonal neuropathy","1/26",0.0630467249540435,0.41661413566356,0,0,16.265306122449,44.9553406480956,"GFAP"
"Aspartylglycosaminuria","1/26",0.0630467249540435,0.41661413566356,0,0,16.265306122449,44.9553406480956,"GFAP"
"Tufted angioma","1/27",0.0653921522588676,0.41661413566356,0,0,15.6389324960754,42.6528898315632,"GFAP"
"Herpes zoster oticus","1/28",0.0677318256109869,0.41661413566356,0,0,15.0589569160998,40.5417104352724,"GFAP"
"Meningoencephalocele","1/29",0.0700657588372089,0.41661413566356,0,0,14.5204081632653,38.5999069065122,"GFAP"
"Persistent hyperinsulinemic hypoglycemia of infancy","2/177",0.0723859658020668,0.41661413566356,0,0,4.70833333333333,12.362872542539,"PIK3R3;GFAP"
"Glutamine deficiency congenital","1/31",0.0747164600026276,0.41661413566356,0,0,13.5510204081633,35.1520903887112,"GFAP"
"Trisomy 17 mosaicism","1/31",0.0747164600026276,0.41661413566356,0,0,13.5510204081633,35.1520903887112,"GFAP"
"Pars planitis","1/31",0.0747164600026276,0.41661413566356,0,0,13.5510204081633,35.1520903887112,"GFAP"
"2-Hydroxyglutaric aciduria","1/32",0.0770332554327669,0.41661413566356,0,0,13.1132323897301,33.6160080774025,"GFAP"
"ALK+ histiocytosis","1/32",0.0770332554327669,0.41661413566356,0,0,13.1132323897301,33.6160080774025,"GFAP"
"Fibromatosis juvenile hyaline","1/32",0.0770332554327669,0.41661413566356,0,0,13.1132323897301,33.6160080774025,"GFAP"
"Oculodentoosseous dysplasia dominant","1/32",0.0770332554327669,0.41661413566356,0,0,13.1132323897301,33.6160080774025,"GFAP"
"Central post-stroke pain","1/32",0.0770332554327669,0.41661413566356,0,0,13.1132323897301,33.6160080774025,"GFAP"
"Chromosome 1 monosomy 1p","1/32",0.0770332554327669,0.41661413566356,0,0,13.1132323897301,33.6160080774025,"GFAP"
"Duplication of urethra","1/34",0.0816498044624026,0.41661413566356,0,0,12.317254174397,30.8586121657323,"PIK3R3"
"Superficial siderosis of the central nervous system","1/34",0.0816498044624026,0.41661413566356,0,0,12.317254174397,30.8586121657323,"GFAP"
"Triose phosphate-isomerase deficiency","1/34",0.0816498044624026,0.41661413566356,0,0,12.317254174397,30.8586121657323,"GPT2"
"Deafness autosomal recessive 51","1/35",0.0839495853612938,0.41661413566356,0,0,11.9543817527011,29.6174450357809,"TMC1"
"Spastic paraplegia epilepsy mental retardation","1/36",0.0862437219743076,0.41661413566356,0,0,11.6122448979592,28.4567120450411,"GPT2"
"Oculocutaneous albinism type 2","1/36",0.0862437219743076,0.41661413566356,0,0,11.6122448979592,28.4567120450411,"GFAP"
"Neural crest tumor","1/37",0.0885322278902677,0.41661413566356,0,0,11.2891156462585,27.3692036867235,"GFAP"
"Brown-Sequard syndrome","1/37",0.0885322278902677,0.41661413566356,0,0,11.2891156462585,27.3692036867235,"GFAP"
"Hydranencephaly","1/37",0.0885322278902677,0.41661413566356,0,0,11.2891156462585,27.3692036867235,"GFAP"
"Phosphoglucomutase deficiency","1/37",0.0885322278902677,0.41661413566356,0,0,11.2891156462585,27.3692036867235,"GPT2"
"HHV-6 encephalitis","1/38",0.0908151166313485,0.41661413566356,0,0,10.9834528405957,26.3485293003408,"GFAP"
"Corneal dystrophy lattice type 2","1/38",0.0908151166313485,0.41661413566356,0,0,10.9834528405957,26.3485293003408,"GFAP"
"Long QT syndrome 10","2/205",0.0930486614402728,0.41661413566356,0,0,4.05316091954023,9.62476838242684,"TMC1;KCNQ5"
"Acute hemorrhagic leukoencephalitis","1/39",0.0930924017046572,0.41661413566356,0,0,10.6938775510204,25.3890053323137,"GFAP"
"Pineal parenchymal tumors of intermediate differentiation","1/39",0.0930924017046572,0.41661413566356,0,0,10.6938775510204,25.3890053323137,"GFAP"
"Enolase deficiency type 4","1/40",0.0953640965755272,0.41661413566356,0,0,10.4191522762951,24.4855612889518,"GFAP"
"Trisomy 11 mosaicism","1/40",0.0953640965755272,0.41661413566356,0,0,10.4191522762951,24.4855612889518,"GFAP"
"Hyperprolinemia","1/40",0.0953640965755272,0.41661413566356,0,0,10.4191522762951,24.4855612889518,"GFAP"
