"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Book syndrome","1/5",0.0124387771927725,0.283687057869527,0,0,101.765306122449,446.437935140061,"TMC1"
"Diphtheria","2/76",0.0155171628224907,0.283687057869527,0,0,11.1914414414414,46.6214028774471,"B3GAT1;DEFA1"
"WAGR syndrome","1/8",0.0198291614511851,0.283687057869527,0,0,58.1428571428571,227.954980151296,"MPPED2"
"Cysticercosis","1/10",0.0247259488172581,0.283687057869527,0,0,45.2176870748299,167.301012082339,"GFAP"
"Deafness autosomal recessive 51","1/10",0.0247259488172581,0.283687057869527,0,0,45.2176870748299,167.301012082339,"TMC1"
"Hemimegalencephaly","1/10",0.0247259488172581,0.283687057869527,0,0,45.2176870748299,167.301012082339,"GFAP"
"Acetyl-carnitine deficiency","1/11",0.0271653448579924,0.283687057869527,0,0,40.6938775510204,146.734521000359,"SLC25A20"
"Bell's palsy","1/11",0.0271653448579924,0.283687057869527,0,0,40.6938775510204,146.734521000359,"DEFA1"
"Acute disseminated encephalomyelitis","1/12",0.0295987615689071,0.283687057869527,0,0,36.9925788497217,130.214719406514,"GFAP"
"Parapsoriasis","1/12",0.0295987615689071,0.283687057869527,0,0,36.9925788497217,130.214719406514,"DEFA1"
"Weill-Marchesani syndrome","1/13",0.032026213248763,0.283687057869527,0,0,33.9081632653061,116.684789992962,"ADAMTS6"
"Anaplastic ependymoma","2/114",0.0330295301793541,0.283687057869527,0,0,7.38020833333333,25.1691175766564,"BEX1;GFAP"
"Ependymoma","2/114",0.0330295301793541,0.283687057869527,0,0,7.38020833333333,25.1691175766564,"BEX1;GFAP"
"Myxopapillary ependymoma","2/114",0.0330295301793541,0.283687057869527,0,0,7.38020833333333,25.1691175766564,"BEX1;GFAP"
"Caroli disease","1/14",0.0344477141698712,0.283687057869527,0,0,31.298273155416,105.422368949113,"GFAP"
"Deafness autosomal dominant nonsyndromic sensorineural 3","1/14",0.0344477141698712,0.283687057869527,0,0,31.298273155416,105.422368949113,"TMC1"
"Jervell Lange-Nielsen syndrome","1/14",0.0344477141698712,0.283687057869527,0,0,31.298273155416,105.422368949113,"TMC1"
"Chronic myelomonocytic leukemia","2/123",0.0379356146383277,0.295054780520327,0,0,6.82816804407713,22.3408434087686,"B3GAT1;DEFA1"
"Thrombotic thrombocytopenic purpura acquired","1/18",0.0440744949316927,0.310879863521995,0,0,23.9291716686675,74.7038591145848,"DEFA1"
"DFNB1","1/19",0.0464664552952436,0.310879863521995,0,0,22.5986394557823,69.3557808280063,"TMC1"
"Mental retardation epilepsy","3/326",0.0479480379268232,0.310879863521995,0,0,3.87859824780976,11.7817750879622,"SLC4A10;KCNQ5;GFAP"
"Diffuse panbronchiolitis","1/20",0.0488525499820278,0.310879863521995,0,0,21.4081632653061,64.6301466936404,"DEFA1"
"Ellis-Van Creveld syndrome","1/24",0.05833855301301,0.351169690539495,0,0,17.681455190772,50.2417155506286,"TMC1"
"Fazio Londe syndrome","1/25",0.0606955298241754,0.351169690539495,0,0,16.9438775510204,47.4748002047703,"GFAP"
"Epilepsy juvenile absence","2/163",0.0627088733106241,0.351169690539495,0,0,5.1213768115942,14.1823846235064,"SLC4A10;GFAP"
"Nonsyndromic hereditary sensorineural hearing loss","1/27",0.0653921522588676,0.35211158908621,0,0,15.6389324960754,42.6528898315632,"TMC1"
"Warthin's tumor","1/32",0.0770332554327669,0.363260466525394,0,0,13.1132323897301,33.6160080774025,"DEFA1"
"Myoclonus ataxia","1/32",0.0770332554327669,0.363260466525394,0,0,13.1132323897301,33.6160080774025,"GFAP"
"Spinal muscular atrophy","2/186",0.0788471335909125,0.363260466525394,0,0,4.47599637681159,11.37012436769,"RNU1-1;GFAP"
"Cutaneous mastocytosis","1/33",0.0793443657059371,0.363260466525394,0,0,12.702806122449,32.1883751655927,"B3GAT1"
"Familial partial paralysis","1/35",0.0839495853612938,0.363260466525394,0,0,11.9543817527011,29.6174450357809,"GFAP"
"Aniridia","1/36",0.0862437219743076,0.363260466525394,0,0,11.6122448979592,28.4567120450411,"MPPED2"
"Inborn amino acid metabolism disorder","2/197",0.0869804918562357,0.363260466525394,0,0,4.22115384615385,10.3083591544887,"RNU1-1;SLC25A20"
"Ganglioglioma","1/38",0.0908151166313485,0.363260466525394,0,0,10.9834528405957,26.3485293003408,"GFAP"
"Polydactyly postaxial","1/38",0.0908151166313485,0.363260466525394,0,0,10.9834528405957,26.3485293003408,"TMC1"
"Cerebral ventricle cancer","1/49",0.115559999022241,0.439728941339276,0,0,8.46173469387755,18.2601307935979,"GFAP"
"Spinal shock","1/51",0.119987608922091,0.439728941339276,0,0,8.12244897959184,17.2225711551973,"GFAP"
"Long QT syndrome 10","1/51",0.119987608922091,0.439728941339276,0,0,8.12244897959184,17.2225711551973,"TMC1"
"Toxic epidermal necrolysis","1/54",0.126588324068776,0.439728941339276,0,0,7.66153253754332,15.8349703751844,"DEFA1"
"Epilepsy partial familial","1/54",0.126588324068776,0.439728941339276,0,0,7.66153253754332,15.8349703751844,"SLC4A10"
"Stevens-Johnson syndrome","1/55",0.128777761392217,0.439728941339276,0,0,7.51927437641723,15.412009607623,"DEFA1"
"Erythema multiforme","1/62",0.143953936469556,0.446716921506022,0,0,6.65406490465038,12.8973205926637,"DEFA1"
"Systemic mastocytosis","1/65",0.150378421491389,0.446716921506022,0,0,6.34119897959184,12.0140378181151,"B3GAT1"
"Anaplastic oligoastrocytoma","1/71",0.16308595979881,0.446716921506022,0,0,5.79591836734694,10.5107696169887,"GFAP"
"Hemophagocytic lymphohistiocytosis","1/73",0.167280269123171,0.446716921506022,0,0,5.6343537414966,10.0747012408884,"B3GAT1"
"Congenital varicella syndrome","1/78",0.177676125437979,0.446716921506022,0,0,5.26716141001855,9.10056411919043,"DEFA1"
"Acute idiopathic polyneuritis","1/78",0.177676125437979,0.446716921506022,0,0,5.26716141001855,9.10056411919043,"GFAP"
"Guillain-Barre syndrome","1/78",0.177676125437979,0.446716921506022,0,0,5.26716141001855,9.10056411919043,"GFAP"
"Multiple endocrine neoplasia type 1","1/79",0.179739981193554,0.446716921506022,0,0,5.19937205651491,8.92339120694113,"GFAP"
"Leber congenital amaurosis","1/79",0.179739981193554,0.446716921506022,0,0,5.19937205651491,8.92339120694113,"FSCN2"
"Anthrax","1/80",0.181798760490535,0.446716921506022,0,0,5.13329888917592,8.75152984263767,"DEFA1"
"Clostridium difficile","1/87",0.196069097589664,0.446716921506022,0,0,4.71381110583768,7.6801565438185,"DEFA1"
