"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Bicarbonate transporters Homo sapiens R-HSA-425381","1/9",0.0222805591236868,0.443059134240718,0,0,50.8724489795918,193.520869933163,"SLC4A10"
"Alpha-defensins Homo sapiens R-HSA-1462054","1/9",0.0222805591236868,0.443059134240718,0,0,50.8724489795918,193.520869933163,"DEFA1"
"FGFR2b ligand binding and activation Homo sapiens R-HSA-190377","1/10",0.0247259488172581,0.443059134240718,0,0,45.2176870748299,167.301012082339,"FGFBP2"
"Import of palmitoyl-CoA into the mitochondrial matrix Homo sapiens R-HSA-200425","1/11",0.0271653448579924,0.443059134240718,0,0,40.6938775510204,146.734521000359,"SLC25A20"
"Interleukin-7 signaling Homo sapiens R-HSA-1266695","1/11",0.0271653448579924,0.443059134240718,0,0,40.6938775510204,146.734521000359,"PIK3R3"
"Regulation of signaling by CBL Homo sapiens R-HSA-912631","1/18",0.0440744949316927,0.443059134240718,0,0,23.9291716686675,74.7038591145848,"PIK3R3"
"RNA Polymerase III Chain Elongation Homo sapiens R-HSA-73780","1/18",0.0440744949316927,0.443059134240718,0,0,23.9291716686675,74.7038591145848,"POLR3G"
"FGFR2 ligand binding and activation Homo sapiens R-HSA-190241","1/20",0.0488525499820278,0.443059134240718,0,0,21.4081632653061,64.6301466936404,"FGFBP2"
"CD28 dependent PI3K/Akt signaling Homo sapiens R-HSA-389357","1/22",0.0536071985992548,0.443059134240718,0,0,19.3673469387755,56.6702499978695,"PIK3R3"
"RNA Polymerase III Transcription Termination Homo sapiens R-HSA-73980","1/23",0.0559757805878795,0.443059134240718,0,0,18.4860853432282,53.2923554931915,"POLR3G"
"Amino acid synthesis and interconversion (transamination) Homo sapiens R-HSA-70614","1/25",0.0606955298241754,0.443059134240718,0,0,16.9438775510204,47.4748002047703,"GPT2"
"A tetrasaccharide linker sequence is required for GAG synthesis Homo sapiens R-HSA-1971475","1/26",0.0630467249540435,0.443059134240718,0,0,16.265306122449,44.9553406480956,"B3GAT1"
"RNA Polymerase III Transcription Initiation From Type 2 Promoter Homo sapiens R-HSA-76066","1/27",0.0653921522588676,0.443059134240718,0,0,15.6389324960754,42.6528898315632,"POLR3G"
"RNA Polymerase III Transcription Initiation From Type 1 Promoter Homo sapiens R-HSA-76061","1/28",0.0677318256109869,0.443059134240718,0,0,15.0589569160998,40.5417104352724,"POLR3G"
"RNA Polymerase III Transcription Initiation From Type 3 Promoter Homo sapiens R-HSA-76071","1/28",0.0677318256109869,0.443059134240718,0,0,15.0589569160998,40.5417104352724,"POLR3G"
"CD28 co-stimulation Homo sapiens R-HSA-389356","1/33",0.0793443657059371,0.443059134240718,0,0,12.702806122449,32.1883751655927,"PIK3R3"
"Synthesis of PIPs at the plasma membrane Homo sapiens R-HSA-1660499","1/34",0.0816498044624026,0.443059134240718,0,0,12.317254174397,30.8586121657323,"PIK3R3"
"RNA Polymerase III Transcription Initiation Homo sapiens R-HSA-76046","1/36",0.0862437219743076,0.443059134240718,0,0,11.6122448979592,28.4567120450411,"POLR3G"
"Defective B3GALTL causes Peters-plus syndrome (PpS) Homo sapiens R-HSA-5083635","1/37",0.0885322278902677,0.443059134240718,0,0,11.2891156462585,27.3692036867235,"ADAMTS6"
"O-glycosylation of TSR domain-containing proteins Homo sapiens R-HSA-5173214","1/38",0.0908151166313485,0.443059134240718,0,0,10.9834528405957,26.3485293003408,"ADAMTS6"
"Nuclear signaling by ERBB4 Homo sapiens R-HSA-1251985","1/39",0.0930924017046572,0.443059134240718,0,0,10.6938775510204,25.3890053323137,"GFAP"
"RNA Polymerase III Abortive And Retractive Initiation Homo sapiens R-HSA-749476","1/41",0.0976302146847682,0.443059134240718,0,0,10.1581632653061,23.6336602002892,"POLR3G"
"RNA Polymerase III Transcription Homo sapiens R-HSA-74158","1/41",0.0976302146847682,0.443059134240718,0,0,10.1581632653061,23.6336602002892,"POLR3G"
"Voltage gated Potassium channels Homo sapiens R-HSA-1296072","1/43",0.102145774279416,0.443059134240718,0,0,9.6734693877551,22.0686112387857,"KCNQ5"
"Defensins Homo sapiens R-HSA-1461973","1/47",0.111110560303655,0.443059134240718,0,0,8.83052351375333,19.4026870705364,"DEFA1"
"G beta:gamma signalling through PI3Kgamma Homo sapiens R-HSA-392451","1/48",0.113338014836913,0.443059134240718,0,0,8.64220581849761,18.8173716664144,"PIK3R3"
"Chondroitin sulfate/dermatan sulfate metabolism Homo sapiens R-HSA-1793185","1/50",0.117776526004041,0.443059134240718,0,0,8.28862973760933,17.7290996615035,"B3GAT1"
"G-protein beta:gamma signalling Homo sapiens R-HSA-397795","1/51",0.119987608922091,0.443059134240718,0,0,8.12244897959184,17.2225711551973,"PIK3R3"
"GPVI-mediated activation cascade Homo sapiens R-HSA-114604","1/53",0.124393494912872,0.443059134240718,0,0,7.80926216640502,16.2768872389608,"PIK3R3"
"Heparan sulfate/heparin (HS-GAG) metabolism Homo sapiens R-HSA-1638091","1/54",0.126588324068776,0.443059134240718,0,0,7.66153253754332,15.8349703751844,"B3GAT1"
"PI Metabolism Homo sapiens R-HSA-1483255","1/60",0.139644523053441,0.458035252403132,0,0,6.88031822898651,13.544974303559,"PIK3R3"
"Constitutive Signaling by Aberrant PI3K in Cancer Homo sapiens R-HSA-2219530","1/61",0.141801880592737,0.458035252403132,0,0,6.76530612244898,13.2148375405932,"PIK3R3"
"Diseases associated with O-glycosylation of proteins Homo sapiens R-HSA-3906995","1/62",0.143953936469556,0.458035252403132,0,0,6.65406490465038,12.8973205926637,"ADAMTS6"
"Cytosolic sensors of pathogen-associated DNA Homo sapiens R-HSA-1834949","1/66",0.152509397975627,0.470984905512965,0,0,6.24332810047096,11.7407599163322,"POLR3G"
"Costimulation by the CD28 family Homo sapiens R-HSA-388841","1/72",0.165185695910124,0.495557087730371,0,0,5.71399827536648,10.2891110310162,"PIK3R3"
"G alpha (12/13) signalling events Homo sapiens R-HSA-416482","1/75",0.171453976440458,0.496231769384661,0,0,5.4815223386652,9.66633798573148,"PIK3R3"
"RNA polymerase II transcribes snRNA genes Homo sapiens R-HSA-6807505","1/77",0.17560718091187,0.496231769384661,0,0,5.33673469387755,9.28328044629381,"RNU1-1"
