"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"PMC7823074-ciaa751 Suppl Supplementary Table 4.xlsx-Down-reg In DM-TB-Ensembl ID DMPK","3/125",0.00377081701702642,0.855600718679519,0,0,10.3739100104639,57.8912270537887,"FGFBP2;B3GAT1;PIK3R3"
"PMC7823074-ciaa751 Suppl Supplementary Table 4.xlsx-Down-reg In DM-TB-gene Symbol DMPK","3/125",0.00377081701702642,0.855600718679519,0,0,10.3739100104639,57.8912270537887,"FGFBP2;B3GAT1;PIK3R3"
"PMC5406893-13073 2017 429 MOESM4 ESM.xlsx-Sheet1-Table 1 20 Gene AKT Signature AKT1","6/724",0.00903866406082395,0.855600718679519,0,0,3.65257027095467,17.1898865437832,"FGFBP2;BEX1;CACHD1;PIK3R3;POLR3G;CD248"
"PMC9245788-Suppl TableS3-S5.docx-1-IBM DM 1 DMPK","1/10",0.0247259488172581,0.855600718679519,0,0,45.2176870748299,167.301012082339,"MPPED2"
"PMC9528698-NIHMS1835045-supplement-Supp Table 32.xlsx-TTN control-Gene TTN","2/98",0.0249948795228369,0.855600718679519,0,0,8.6171875,31.7895310662435,"SNTG2;GRAMD4"
"PMC10016690-Table 3.xlsx-AKT1 Vs KLF4 Deg all-Unnamed 4 AKT1","7/1173",0.0257915532170908,0.855600718679519,0,0,2.62252183972237,9.59241973052805,"TMEM37;SNTG2;FGFBP2;GPT2;PIK3R3;CD248;GRAMD4"
"PMC10016690-Table 3.xlsx-AKT1 Vs KLF4 Deg all-Significant DE Genes In AKT1 Vs KLF4 Meningiomas AKT1","7/1176",0.0261092733633327,0.855600718679519,0,0,2.61537390335608,9.53425331124332,"TMEM37;SNTG2;FGFBP2;GPT2;PIK3R3;CD248;GRAMD4"
"PMC9528698-NIHMS1835045-supplement-Supp Table 12 13.Xlsx-Control TTN-Gene TTN","2/113",0.032501099312465,0.855600718679519,0,0,7.44707207207207,25.5172536804021,"MPPED2;ADAMTS6"
"PMC9528698-NIHMS1835045-supplement-Supp Table 59 4.xlsx-TTN control-Gene TTN","1/14",0.0344477141698712,0.855600718679519,0,0,31.298273155416,105.422368949113,"KCNQ5"
"PMC3369932-pgen.1002751.s017.pdf-0-JAK1 JAK1","1/14",0.0344477141698712,0.855600718679519,0,0,31.298273155416,105.422368949113,"POLR3G"
"PMC3369932-pgen.1002751.s021.pdf-0-BMPR2 BMPR2","1/14",0.0344477141698712,0.855600718679519,0,0,31.298273155416,105.422368949113,"POLR3G"
"PMC6157291-12864 2018 5027 MOESM4 ESM.xls-MM-HS-05200-HS-GeneName B MAP3K14","1/15",0.0368632785936063,0.855600718679519,0,0,29.0612244897959,95.9177159613371,"PIK3R3"
"PMC10093815-ijms-24-06337.nxml--Top Upregulated DEGs Obese IR-NGT INSR","1/15",0.0368632785936063,0.855600718679519,0,0,29.0612244897959,95.9177159613371,"TBC1D3K"
"PMC10180618-41598 2023 34847 MOESM1 ESM.xlsx-india DM-genes DMPK","3/295",0.0374344170903248,0.855600718679519,0,0,4.29714368988633,14.1168249957624,"SNTG2;TBC1D3K;TBC1D3G"
"PMC6157291-12864 2018 5027 MOESM4 ESM.xls-MM-HS-05200-HS-GeneName A MAP3K14","1/16",0.0392729207344652,0.855600718679519,0,0,27.1224489795918,87.8013353011642,"PIK3R3"
