"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"PMC5049997-mmc1.xlsx-Supplementary Table 1 up-Supplementary Table 1 Transcripts That Significantly Increase With Cancer Therapy Up","4/129",0.000302338421732032,0.816184849605587,0,0,13.7913043478261,111.764227965616,"ZNF683;FGFBP2;B3GAT1;PIK3R3"
"PMC9313491-ADVS-9-2201436-s004.xlsx-HUVECs-Supplementary Table 4 Genes Up-Regulated In HUVECs Under Tri-Culture Conditions Relative To Mono-Culture Up","3/76",0.000908974653100311,0.816184849605587,0,0,17.3800641212475,121.715949451356,"BEX1;LRRN3;GFAP"
"PMC5100803-hyp-68-1424-s001.docx-16-Top Genes Up-Regulated Up","2/18",0.000913470506242016,0.816184849605587,0,0,51.9114583333333,363.289854841827,"BEX1;KLHL4"
"PMC3285188-pone.0031887.s002.xls-up Shared In IF And ID group-Unnamed 1 Up","3/86",0.00130025407701457,0.816184849605587,0,0,15.2783901563702,101.527890885651,"ZNF683;FGFBP2;B3GAT1"
"PMC5244546-13059 2016 1137 MOESM3 ESM.xlsx-1 5-Fold-down-gene Name Down","2/23",0.00149850339584869,0.816184849605587,0,0,39.5416666666667,257.150862349481,"ZNF683;B3GAT1"
"PMC5244546-13059 2016 1137 MOESM3 ESM.xlsx-1 5-Fold-down-ensembl Gene Id Down","2/23",0.00149850339584869,0.816184849605587,0,0,39.5416666666667,257.150862349481,"ZNF683;B3GAT1"
"PMC7966680-mmc2.xlsx-Th1 Signature-Up Up","3/106",0.00236674549783851,0.9987375075578,0,0,12.2993183226606,74.3646239606671,"ZNF683;FGFBP2;LRRN3"
"PMC6344081-elife-40364-supp1.xlsx-10days Down 1 5 fold-Symbol Down","5/377",0.00244804385025732,0.9987375075578,0,0,5.84767025089606,35.158918573283,"BEX1;LRRN3;MPPED2;KCNQ5;ADAMTS6"
"PMC6627005-mmc2.xlsx-BM Down 2-Gene Symbol Down","5/413",0.00362007854368498,0.9987375075578,0,0,5.3218954248366,29.9157555141157,"BEX1;LRRN3;MPPED2;CD248;FSCN2"
"PMC7823074-ciaa751 Suppl Supplementary Table 4.xlsx-Down-reg In DM-TB-Ensembl ID Down","3/125",0.00377081701702642,0.9987375075578,0,0,10.3739100104639,57.8912270537887,"FGFBP2;B3GAT1;PIK3R3"
"PMC7823074-ciaa751 Suppl Supplementary Table 4.xlsx-Down-reg In DM-TB-gene Symbol Down","3/125",0.00377081701702642,0.9987375075578,0,0,10.3739100104639,57.8912270537887,"FGFBP2;B3GAT1;PIK3R3"
"PMC6606589-41467 2019 10756 MOESM5 ESM.xlsx-Microglia Up-Index Up","3/128",0.00403002265896121,0.9987375075578,0,0,10.1234042553191,55.8202818052518,"GPT2;KLHL4;ADAMTS6"
"PMC7605554-media-2.xlsx-DEGs Specific For Each Wave-Late Up CD4 Specific Up","3/135",0.00467634447509298,0.9987375075578,0,0,9.58317214700193,51.4160048196418,"FGFBP2;SLC4A10;POLR3G"
"PMC8202434-44f8762cc34243a5fdea0a05.xlsx-DEGs Specific For Each Wave-Late Up CD4 Specific Up","3/135",0.00467634447509298,0.9987375075578,0,0,9.58317214700193,51.4160048196418,"FGFBP2;SLC4A10;POLR3G"
"PMC6570482-elife-46339-supp2.xlsx-c Up In dICP0 ICP4 negative-Gene Name Up","2/47",0.00616259351355971,0.9987375075578,0,0,18.4305555555556,93.7978442903707,"LRRN3;B3GAT1"
"PMC5728719-elife-28415-fig2-data1.xlsx-11 Front V 13 Front DE Dn txt-Name Down","4/297",0.00641902871134881,0.9987375075578,0,0,5.83380323490132,29.4518883314381,"SNTG2;FGFBP2;FSCN2;KLHL4"
"PMC6627005-mmc2.xlsx-BM Down 1 5-Unnamed 0 Down","7/903",0.00685698085988227,0.9987375075578,0,0,3.46184593023256,17.2486059506617,"BEX1;LRRN3;GPT2;MPPED2;POLR3G;CD248;FSCN2"
"PMC9950457-mmc3.xlsx-GRHL2 Overexpression DOWN-gene Down","5/489",0.00733987626095573,0.9987375075578,0,0,4.46877869605142,21.9615148104239,"TMC1;LRRN3;KCNQ5;KLHL4;GFAP"
"PMC6907053-3435901.f1.xlsx-Supplementary Table 1 Up genes-Unnamed 9 Up","3/180",0.01030679429305,0.9987375075578,0,0,7.13054453660296,32.6218987115246,"VMO1;LRRN3;MPPED2"
"PMC9899501-NIHMS1869252-supplement-Table S4.xlsx-REACTOME DOWN 2 5-PAX3 Down","2/62",0.0105265894654257,0.9987375075578,0,0,13.8125,62.9000654557375,"CACHD1;POLR3G"
"PMC9473489-CTM2-12-e990-s010.xlsx-five Down DEGs list-Unnamed 1 Down","3/184",0.010937029699747,0.9987375075578,0,0,6.9715528388386,31.4807511595636,"LRRN3;SLC4A10;ADAMTS6"
