"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"PMC6938408-pone.0226190.s004.xlsx-C17-SATB1 SATB1","2/31",0.00271925564825044,0.924536747772505,0,0,28.6221264367816,169.082266561275,"LRRN3;PIK3R3"
"PMC6938365-pone.0226733.s018.txt--POU5F1 POU5F1","2/41",0.00471949516973858,0.924536747772505,0,0,21.2724358974359,113.936303479866,"SNTG2;MPPED2"
"PMC4467436-oncotarget-06-6267-s002.xlsx-140527 cd44Cutoff txt-OLIG2-M OLIG2","5/450",0.00519948923370705,0.924536747772505,0,0,4.87016229712859,25.6131326300332,"BEX1;MPPED2;B3GAT1;KLHL4;GFAP"
"PMC9950457-mmc3.xlsx-GRHL2 Overexpression DOWN-gene GRHL2","5/489",0.00733987626095573,0.924536747772505,0,0,4.46877869605142,21.9615148104239,"TMC1;LRRN3;KCNQ5;KLHL4;GFAP"
"PMC6938365-pone.0226733.s018.txt--ZNF217 ZNF217","2/54",0.00806767008426316,0.924536747772505,0,0,15.9439102564103,76.8479024006269,"SNTG2;MPPED2"
"PMC7906903-41366 2020 716 MOESM2 ESM.xlsx-DEG HMGA2-fusion-Gene Symbol HMGA2","4/320",0.00830835059573493,0.924536747772505,0,0,5.40286186020914,25.8823782647079,"VMO1;FGFBP2;GPT2;CD248"
"PMC2883591-pgen.1000979.s003.xls-NRSF GENELISTS WitOut GeneSig g-Unnamed 2 REST","2/61",0.0102031878981959,0.924536747772505,0,0,14.0473163841808,64.407719185876,"BEX1;LRRN3"
"PMC9899501-NIHMS1869252-supplement-Table S4.xlsx-REACTOME DOWN 2 5-PAX3 PAX3","2/62",0.0105265894654257,0.924536747772505,0,0,13.8125,62.9000654557375,"CACHD1;POLR3G"
"PMC7036277-peerj-08-8662-s004.xlsx-62 Genes Were Upregulated In th-Supplemental Table S2 62 Genes Were Upregulated In The EN2-Eca109 Cells As Compared With The NEO-Eca109 Cells Related To Figure 5A EN2","2/63",0.0108545013893802,0.924536747772505,0,0,13.5853825136612,61.4490681271471,"CD248;ADAMTS6"
"PMC7918644-LSA-2020-00974 TableS2.xlsx-6 SAd2 D BD-SOX2 SOX2","3/186",0.0112603660625243,0.924536747772505,0,0,6.89466341123125,30.9326739881093,"B3GAT1;CACHD1;POLR3G"
