"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"H322 Mitochondria Unclassified 30609389","1/62",0.143953936469556,0.999570018148341,0,0,6.65406490465038,12.8973205926637,"GPT2"
"U251 Mitochondria M1 30609389","1/170",0.347759333321801,0.999570018148341,0,0,2.38872116894095,2.52307385797591,"GPT2"
"A431 Mitochondria M1 30609389","1/224",0.430987822009717,0.999570018148341,0,0,1.8053445593484,1.5195141844209,"GPT2"
"MCF7 Mitochondria Unclassified 30609389","1/231",0.440983746701717,0.999570018148341,0,0,1.74977817213842,1.43262608363693,"GPT2"
"U251 Secretory S4 30609389","1/241",0.454965735127516,0.999570018148341,0,0,1.67602040816327,1.3199216654931,"KCNQ5"
"HCC827 Secretory S2 30609389","1/271",0.494887115497965,0.999570018148341,0,0,1.4875283446712,1.04636550634774,"GRAMD4"
"U251 Secretory S3 30609389","1/280",0.5062944242283,0.999570018148341,0,0,1.43888523151196,0.979358401920689,"CACHD1"
"HCC827 Mitochondria M1 30609389","1/290",0.518673213066125,0.999570018148341,0,0,1.3883906503778,0.91145241770647,"GPT2"
"A431 Secretory S2 30609389","1/332",0.567425231284358,0.999570018148341,0,0,1.20963068006659,0.685432736340371,"GRAMD4"
"H322 Mitochondria M2 30609389","1/336",0.571807573645991,0.999570018148341,0,0,1.19494364910143,0.667917043433209,"SLC25A20"
"MCF7 Mitochondria M2 30609389","1/349",0.585751828008511,0.999570018148341,0,0,1.14954257565095,0.614843285352273,"SLC25A20"
"A431 Nuclear N3 30609389","1/349",0.585751828008511,0.999570018148341,0,0,1.14954257565095,0.614843285352273,"SLC25A20"
"HCC827 Mitochondria M2 30609389","1/361",0.59822788134879,0.999570018148341,0,0,1.11054421768707,0.570579322977747,"SLC25A20"
"U251 Secretory Unclassified 30609389","3/1231",0.60171174363513,0.999570018148341,0,0,0.973144362048652,0.494334739041956,"SLC4A10;GRAMD4;GFAP"
"MCF7 Unclassified Unclassified 30609389","2/878",0.651117428523143,0.999570018148341,0,0,0.907248858447489,0.389268977572252,"SLC4A10;KCNQ5"
"H322 Secretory S2 30609389","1/451",0.680762385356932,0.999570018148341,0,0,0.884353741496599,0.340071115694011,"GRAMD4"
"U251 Unclassified Unclassified 30609389","2/942",0.689292077126904,0.999570018148341,0,0,0.842641843971631,0.313538758130808,"SLC25A20;ADAMTS6"
"MCF7 Nuclear N4 30609389","2/1028",0.735258664858731,0.999570018148341,0,0,0.768518518518518,0.236344741539888,"MPPED2;POLR3G"
"H322 Secretory S3 30609389","1/543",0.747911936150861,0.999570018148341,0,0,0.730777920024098,0.212269091921623,"CACHD1"
"HCC827 Unclassified Unclassified 30609389","1/586",0.774342778861416,0.999570018148341,0,0,0.67556253270539,0.172768792233208,"GFAP"
"H322 Unclassified Unclassified 30609389","1/635",0.801159898446699,0.999570018148341,0,0,0.621772999420588,0.137843796175139,"GFAP"
"H322 Secretory Unclassified 30609389","1/653",0.810204875221195,0.999570018148341,0,0,0.604044071616377,0.127132026749913,"KCNQ5"
"HCC827 Secretory Unclassified 30609389","2/1326",0.852965294478921,0.999570018148341,0,0,0.586165659617321,0.0932216872961491,"CACHD1;KCNQ5"
"A431 Unclassified Unclassified 30609389","1/795",0.868744633322239,0.999570018148341,0,0,0.492366216007814,0.0692789101311853,"KCNQ5"
"A431 Nuclear N4 30609389","1/884",0.895978063762002,0.999570018148341,0,0,0.440682275175076,0.0484042540956448,"POLR3G"
"HCC827 Cytosol C2 30609389","1/897",0.899461149005681,0.999570018148341,0,0,0.433992346938776,0.0459855766244794,"POLR3G"
"U251 Nuclear N4 30609389","1/903",0.90102992498537,0.999570018148341,0,0,0.430969727136975,0.044914289671024,"POLR3G"
"MCF7 Secretory Unclassified 30609389","2/1808",0.947906435238383,0.999570018148341,0,0,0.418604651162791,0.0223951305783812,"CACHD1;GRAMD4"
"H322 Cytosol Unclassified 30609389","2/2508",0.989999975906258,0.999570018148341,0,0,0.290037243947858,0.00291497877036915,"PIK3R3;POLR3G"
"U251 Cytosol Unclassified 30609389","2/2632",0.992645827513831,0.999570018148341,0,0,0.274397972116603,0.0020254268482985,"PIK3R3;KLHL4"
"HCC827 Cytosol Unclassified 30609389","1/2501",0.998751841369328,0.999570018148341,0,0,0.142448979591837,0.00017790997635582,"PIK3R3"
"A431 Cytosol Unclassified 30609389","1/2549",0.998911862695047,0.999570018148341,0,0,0.139381027136129,0.000151748271688316,"PIK3R3"
"MCF7 Cytosol Unclassified 30609389","1/2871",0.999570018148341,0.999570018148341,0,0,0.121453459432554,5.22340140212317e-05,"PIK3R3"
