"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"MGS1120 Murine E13 tongue Smad4 mutant v WT GSE35357 down","3/86",0.00130025407701457,0.282121326692272,0,0,15.2783901563702,101.527890885651,"LRRN3;CACHD1;PIK3R3"
"MGS734 Murine age11wk myocardium aortic banding v sham GSE36074 down","3/102",0.00212121298264866,0.282121326692272,0,0,12.7988394584139,78.7866760375365,"GPT2;MPPED2;SLC25A20"
"MGS732 Murine age11wk myocardium aortic banding failing v sham GSE36074 down","3/141",0.00527754539785832,0.467942358610105,0,0,9.16373728029602,48.0573340506105,"GPT2;MPPED2;SLC25A20"
"MGS766 Murine age12wk quad Mbnl1 KO v WT GSE14691 down","2/54",0.00806767008426316,0.489616132326891,0,0,15.9439102564103,76.8479024006269,"SLC4A10;SLC25A20"
"MGS1169 Murine TA and EDL muscles PGC1a KO v control GSE34773 up","2/72",0.0140048037295853,0.489616132326891,0,0,11.8333333333333,50.5088661353622,"BEX1;KCNQ5"
"MGS909 Murine age6wk skel muscle high fat diet v WT E-BAIR-11 up","3/213",0.0161697217065986,0.489616132326891,0,0,6,24.747688896105,"KCNQ5;CD248;SLC25A20"
"MGS1014 Murine C2C12 myotube 24h diff E1A dedifferentiation induction v control GSE28457 down","2/82",0.0179108739546234,0.489616132326891,0,0,10.3489583333333,41.6271042692115,"BEX1;GPT2"
"MGS409 Human rhabdomyosarcoma cells v osteosarcoma E-MTAB-37 up","2/83",0.0183241429417303,0.489616132326891,0,0,10.2206790123457,40.8779716326206,"FGFBP2;MPPED2"
"MGS820 Murine age20wk heart failing apoE deficient cystamine 1mo v WT GSE25768 down","2/84",0.0187414436957379,0.489616132326891,0,0,10.0955284552846,40.1500980524822,"BEX1;GRAMD4"
"MGS885 Murine age4wk heart frataxin KO v WT GSE31208 up","1/8",0.0198291614511851,0.489616132326891,0,0,58.1428571428571,227.954980151296,"BEX1"
"MGS412 Human child male DMD v healthy GSE38417 down","2/93",0.0226749954090764,0.489616132326891,0,0,9.09294871794872,34.4303819910702,"MPPED2;FSCN2"
"MGS3 Human vastus lateralis insulin sensitive after high fat diet v before high fat diet PMID 15983191 up","2/94",0.0231314233527167,0.489616132326891,0,0,8.99365942028986,33.8751872133159,"B3GAT1;GRAMD4"
"MGS807 Murine age1wk cardiomyocyte Tfr1 KO v WT GSE68745 up","1/14",0.0344477141698712,0.489616132326891,0,0,31.298273155416,105.422368949113,"SLC25A20"
"MGS810 Murine age1wk gastroc Tfr1 KO v WT GSE68675 down","2/117",0.0346350824710413,0.489616132326891,0,0,7.18659420289855,24.1677126013803,"TMEM37;PIK3R3"
"MGS884 Murine age4wk TA hex 6 phosph dehydrogenase KO v WT GSE10347 down","2/118",0.0351769550093682,0.489616132326891,0,0,7.1242816091954,23.8475644827565,"GPT2;MPPED2"
"MGS716 Murine age10wk left ventricle female transverse aortic constriction estrogen receptor beta KO v sham GSE18224 down","2/119",0.0357221395623332,0.489616132326891,0,0,7.06303418803419,23.5339213317228,"MPPED2;SLC25A20"
"MGS770 Murine age13mo gastroc mitochondiral DNA polymerase def v control GSE21189 down","2/127",0.0402005574491777,0.489616132326891,0,0,6.60833333333333,21.2383534360897,"TMEM37;SLC25A20"
"MGS965 Murine age8wk quad ERRgamma overexpression v control GSE22086 up","2/130",0.0419323175536406,0.489616132326891,0,0,6.45247395833333,20.4653016352662,"TMEM37;SLC25A20"
"MGS725 Murine age11wk heart SRC 2 KO v WT GSE41558 up","1/19",0.0464664552952436,0.489616132326891,0,0,22.5986394557823,69.3557808280063,"SLC25A20"
"MGS1290 Murine heart deletion Df 11 17 on chrom 11 v WT GSE14802 down","2/145",0.0509979504142339,0.489616132326891,0,0,5.7712703962704,17.1751266090537,"BEX1;SLC25A20"
"MGS1042 Murine C2C12 myotube 3d diff DFO iron chelator v control GSE42299 down","2/154",0.0567455048100272,0.489616132326891,0,0,5.42708333333333,15.5712726420437,"TMEM37;BEX1"
