"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"neurod1 17630985 pineal gland lof mouse gpl1261 gds3000 down","2/152",0.0554491879134877,0.999992599777177,0,0,5.5,15.9075851587205,"LRRN3;POLR3G"
"cdkn1b 00000000 mouse embryonic fibroblast mef lof mouse gpl6246 gse27672 up","2/273",0.148837930516961,0.999992599777177,0,0,3.02567650676507,5.76360294692497,"CACHD1;CD248"
"foxa1 23539448 lncap lof human gpl10558 gse37314 up","2/285",0.159296282132805,0.999992599777177,0,0,2.8956124852768,5.3192094451915,"POLR3G;GRAMD4"
"nanog 16518401 mesc lof mouse gpl1261 gds1824 down","1/89",0.20010134077429,0.999992599777177,0,0,4.60621521335807,7.41108400124833,"POLR3G"
"lmx1b 18351676 hind limb bud lof mouse gpl1261 gds3320 down","2/352",0.219742366195314,0.999992599777177,0,0,2.33333333333333,3.53569879041897,"SLC25A20;ADAMTS6"
"creb1 18801183 k562 lof human gpl570 gds3487 down","1/103",0.22777734539855,0.999992599777177,0,0,3.97118847539016,5.87492334394335,"SLC25A20"
"wt1 17088532 huvec lof human gpl570 gds2010 up","1/125",0.269382960523102,0.999992599777177,0,0,3.26300197498354,4.2798227837863,"GPT2"
"stat3 00000000 a549 lof human gpl571 gse42979 up","1/129",0.27670792410592,0.999992599777177,0,0,3.16039540816327,4.06045312240468,"ADAMTS6"
"nanog 16518401 mesc lof mouse gpl1261 gds1824 up","1/143",0.301782956468689,0.999992599777177,0,0,2.84679505605059,3.41059486630523,"SLC25A20"
"pou5f1 16518401 mesc lof mouse gpl1261 gds1824 down","2/445",0.306037498740937,0.999992599777177,0,0,1.83474416854778,2.17242450209895,"GPT2;POLR3G"
"stat3 00000000 a549 lof human gpl571 gse42979 down","1/146",0.307044282279795,0.999992599777177,0,0,2.78747361013371,3.29134653812698,"LRRN3"
"esrra 19901197 kidney lof mouse gpl1261 gse16623 up","2/466",0.325448136591418,0.999992599777177,0,0,1.74982040229885,1.96426468029191,"ODF3;KCNQ5"
"bcl11b 18199763 brain lof mouse gpl1261 gds3178 up","3/812",0.331570256860987,0.999992599777177,0,0,1.51021749993425,1.66715259048549,"LRRN3;MPPED2;B3GAT1"
"bcor 22012066 cn aml lof human gpl570 gds4280 down","1/164",0.337805969121272,0.999992599777177,0,0,2.47740077626142,2.68868244347541,"POLR3G"
"eomes 23431145 e14dot5 neocortex lof mouse gpl6246 gse43387 down","1/169",0.346110681646573,0.999992599777177,0,0,2.4030612244898,2.54963994719995,"LRRN3"
"sp1 22099172 dental follicle cell gof human gpl11532 gse31628 down","1/171",0.349403911180835,0.999992599777177,0,0,2.37454981992797,2.49690250610292,"SNTG2"
"emx2 20962046 e10dot5 urogenital epithelium lof mouse gpl1261 gds3173 up","2/497",0.353859749377238,0.999992599777177,0,0,1.63762626262626,1.70125562931735,"KCNQ5;CD248"
"sox4 16636670 acc3 lof human gpl96 gds2193 up","1/175",0.355941681166819,0.999992599777177,0,0,2.31949331456721,2.39600963794873,"MPPED2"
"klf7 17123745 olfactory epithelium lof mouse gpl1261 gds2069 up","1/175",0.355941681166819,0.999992599777177,0,0,2.31949331456721,2.39600963794873,"FSCN2"
"zbtb7b 19734230 cd8 p14 memory lof mouse gpl1261 gds3566 down","1/188",0.376747905118404,0.999992599777177,0,0,2.1568263669104,2.1054486101079,"GPT2"
"znf217 22593193 mda mb 231 gof human gpl570 gse35511 down","3/917",0.403853810245628,0.999992599777177,0,0,1.32939149867312,1.20536235913834,"MPPED2;POLR3G;ADAMTS6"
"pou5f1 16518401 mesc lof mouse gpl1261 gds1824 up","2/580",0.427732103970159,0.999992599777177,0,0,1.39648212226067,1.18597390001425,"TMEM37;SLC25A20"
"hnf4a 21852396 wao9 lof human gpl570 gds3926 down","2/580",0.427732103970159,0.999992599777177,0,0,1.39648212226067,1.18597390001425,"BEX1;GPT2"
