"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"VDR OE HUMAN GSE5145 CREEDSID GENE 2944 UP","5/276",0.000615636934341932,0.345372320165824,0,0,8.06847068470685,59.649019001778,"LRRN3;CACHD1;PIK3R3;CD248;GRAMD4"
"NEUROD1 KO MOUSE GSE35396 CREEDSID GENE 3092 UP","4/299",0.00657063162420295,0.641401435991715,0,0,5.7936624907885,29.1139959134737,"BEX1;LRRN3;SLC4A10;GFAP"
"SATB1 KO MOUSE GSE44107 CREEDSID GENE 1504 UP","3/180",0.01030679429305,0.641401435991715,0,0,7.13054453660296,32.6218987115246,"TMEM37;KCNQ5;KLHL4"
"CREB1 KD MOUSE GSE17478 CREEDSID GENE 2158 DOWN","3/184",0.010937029699747,0.641401435991715,0,0,6.9715528388386,31.4807511595636,"BEX1;GPT2;MPPED2"
"BCL11B KO MOUSE GSE9330 CREEDSID GENE 28 UP","4/354",0.0117193364880028,0.641401435991715,0,0,4.8695652173913,21.6525953186871,"LRRN3;MPPED2;SLC4A10;PIK3R3"
"CEBPG KO MOUSE GSE47777 CREEDSID GENE 3104 DOWN","3/197",0.0131374760042192,0.641401435991715,0,0,6.50010967317394,28.1603365359892,"GPT2;CD248;ADAMTS6"
"NR2E3 OE MOUSE GSE5338 CREEDSID GENE 2384 DOWN","4/389",0.0160621440048671,0.641401435991715,0,0,4.41897233201581,18.2560565576966,"LRRN3;SLC4A10;PIK3R3;KLHL4"
"NCOA3 KD MOUSE GSE50017 CREEDSID GENE 1712 UP","3/233",0.0204702375459646,0.641401435991715,0,0,5.472710453284,21.2821848784768,"CACHD1;KLHL4;ADAMTS6"
"NRL KO MOUSE GSE4051 CREEDSID GENE 2726 DOWN","3/237",0.0213988828247723,0.641401435991715,0,0,5.37806873977087,20.6755365388741,"BEX1;LRRN3;PIK3R3"
"NRL DEFICIENCY MOUSE GSE4051 CREEDSID GENE 263 DOWN","3/247",0.0238207699777964,0.641401435991715,0,0,5.15504011161493,19.2654024542508,"BEX1;PIK3R3;KLHL4"
"MYC OE MOUSE GSE55272 CREEDSID GENE 1822 UP","2/102",0.026917726401911,0.641401435991715,0,0,8.27083333333333,29.898816321571,"VMO1;BEX1"
"GFI1B OE MOUSE GSE33709 CREEDSID GENE 452 UP","3/261",0.0274521329320867,0.641401435991715,0,0,4.87184562097971,17.5158021566683,"LRRN3;GPT2;SLC25A20"
"GFI1B OE MOUSE GSE33709 CREEDSID GENE 772 DOWN","3/262",0.0277222522618539,0.641401435991715,0,0,4.85278895917194,17.39977117753,"LRRN3;GPT2;SLC25A20"
"NR1I3 KNOCKIN BACKGROUND MOUSE GSE40120 CREEDSID GENE 3071 UP","3/285",0.0343284171521733,0.641401435991715,0,0,4.45178813942961,15.010458134348,"TMEM37;GPT2;POLR3G"
"NFKB1 KD HUMAN GSE65363 CREEDSID GENE 1558 DOWN","3/286",0.0346326750027729,0.641401435991715,0,0,4.43583189233892,14.917514922024,"BEX1;LRRN3;POLR3G"
"TET2 DEPLETION HUMAN GSE51901 CREEDSID GENE 2988 DOWN","3/296",0.0377527483630684,0.641401435991715,0,0,4.28225982136374,14.0316679168097,"LRRN3;MPPED2;KLHL4"
"FOSL1 KO MOUSE GSE43695 CREEDSID GENE 430 UP","3/297",0.0380724806808945,0.641401435991715,0,0,4.26747720364742,13.9472401937198,"POLR3G;KLHL4;GIMAP3P"
"ESR2 KO MOUSE GSE9371 CREEDSID GENE 2431 DOWN","3/297",0.0380724806808945,0.641401435991715,0,0,4.26747720364742,13.9472401937198,"SNTG2;BEX1;GRAMD4"
"FOXP3 ACTIVATION HUMAN GSE41087 CREEDSID GENE 1054 UP","3/303",0.0400202262983049,0.641401435991715,0,0,4.18085106382979,13.4555268725362,"ZNF683;FGFBP2;KLHL4"
"TET1 OE HUMAN GSE43741 CREEDSID GENE 2855 UP","3/305",0.0406806251685393,0.641401435991715,0,0,4.15274059461744,13.2970892539595,"RNU1-3;KLHL4;ADAMTS6"
"PPARG OE MOUSE GSE10192 CREEDSID GENE 2732 UP","2/137",0.0460802533373535,0.641401435991715,0,0,6.11574074074074,18.8204017608793,"TMEM37;LRRN3"
"FOXP3 DEFICIENCY MOUSE GSE35543 CREEDSID GENE 3037 DOWN","3/323",0.0468728629064742,0.641401435991715,0,0,3.9155585106383,11.9828478745964,"BEX1;PIK3R3;ADAMTS6"
"MYB KD HUMAN GSE49286 CREEDSID GENE 1835 UP","3/333",0.0505041539732783,0.641401435991715,0,0,3.79497098646035,11.3306436947489,"RNU1-3;RNU1-1;RNVU1-18"
"PCGF6 KD MOUSE GSE56126 CREEDSID GENE 1340 DOWN","2/151",0.0548050675108287,0.641401435991715,0,0,5.53719239373602,16.0798550835806,"KLHL4;ADAMTS6"
"JUN DOMNEG MOUSE GSE6850 CREEDSID GENE 1505 UP","2/154",0.0567455048100272,0.641401435991715,0,0,5.42708333333333,15.5712726420437,"GPT2;SLC25A20"
"PBX1 OE MOUSE GSE22313 CREEDSID GENE 2627 DOWN","2/167",0.0654253696190186,0.641401435991715,0,0,4.99621212121212,13.6238969463534,"BEX1;CD248"
"MECP2 KO MOUSE GSE8720 CREEDSID GENE 2417 UP","2/170",0.0674885332401351,0.641401435991715,0,0,4.90625,13.2262568447806,"MPPED2;CACHD1"
"PAX5 OE HUMAN GSE44244 CREEDSID GENE 575 DOWN","2/173",0.0695733267379958,0.641401435991715,0,0,4.81944444444444,12.8456220208568,"KCNQ5;KLHL4"
"SMAD4 MUT MOUSE GSE47811 CREEDSID GENE 2626 UP","2/179",0.0738061123878065,0.641401435991715,0,0,4.65466101694915,12.131506903576,"BEX1;PIK3R3"
"TFAP2C KO MOUSE GSE45941 CREEDSID GENE 1488 UP","2/185",0.078120393358315,0.641401435991715,0,0,4.50068306010929,11.4745100841243,"MPPED2;PIK3R3"
"KCNIP3 KO MOUSE GSE16874 CREEDSID GENE 1031 DOWN","2/190",0.0817755293827745,0.641401435991715,0,0,4.37987588652482,10.9662335233517,"GRAMD4;GIMAP3P"
"ARID3A KD MOUSE GSE56853 CREEDSID GENE 1337 DOWN","2/192",0.0832523822519886,0.641401435991715,0,0,4.33333333333333,10.7721403178632,"GPT2;CACHD1"
"CBX2 KO MOUSE GSE29485 CREEDSID GENE 381 UP","2/195",0.0854831524975729,0.641401435991715,0,0,4.26532815198618,10.490301477725,"KCNQ5;ADAMTS6"
"ESR1 KO MOUSE GSE9371 CREEDSID GENE 2430 DOWN","2/195",0.0854831524975729,0.641401435991715,0,0,4.26532815198618,10.490301477725,"BEX1;SLC4A10"
"PPARA KO MOUSE GSE6864 CREEDSID GENE 1373 DOWN","2/196",0.0862308158063644,0.641401435991715,0,0,4.24312714776632,10.3987491221252,"TMEM37;SLC25A20"
"OTX2 KO MOUSE GSE27630 CREEDSID GENE 78 UP","2/197",0.0869804918562357,0.641401435991715,0,0,4.22115384615385,10.3083591544887,"MPPED2;CD248"
"GRHL2 KD MOUSE GSE40729 CREEDSID GENE 2534 UP","2/198",0.0877321663879583,0.641401435991715,0,0,4.19940476190476,10.2191115191489,"BEX1;ADAMTS6"
"PPARA KO MOUSE GSE6864 CREEDSID GENE 1372 UP","2/198",0.0877321663879583,0.641401435991715,0,0,4.19940476190476,10.2191115191489,"TMEM37;SLC25A20"
"MYC HYPERACTIVE HMEC HUMAN GSE66182 RNASEQ UP","2/201",0.0899990393946085,0.641401435991715,0,0,4.13546901172529,9.95802858622237,"PIK3R3;POLR3G"
"ZNF207 OE HUMAN GSE9951 CREEDSID GENE 1581 UP","2/206",0.0938158179234975,0.641401435991715,0,0,4.03308823529412,9.54398793184306,"PIK3R3;KCNQ5"
