"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"6hr desmopressin acetate","2/96",0.0240556444712905,0.999989565817611,0,0,8.80141843971631,32.8062804628164,"LRRN3;PIK3R3"
"24hr allyl alcohol","2/116",0.0340965412337713,0.999989565817611,0,0,7.25,24.494555142005,"GRAMD4;GFAP"
"9hr moxisylyte","2/130",0.0419323175536406,0.999989565817611,0,0,6.45247395833333,20.4653016352662,"TMEM37;SLC25A20"
"9hr valproic acid","2/158",0.0593699722530508,0.999989565817611,0,0,5.28685897435897,14.9299136809085,"POLR3G;SLC25A20"
"6hr allopurinol","1/41",0.0976302146847682,0.999989565817611,0,0,10.1581632653061,23.6336602002892,"GFAP"
"28d PCT","2/226",0.109534355083016,0.999989565817611,0,0,3.66927083333333,8.11465494984633,"CACHD1;POLR3G"
"3d BBr","3/498",0.12804327776642,0.999989565817611,0,0,2.50870406189555,5.15635762700428,"TMEM37;GPT2;SLC25A20"
"14d COL","1/61",0.141801880592737,0.999989565817611,0,0,6.76530612244898,13.2148375405932,"GRAMD4"
"14d FAM","1/64",0.14824219418026,0.999989565817611,0,0,6.4421768707483,12.2975222932606,"GPT2"
"14d CHL","1/67",0.154635136309991,0.999989565817611,0,0,6.14842300556586,11.4771806572209,"GPT2"
"6hr lornoxicam","1/68",0.156755649080656,0.999989565817611,0,0,6.05635089856838,11.2228243619718,"GRAMD4"
"14d DDAVP","1/71",0.16308595979881,0.999989565817611,0,0,5.79591836734694,10.5107696169887,"GRAMD4"
"28d TC","1/71",0.16308595979881,0.999989565817611,0,0,5.79591836734694,10.5107696169887,"GPT2"
"6hr carboplatin","1/73",0.167280269123171,0.999989565817611,0,0,5.6343537414966,10.0747012408884,"GRAMD4"
"6hr labetalol","1/75",0.171453976440458,0.999989565817611,0,0,5.4815223386652,9.66633798573148,"GRAMD4"
"28d NFT","1/76",0.173533135363907,0.999989565817611,0,0,5.40816326530612,9.4717853003048,"POLR3G"
"28d TIO","2/307",0.178811539184851,0.999989565817611,0,0,2.68374316939891,4.61985689986486,"CACHD1;GRAMD4"
"9hr propranolol","1/81",0.183852475499192,0.999989565817611,0,0,5.06887755102041,8.58476054135848,"POLR3G"
"3hr terbinafine","1/81",0.183852475499192,0.999989565817611,0,0,5.06887755102041,8.58476054135848,"LRRN3"
"9hr perhexiline","1/84",0.189983356911436,0.999989565817611,0,0,4.88492746496189,8.1129793990771,"GRAMD4"
"24hr diltiazem","2/330",0.199594367149258,0.999989565817611,0,0,2.49263211382114,4.01679722668684,"GPT2;POLR3G"
"7d RGZ","1/90",0.202110023192397,0.999989565817611,0,0,4.55423068103646,7.28195554376981,"GRAMD4"
"24hr papaverine","1/91",0.204113762093119,0.999989565817611,0,0,4.50340136054422,7.15625505110662,"GRAMD4"
"3d BBZ","2/335",0.204153613624279,0.999989565817611,0,0,2.45457957957958,3.90003868746146,"TMEM37;POLR3G"
"28d TCP","2/339",0.207810028703698,0.999989565817611,0,0,2.42495054401583,3.80991482804848,"GPT2;POLR3G"
"14d NIC","1/94",0.210095436800202,0.999989565817611,0,0,4.35747202106649,6.79849904676328,"GPT2"
"28d NPX","1/96",0.214058720124535,0.999989565817611,0,0,4.26530612244898,6.57499032398412,"GRAMD4"
"3hr ciprofloxacin","1/96",0.214058720124535,0.999989565817611,0,0,4.26530612244898,6.57499032398412,"GPT2"
"6hr haloperidol","2/350",0.217902168213717,0.999989565817611,0,0,2.34698275862069,3.57611895536196,"GPT2;SLC25A20"
"9hr allopurinol","1/102",0.225832006978328,0.999989565817611,0,0,4.01070923418872,5.96779050603106,"LRRN3"
"3hr naphthyl isothiocyanate","1/106",0.23358466235033,0.999989565817611,0,0,3.85714285714286,5.60909836773195,"GRAMD4"
"3d CHplusDS-Na","1/108",0.237432406982674,0.999989565817611,0,0,3.78466526797635,5.44186534675464,"GPT2"
"3d CLT","1/108",0.237432406982674,0.999989565817611,0,0,3.78466526797635,5.44186534675464,"GRAMD4"
"9hr pemoline","1/110",0.241261218690496,0.999989565817611,0,0,3.71484740685265,5.28204879592619,"GPT2"
"3d BEA","1/110",0.241261218690496,0.999989565817611,0,0,3.71484740685265,5.28204879592619,"LRRN3"
"9hr penicillamine","1/111",0.243168553227101,0.999989565817611,0,0,3.6808905380334,5.20478084558139,"CACHD1"
"24hr ciprofloxacin","1/111",0.243168553227101,0.999989565817611,0,0,3.6808905380334,5.20478084558139,"GRAMD4"
"14d ASA","1/112",0.2450711886959,0.999989565817611,0,0,3.64754550468836,5.1292023601924,"GPT2"
"9hr sulindac","1/113",0.246969136476027,0.999989565817611,0,0,3.61479591836735,5.05526282536401,"POLR3G"
"3d AA","1/118",0.25638895483414,0.999989565817611,0,0,3.45944531658817,4.70851137205702,"GRAMD4"
"3hr rosiglitazone maleate","1/119",0.258259013032378,0.999989565817611,0,0,3.4299550328606,4.64344661396654,"GRAMD4"
"9hr iproniazid","1/121",0.261985313392121,0.999989565817611,0,0,3.37244897959184,4.51728355262187,"GRAMD4"
"24hr ethinylestradiol","3/711",0.262154765036936,0.999989565817611,0,0,1.73476379372521,2.32253688450717,"TMEM37;GPT2;POLR3G"
"24hr terbinafine","2/399",0.263288332052941,0.999989565817611,0,0,2.05216204869857,2.73862159778781,"POLR3G;SLC25A20"
"3hr benziodarone","1/122",0.263841577763516,0.999989565817611,0,0,3.34440883791533,4.45611187425848,"GRAMD4"
"7d GMC","1/122",0.263841577763516,0.999989565817611,0,0,3.34440883791533,4.45611187425848,"PIK3R3"
"24hr chloramphenicol","2/400",0.264218450583343,0.999989565817611,0,0,2.04690117252931,2.72438258555853,"POLR3G;SLC25A20"
"9hr metformin","1/125",0.269382960523102,0.999989565817611,0,0,3.26300197498354,4.2798227837863,"GPT2"
"3hr cisplatin","1/125",0.269382960523102,0.999989565817611,0,0,3.26300197498354,4.2798227837863,"GRAMD4"
"3hr sulindac","1/125",0.269382960523102,0.999989565817611,0,0,3.26300197498354,4.2798227837863,"GPT2"
"9hr phenylbutazone","2/407",0.270730282113749,0.999989565817611,0,0,2.0108024691358,2.62737929958599,"GPT2;POLR3G"
"6hr benziodarone","2/415",0.278172668168279,0.999989565817611,0,0,1.97104519774011,2.52197844603064,"SLC25A20;GRAMD4"
"9hr tannic acid","1/130",0.278527890347267,0.999989565817611,0,0,3.13573801613669,4.00821660462478,"GRAMD4"
