"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"RUNX1 (mouse)","1/53",0.124393494912872,0.999996416303973,0,0,7.80926216640502,16.2768872389608,"ODF3"
"Sox17 (mouse)","3/500",0.129160251906065,0.999996416303973,0,0,2.49835181300569,5.11338011028171,"TMC1;SLC4A10;ADAMTS6"
"NR5A1 (mouse)","4/1020",0.250392060088314,0.999996416303973,0,0,1.62050667579596,2.24395991348952,"TMC1;TMEM37;GPT2;ADAMTS6"
"NFATC3 (human)","1/116",0.252634966589978,0.999996416303973,0,0,3.51996450754215,4.84280114390583,"GRAMD4"
"NFATC2 (human)","1/117",0.254514276411869,0.999996416303973,0,0,3.48944405348346,4.77494948047232,"CD248"
"GLI2 (human)","5/1465",0.302829175563606,0.999996416303973,0,0,1.40715372907154,1.68096672078753,"FGFBP2;PIK3R3;CD248;FSCN2;GFAP"
"CBFB (human)","3/774",0.305312934061845,0.999996416303973,0,0,1.58779700306317,1.88379096867513,"ZNF683;CD248;FSCN2"
"SP3 (mouse)","4/1129",0.311771384201465,0.999996416303973,0,0,1.45507246376812,1.69586527987654,"SNTG2;B3GAT1;CACHD1;POLR3G"
"ELF3 (human)","5/1488",0.314317095764099,0.999996416303973,0,0,1.3836068030269,1.60132140615366,"MPPED2;CACHD1;CD248;SLC25A20;KLHL4"
"PURA (human)","2/492",0.34930092265738,0.999996416303973,0,0,1.6547619047619,1.74051412518946,"MPPED2;ADAMTS6"
"PRDM1 (mouse)","1/196",0.389222803095677,0.999996416303973,0,0,2.06750392464678,1.95090361026202,"ADAMTS6"
"Pdx1 (mouse)","3/907",0.397028518695742,0.999996416303973,0,0,1.34480323856148,1.24225817960068,"VMO1;KCNQ5;KLHL4"
"FOXF1 (mouse)","1/206",0.404472729172713,0.999996416303973,0,0,1.96565455450473,1.77925342674423,"TMC1"
"STAT1 (human)","5/1667",0.405201845591252,0.999996416303973,0,0,1.22262334536703,1.10448119263711,"TMC1;VMO1;CACHD1;GRAMD4;ADAMTS6"
"MYC (human)","4/1302",0.411611982098896,0.999996416303973,0,0,1.24954779928988,1.10919129863564,"ZNF683;GPT2;ODF3;TBC1D3G"
"ETS2 (human)","4/1341",0.433964384014622,0.999996416303973,0,0,1.21056225813795,1.01056867245775,"ZNF683;BEX1;MPPED2;KCNQ5"
"KLF11 (human)","4/1388",0.460633331284987,0.999996416303973,0,0,1.16649912038201,0.904215210175535,"B3GAT1;KCNQ5;CD248;GFAP"
"NR5A1 (human)","4/1389",0.46119689099196,0.999996416303973,0,0,1.16559409825773,0.902088510576508,"VMO1;GPT2;SLC25A20;GRAMD4"
"POU1F1 (human)","4/1408",0.471870051602885,0.999996416303973,0,0,1.1486436269045,0.862690686313133,"LRRN3;MPPED2;SLC4A10;KLHL4"
"IRF2 (human)","4/1412",0.474108363998392,0.999996416303973,0,0,1.14513339920949,0.854635234069872,"ZNF683;BEX1;SLC4A10;FSCN2"
"NFIA (human)","4/1416",0.476343537170025,0.999996416303973,0,0,1.14164305949009,0.846660723038697,"ZNF683;FGFBP2;MPPED2;GRAMD4"
"KLF5 (human)","4/1445",0.492449752447761,0.999996416303973,0,0,1.11691759949311,0.791182932944122,"VMO1;TMEM37;B3GAT1;GRAMD4"
"SND1 (human)","4/1473",0.507822895592099,0.999996416303973,0,0,1.09397105395566,0.741299425575984,"BEX1;B3GAT1;CACHD1;GRAMD4"
"KLF4 (human)","4/1485",0.514353759193763,0.999996416303973,0,0,1.08440243079001,0.7209584527346,"B3GAT1;KCNQ5;CD248;GFAP"
"ELK1 (human)","4/1511",0.528377645674255,0.999996416303973,0,0,1.06419318542454,0.678895671228941,"TMEM37;SNTG2;MPPED2;SLC4A10"
"NR3C1 (human)","4/1590",0.569825487788584,0.999996416303973,0,0,1.0068534459126,0.566279676991487,"ODF3;FSCN2;GRAMD4;ADAMTS6"
"REL (human)","1/353",0.589952122944251,0.999996416303973,0,0,1.13624768089054,0.599613687012169,"CACHD1"
"TFAP2D (human)","3/1324",0.651877726767358,0.999996416303973,0,0,0.900140125952293,0.385168402900446,"VMO1;CACHD1;SLC25A20"
"SP3 (human)","3/1332",0.655985333971509,0.999996416303973,0,0,0.894337447769079,0.377067734917049,"SNTG2;B3GAT1;GRAMD4"
"HINFP (human)","7/3047",0.656010714114329,0.999996416303973,0,0,0.905523255813954,0.381748825922503,"TMC1;SNTG2;LRRN3;B3GAT1;FSCN2;KLHL4;GRAMD4"
"MIR138 (human)","3/1356",0.668108005330077,0.999996416303973,0,0,0.877341133179223,0.35383644638567,"MPPED2;POLR3G;DEFA1"
"Sox2 (mouse)","4/1797",0.66865293656787,0.999996416303973,0,0,0.880574213729722,0.354422432300708,"VMO1;GPT2;CACHD1;SLC25A20"
"E2F6 (human)","3/1358",0.669104648797758,0.999996416303973,0,0,0.875951951008872,0.351970462717273,"TMEM37;CACHD1;GRAMD4"
"PCBP1 (human)","3/1360",0.670099200435182,0.999996416303973,0,0,0.874566863701218,0.350114930309839,"SNTG2;GPT2;B3GAT1"
"NFAT2 (human)","3/1376",0.677980260911908,0.999996416303973,0,0,0.863631432954704,0.335639220032848,"LRRN3;KCNQ5;ADAMTS6"
"JUND (human)","3/1380",0.679929583952828,0.999996416303973,0,0,0.860937282714504,0.332120365539053,"LRRN3;SLC4A10;ADAMTS6"
"WT1 (human)","6/2689",0.679980699022166,0.999996416303973,0,0,0.877596313488971,0.338480881275414,"ZNF683;SNTG2;FGFBP2;B3GAT1;SLC25A20;GFAP"
"SOX10 (mouse)","1/451",0.680762385356932,0.999996416303973,0,0,0.884353741496599,0.340071115694011,"SLC25A20"
"NR1H3 (human)","3/1385",0.682354453443105,0.999996416303973,0,0,0.857591526310928,0.327776652370111,"ZNF683;CACHD1;SLC25A20"
"AHR (mouse)","1/454",0.683205758631719,0.999996416303973,0,0,0.878361940802811,0.334620068982963,"GPT2"
"NR1I2 (human)","3/1387",0.683320734820809,0.999996416303973,0,0,0.856259992620834,0.3260560410828,"TMC1;VMO1;SLC25A20"
"MZF1 (human)","3/1389",0.684284921040153,0.999996416303973,0,0,0.854932301740812,0.324344983393006,"SNTG2;B3GAT1;GFAP"
"ATF4 (human)","3/1398",0.688597832575097,0.999996416303973,0,0,0.849004804392588,0.316761888947894,"BEX1;CD248;ADAMTS6"
"En1 (mouse)","2/957",0.697742358295044,0.999996416303973,0,0,0.828752181500873,0.298272351031882,"LRRN3;ADAMTS6"
"RXRA (human)","3/1422",0.699891626884838,0.999996416303973,0,0,0.833565741532095,0.297441075715473,"TMEM37;SLC25A20;GFAP"
"USF1 (human)","3/1441",0.708619039797714,0.999996416303973,0,0,0.821708637883585,0.283027036674628,"ZNF683;ODF3;TBC1D3G"
"KLF13 (human)","3/1453",0.714034134032617,0.999996416303973,0,0,0.814380044020543,0.274303160109131,"TMEM37;CACHD1;GRAMD4"
"RUNX2 (human)","3/1458",0.716268320892486,0.999996416303973,0,0,0.811362140820355,0.270751897202704,"ZNF683;DEFA1;KLHL4"
"RELB (human)","3/1469",0.721137865730527,0.999996416303973,0,0,0.804795216394299,0.263107632154487,"CACHD1;DEFA1;GRAMD4"
"TFAP2C (human)","3/1485",0.7281090646127,0.999996416303973,0,0,0.795417348608838,0.252389446804119,"CACHD1;KCNQ5;FSCN2"
"RORB (human)","2/1035",0.738740685596649,0.999996416303973,0,0,0.763028396256857,0.231051345768558,"PIK3R3;SLC25A20"
"HOXD9 (human)","3/1543",0.752279409331197,0.999996416303973,0,0,0.763056092843327,0.217201985593965,"TMC1;LRRN3;GPT2"
"NR2F1 (human)","2/1073",0.756986239853924,0.999996416303973,0,0,0.734477124183007,0.204485925181975,"PIK3R3;SLC25A20"
"TBP (human)","5/2486",0.761222560679592,0.999996416303973,0,0,0.782345828295042,0.213447025613896,"ZNF683;BEX1;GPT2;MPPED2;SLC4A10"
"ZBTB16 (human)","3/1572",0.763726726151538,0.999996416303973,0,0,0.747772669948334,0.201558565345513,"CACHD1;TBC1D3G;ADAMTS6"
"GATA3 (human)","5/2505",0.767286573355989,0.999996416303973,0,0,0.775555555555556,0.205440725689034,"TMC1;LRRN3;GPT2;DEFA1;TBC1D3G"
"HIF1A (human)","3/1586",0.769103256878255,0.999996416303973,0,0,0.740594884477359,0.194428407805363,"VMO1;B3GAT1;GRAMD4"
"ZNF148 (human)","3/1591",0.771000017349758,0.999996416303973,0,0,0.738062061203709,0.191945499655717,"B3GAT1;KCNQ5;CD248"
"RUNX1 (human)","8/3857",0.774365356299831,0.999996416303973,0,0,0.796793230152544,0.203749176298461,"ZNF683;ODF3;CACHD1;PIK3R3;CD248;FSCN2;DEFA1;GRAMD4"
"FOXO3A (mouse)","1/597",0.780655536616822,0.999996416303973,0,0,0.662717435967676,0.164102940238741,"GPT2"
"XBP1 (human)","1/605",0.785137599631712,0.999996416303973,0,0,0.653669414785782,0.158120206588218,"FSCN2"
"CBEPB (human)","5/2598",0.795367331319491,0.999996416303973,0,0,0.74375455285598,0.17028351156282,"LRRN3;MPPED2;SLC4A10;KCNQ5;KLHL4"
"TBX5 (mouse)","3/1663",0.796970982390255,0.999996416303973,0,0,0.703281209946168,0.159600534551659,"SNTG2;LRRN3;B3GAT1"
"SPI1 (mouse)","3/1680",0.80274419979307,0.999996416303973,0,0,0.695504890952689,0.152815758386429,"TMEM37;LRRN3;GRAMD4"
"MAPK14 (human)","2/1190",0.806559698891265,0.999996416303973,0,0,0.658038720538721,0.141463428217202,"CD248;SLC25A20"
"CREM (human)","1/662",0.814574896466136,0.999996416303973,0,0,0.595541696254901,0.12213899213326,"CD248"
"Prrx2 (mouse)","4/2205",0.816366358134907,0.999996416303973,0,0,0.701222764356123,0.142272528704886,"VMO1;GPT2;KCNQ5;KLHL4"
"NFE2 (human)","5/2681",0.818224644617022,0.999996416303973,0,0,0.717239661185849,0.143891439828323,"FGFBP2;B3GAT1;CD248;FSCN2;DEFA1"
"RBPJ (mouse)","3/1735",0.820515735487304,0.999996416303973,0,0,0.671392069185789,0.132816249952377,"VMO1;PIK3R3;POLR3G"
"ETV4 (mouse)","3/1773",0.83200911883867,0.999996416303973,0,0,0.655607645149657,0.120574033302003,"LRRN3;KCNQ5;ADAMTS6"
"TP53 (mouse)","2/1266",0.83386135637025,0.999996416303973,0,0,0.615967827004219,0.111914042509613,"GPT2;CD248"
"CREB1 (human)","5/2749",0.835450897149108,0.999996416303973,0,0,0.69671201814059,0.12525746674881,"ZNF683;VMO1;CD248;TBC1D3G;ADAMTS6"
"STAT3 (human)","5/2759",0.837873184668859,0.999996416303973,0,0,0.693778746066328,0.122721496220629,"ZNF683;BEX1;MPPED2;SLC4A10;GFAP"
"RELA (human)","5/2775",0.841690675482489,0.999996416303973,0,0,0.689129562775772,0.118766450202815,"TMEM37;ODF3;MPPED2;CACHD1;FSCN2"
"ARNT (human)","2/1303",0.84588479764291,0.999996416303973,0,0,0.597264924417115,0.0999654856398619,"KCNQ5;CD248"
"USF2 (human)","7/3792",0.861141233856243,0.999996416303973,0,0,0.695247457835397,0.103937237707594,"ZNF683;TMEM37;FGFBP2;ODF3;CACHD1;FSCN2;TBC1D3G"
"TEAD4 (human)","2/1354",0.861194342423084,0.999996416303973,0,0,0.573163214990138,0.085650692561437,"SNTG2;B3GAT1"
"SREBF2 (human)","2/1361",0.863186422796971,0.999996416303973,0,0,0.569996320824135,0.0838604773289628,"FGFBP2;CD248"
"CRX (human)","2/1362",0.863468914557256,0.999996416303973,0,0,0.569546568627451,0.0836079448587549,"VMO1;SLC25A20"
"PLAU (human)","2/1362",0.863468914557256,0.999996416303973,0,0,0.569546568627451,0.0836079448587549,"CD248;ADAMTS6"
"LTF (human)","2/1363",0.86375088577435,0.999996416303973,0,0,0.569097477345089,0.0833562074032448,"ZNF683;FSCN2"
"NR5A2 (human)","7/3815",0.865514373305825,0.999996416303973,0,0,0.690064979480164,0.099666980390228,"ZNF683;VMO1;TMEM37;ODF3;SLC25A20;GRAMD4;GFAP"
"IKZF1 (human)","2/1373",0.866542139035677,0.999996416303973,0,0,0.564642596644785,0.0808819688471721,"VMO1;SLC25A20"
"ZBTB7A (human)","2/1373",0.866542139035677,0.999996416303973,0,0,0.564642596644785,0.0808819688471721,"B3GAT1;CACHD1"
"RARA (human)","2/1379",0.868192262334074,0.999996416303973,0,0,0.562000726216413,0.0794343563619917,"CACHD1;SLC25A20"
"FOXF2 (human)","2/1379",0.868192262334074,0.999996416303973,0,0,0.562000726216413,0.0794343563619917,"VMO1;SLC25A20"
"STAT5B (human)","2/1379",0.868192262334074,0.999996416303973,0,0,0.562000726216413,0.0794343563619917,"TMC1;ADAMTS6"
"AHR (human)","2/1391",0.871437862099206,0.999996416303973,0,0,0.556785457163427,0.0766196457012498,"B3GAT1;PIK3R3"
"FOS (human)","2/1394",0.872237996425286,0.999996416303973,0,0,0.555495689655172,0.0759323504372018,"ZNF683;LRRN3"
"BCL6 (human)","2/1399",0.873561640297214,0.999996416303973,0,0,0.553358387019804,0.0748010969674816,"SLC4A10;GFAP"
"MAX (human)","3/1934",0.874118794950268,0.999996416303973,0,0,0.595623478078826,0.0801345820945293,"ZNF683;ODF3;TBC1D3G"
"SP1 (human)","2/1406",0.875394081130667,0.999996416303973,0,0,0.550391737891738,0.0732467464843173,"SNTG2;B3GAT1"
"MYB (human)","2/1409",0.876172090185724,0.999996416303973,0,0,0.549129353233831,0.0725909233489944,"LRRN3;KLHL4"
"SAMD9L (human)","2/1415",0.87771503429296,0.999996416303973,0,0,0.546620665251239,0.0712975374013808,"ZNF683;CD248"
"CEBPB (human)","2/1420",0.87898760024997,0.999996416303973,0,0,0.5445463093559,0.0702380269327591,"LRRN3;ODF3"
"GFI1 (human)","2/1427",0.880749186700374,0.999996416303973,0,0,0.541666666666667,0.0687821253049306,"VMO1;SLC25A20"
"SNAI2 (human)","2/1428",0.880998949280254,0.999996416303973,0,0,0.541257597007948,0.068576712762447,"CACHD1;FSCN2"
"SNAI1 (human)","2/1428",0.880998949280254,0.999996416303973,0,0,0.541257597007948,0.068576712762447,"CACHD1;FSCN2"
"TCF3 (human)","2/1428",0.880998949280254,0.999996416303973,0,0,0.541257597007948,0.068576712762447,"CACHD1;FSCN2"
"JUN (human)","5/2976",0.883838249867235,0.999996416303973,0,0,0.63499008938255,0.0784093435271163,"ZNF683;LRRN3;GPT2;TBC1D3G;GFAP"
"FOXA2 (mouse)","2/1441",0.884203272508512,0.999996416303973,0,0,0.535991429233264,0.0659635521351361,"LRRN3;MPPED2"
"PGR (human)","2/1447",0.885655789403585,0.999996416303973,0,0,0.533592848904268,0.0647925273225868,"MPPED2;DEFA1"
"PITX1 (human)","2/1448",0.885896271323819,0.999996416303973,0,0,0.533195020746888,0.0645994616077778,"VMO1;SLC25A20"
"CREB1 (mouse)","1/849",0.886002075284902,0.999996416303973,0,0,0.459713130535233,0.0556418320644783,"PIK3R3"
"REPIN1 (human)","2/1466",0.890147587165076,0.999996416303973,0,0,0.526127049180328,0.061224353368466,"TMEM37;CACHD1"
"NFKB1 (human)","6/3497",0.891434825618742,0.999996416303973,0,0,0.642912944975391,0.0738854527313141,"VMO1;ODF3;MPPED2;CACHD1;KCNQ5;GRAMD4"
"FOXJ1 (human)","2/1484",0.894255168185959,0.999996416303973,0,0,0.519230769230769,0.0580313707825981,"VMO1;FGFBP2"
"TEAD2 (human)","2/1486",0.894702871836318,0.999996416303973,0,0,0.518474842767296,0.0576873788648752,"B3GAT1;CACHD1"
"JDP2 (human)","2/1488",0.895148857087031,0.999996416303973,0,0,0.517720951099148,0.0573454925302397,"ZNF683;BEX1"
"MIB2 (human)","2/1490",0.895593129422743,0.999996416303973,0,0,0.516969086021505,0.0570056981458588,"TMEM37;TBC1D3G"
"CEBPD (human)","2/1495",0.896696352736962,0.999996416303973,0,0,0.515098236213441,0.0561652755364188,"VMO1;GFAP"
"ESR1 (human)","2/1513",0.900580928413975,0.999996416303973,0,0,0.508465696007059,0.053244111391962,"FGFBP2;GFAP"
"ATF2 (human)","2/1517",0.901425938331674,0.999996416303973,0,0,0.507013201320132,0.0526165085198896,"ZNF683;CACHD1"
