"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"MZF1 human","1/7",0.017371741450284,0.146402785221952,0,0,67.8367346938775,274.936210768444,"PIK3R3"
"PPARD mouse","1/11",0.0271653448579924,0.146402785221952,0,0,40.6938775510204,146.734521000359,"SLC25A20"
"NFIC mouse","1/11",0.0271653448579924,0.146402785221952,0,0,40.6938775510204,146.734521000359,"GFAP"
"NFATC1 mouse","1/14",0.0344477141698712,0.146402785221952,0,0,31.298273155416,105.422368949113,"B3GAT1"
"NFIC human","1/27",0.0653921522588676,0.22233331768015,0,0,15.6389324960754,42.6528898315632,"GFAP"
"PPARA human","1/39",0.0930924017046572,0.222635093684607,0,0,10.6938775510204,25.3890053323137,"SLC25A20"
"MYCN human","1/45",0.106639187352935,0.222635093684607,0,0,9.23283858998145,20.665901611884,"LRRN3"
"PPARA mouse","1/46",0.108877622208567,0.222635093684607,0,0,9.02721088435374,20.0181178087303,"SLC25A20"
"CEBPA human","1/51",0.119987608922091,0.222635093684607,0,0,8.12244897959184,17.2225711551973,"DEFA1"
"EP300 human","1/56",0.130961819814475,0.222635093684607,0,0,7.3821892393321,15.0068793354093,"GFAP"
"STAT3 mouse","1/79",0.179739981193554,0.277779970935493,0,0,5.19937205651491,8.92339120694113,"GFAP"
"JUN mouse","1/131",0.280343368498395,0.392334496054299,0,0,3.11145996860283,3.95696844602525,"GFAP"
"STAT3 human","1/142",0.3000204969827,0.392334496054299,0,0,2.86712983065567,3.45175045757094,"GFAP"
"SP1 mouse","1/270",0.493603803187409,0.567706263304036,0,0,1.49313405659662,1.05418564434286,"GFAP"
"RELA human","1/301",0.531938672165118,0.567706263304036,0,0,1.33673469387755,0.843783129758679,"GFAP"
"NFKB1 human","1/303",0.534311777227328,0.567706263304036,0,0,1.32774699283687,0.83219962775052,"GFAP"
"SP1 human","1/472",0.697485751834617,0.697485751834617,0,0,0.844014038736514,0.304075632649228,"SLC25A20"
