"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Therapies animal hearing loss model, PMC6020521 (Table1)","1/6",0.0149082847993736,0.128261300131931,0,0,81.4081632653061,342.389562344484,"TMC1"
"Investigating hipscs neuropsychiatric patients disorders, PMC6949328 (Table1)","1/7",0.017371741450284,0.128261300131931,0,0,67.8367346938775,274.936210768444,"GFAP"
"Assay taqman information, PMC6428250 (Table2)","1/8",0.0198291614511851,0.128261300131931,0,0,58.1428571428571,227.954980151296,"GFAP"
"Met molecules involved list, PMC4281357 (Table1)","2/93",0.0226749954090764,0.128261300131931,0,0,9.09294871794872,34.4303819910702,"TMC1;FSCN2"
"Time real sequences pcr primers, PMC5833420 (Table2)","1/11",0.0271653448579924,0.128261300131931,0,0,40.6938775510204,146.734521000359,"PIK3R3"
"Epilepsies pluripotent stem induced studies, PMC6119748 (Table1)","1/12",0.0295987615689071,0.128261300131931,0,0,36.9925788497217,130.214719406514,"GFAP"
"Sybr green primer sequences, PMC6428250 (Table1)","1/17",0.0416766547912335,0.151015979709542,0,0,25.4260204081633,80.799167280865,"GFAP"
"Hmsc tert relative primary significantly, PMC6139702 (Table4)","1/19",0.0464664552952436,0.151015979709542,0,0,22.5986394557823,69.3557808280063,"BEX1"
"Bundles hair key selected proteins, PMC4571333 (Table1)","1/24",0.05833855301301,0.154563268975505,0,0,17.681455190772,50.2417155506286,"FSCN2"
"Localizations retinitis pigmentosa dominant autosomal, PMC5886474 (Table2)","1/25",0.0606955298241754,0.154563268975505,0,0,16.9438775510204,47.4748002047703,"FSCN2"
"Gli rh daoy validation target, PMC6166001 (Table1)","1/27",0.0653921522588676,0.154563268975505,0,0,15.6389324960754,42.6528898315632,"CD248"
"Symbol studied subviable mgi informatics, PMC5159622 (Table1)","1/39",0.0930924017046572,0.169225705453598,0,0,10.6938775510204,25.3890053323137,"SLC25A20"
"Predixcan trait ranked set proposed, PMC6248311 (Table2)","1/39",0.0930924017046572,0.169225705453598,0,0,10.6938775510204,25.3890053323137,"FSCN2"
"Bmp mscs transcripts regulated list, PMC6997588 (Table2)","1/40",0.0953640965755272,0.169225705453598,0,0,10.4191522762951,24.4855612889518,"CD248"
"Hearing loss dominant homepage hereditary, PMC6440668 (Table2)","1/41",0.0976302146847682,0.169225705453598,0,0,10.1581632653061,23.6336602002892,"TMC1"
"Hearing loss homepage hereditary autosomal, PMC6440668 (Table1)","1/58",0.135313851739813,0.219885009077197,0,0,7.12244897959184,14.246025949065,"TMC1"
"Ziram toxicogenomics tetrahydropyridine signs rotenone, PMC6355689 (Table4)","1/77",0.17560718091187,0.268575688453448,0,0,5.33673469387755,9.28328044629381,"GFAP"
"Retinitis pigmentosa mutated expression genes, PMC6801968 (Table1)","1/87",0.196069097589664,0.283210918740626,0,0,4.71381110583768,7.6801565438185,"FSCN2"
"Supplemental, PMC6785927 (Tablesupplemental)","5/1444",0.292409680917137,0.400139563360292,0,0,1.42931047795537,1.75747936782933,"GPT2;B3GAT1;SLC4A10;PIK3R3;SLC25A20"
"Variants segregating kbac families mm, PMC6690583 (Table2)","1/158",0.327703796855259,0.426014935911837,0,0,2.57285844274015,2.8703970097526,"POLR3G"
"Supplemental, PMC6542691 (Tablesupplemental)","3/961",0.433634748885259,0.536881117667464,0,0,1.26540221205526,1.0573102243023,"TMC1;PIK3R3;FSCN2"
"Supplemental, PMC5859395 (Tablesupplemental)","5/1845",0.494777417725776,0.584736948221371,0,0,1.09359903381643,0.769507984135399,"VMO1;LRRN3;PIK3R3;DEFA1;ADAMTS6"
"Supplemental, PMC6207718 (Tablesupplemental)","1/400",0.636285172094026,0.709897672787198,0,0,1,0.452108432340352,"CACHD1"
"Supplemental, PMC4654807 (Tablesupplemental)","1/421",0.655290159495875,0.709897672787198,0,0,0.948979591836735,0.401111989135717,"TMEM37"
"Supplemental, PMC6303340 (Tablesupplemental)","3/2075",0.903227930267342,0.90854570482364,0,0,0.550747556066705,0.0560552751327507,"VMO1;GPT2;GRAMD4"
"Supplemental, PMC5906580 (Tablesupplemental)","2/1552",0.90854570482364,0.90854570482364,0,0,0.494623655913978,0.0474393965874728,"SNTG2;ADAMTS6"
