"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Smooth Muscle Cell Brain Non-Microglia CL:0000192","1/72",0.165185695910124,0.206112569436316,0,0,5.71399827536648,10.2891110310162,"CD248"
"Granulocyte Fat CL:0000094","1/72",0.165185695910124,0.206112569436316,0,0,5.71399827536648,10.2891110310162,"TMEM37"
"Pancreatic Acinar Cell Pancreas CL:0002064","1/75",0.171453976440458,0.206112569436316,0,0,5.4815223386652,9.66633798573148,"CACHD1"
"Endothelial Cell Trachea CL:0000115","1/83",0.187944761535793,0.206112569436316,0,0,4.94474863115978,8.26567731981137,"KLHL4"
"Endocardial Cell Heart CL:0002350","1/87",0.196069097589664,0.206112569436316,0,0,4.71381110583768,7.6801565438185,"KLHL4"
"Neuron Brain Non-Microglia CL:0000540","1/89",0.20010134077429,0.206112569436316,0,0,4.60621521335807,7.41108400124833,"BEX1"
"Pancreatic Stellate Cell Pancreas CL:0002410","1/90",0.202110023192397,0.206112569436316,0,0,4.55423068103646,7.28195554376981,"CD248"
"Stromal Cell Mammary CL:0000499","1/90",0.202110023192397,0.206112569436316,0,0,4.55423068103646,7.28195554376981,"CD248"
"Mesenchymal Stem Cell Of Adipose Fat CL:0002570","1/90",0.202110023192397,0.206112569436316,0,0,4.55423068103646,7.28195554376981,"CD248"
"Brain Pericyte Brain Non-Microglia CL:2000043","1/91",0.204113762093119,0.206112569436316,0,0,4.50340136054422,7.15625505110662,"CD248"
"Mesenchymal Stem Cell Muscle CL:0000134","1/91",0.204113762093119,0.206112569436316,0,0,4.50340136054422,7.15625505110662,"CD248"
"Mesenchymal Cell Bladder CL:0008019","1/92",0.206112569436316,0.206112569436316,0,0,4.45368916797488,7.03385741012878,"CD248"
