"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"hsa-miR-423-3p","5/551",0.011908419738815,0.994792741292128,0,0,3.94871794871795,17.4948327320115,"GPT2;PIK3R3;GRAMD4;ADAMTS6;GFAP"
"mmu-miR-101c","9/1704",0.0239179268593326,0.994792741292128,0,0,2.36412691560544,8.825586075432,"VMO1;LRRN3;MPPED2;SLC4A10;PIK3R3;POLR3G;KCNQ5;KLHL4;GFAP"
"mmu-miR-3066","8/1466",0.0278950894011028,0.994792741292128,0,0,2.41583382324123,8.64700514722477,"TMEM37;LRRN3;GPT2;MPPED2;PIK3R3;KCNQ5;GRAMD4;ADAMTS6"
"mmu-miR-126-3p","2/124",0.038497072428768,0.994792741292128,0,0,6.77185792349727,22.0571133394188,"POLR3G;KLHL4"
"mmu-miR-1893","2/177",0.0723859658020668,0.994792741292128,0,0,4.70833333333333,12.362872542539,"GPT2;B3GAT1"
"mmu-miR-380-5p","7/1518",0.0819957906591782,0.994792741292128,0,0,1.98656364951595,4.96856924647331,"TMEM37;LRRN3;GPT2;MPPED2;PIK3R3;KCNQ5;ADAMTS6"
"mmu-miR-216b","8/1841",0.0848624264699459,0.994792741292128,0,0,1.88262801028758,4.64392340577721,"GPT2;MPPED2;SLC4A10;CACHD1;POLR3G;KLHL4;ADAMTS6;GFAP"
"mmu-miR-675-5p","3/418",0.0865741668417216,0.994792741292128,0,0,3.0046142014868,7.35155125192884,"GPT2;B3GAT1;KCNQ5"
"hsa-miR-525-3p","3/464",0.109624904913151,0.994792741292128,0,0,2.69843540868602,5.9654060508569,"B3GAT1;KCNQ5;ADAMTS6"
"hsa-miR-524-3p","3/464",0.109624904913151,0.994792741292128,0,0,2.69843540868602,5.9654060508569,"B3GAT1;KCNQ5;ADAMTS6"
"hsa-miR-518c","3/469",0.112263617725421,0.994792741292128,0,0,2.66879737010319,5.83640749675376,"KCNQ5;ADAMTS6;GFAP"
"hsa-miR-518b","3/469",0.112263617725421,0.994792741292128,0,0,2.66879737010319,5.83640749675376,"KCNQ5;ADAMTS6;GFAP"
"hsa-miR-518a-3p","3/469",0.112263617725421,0.994792741292128,0,0,2.66879737010319,5.83640749675376,"KCNQ5;ADAMTS6;GFAP"
"hsa-miR-518f","3/469",0.112263617725421,0.994792741292128,0,0,2.66879737010319,5.83640749675376,"KCNQ5;ADAMTS6;GFAP"
"hsa-miR-518d-3p","3/469",0.112263617725421,0.994792741292128,0,0,2.66879737010319,5.83640749675376,"KCNQ5;ADAMTS6;GFAP"
"hsa-miR-3181","3/475",0.115462657611364,0.994792741292128,0,0,2.63406058420483,5.68643135673509,"B3GAT1;ADAMTS6;GFAP"
"mmu-miR-493","8/1997",0.121104038714267,0.994792741292128,0,0,1.72003160238454,3.63116779538937,"TMEM37;MPPED2;SLC4A10;POLR3G;KCNQ5;GRAMD4;ADAMTS6;GFAP"
"hsa-miR-3615","4/774",0.127379445738361,0.994792741292128,0,0,2.16600790513834,4.46324315075491,"LRRN3;B3GAT1;CACHD1;GRAMD4"
"mmu-miR-219-3p","6/1383",0.129252884958565,0.994792741292128,0,0,1.83927510398099,3.7631282529682,"LRRN3;MPPED2;PIK3R3;KCNQ5;KLHL4;GFAP"
"hsa-miR-127-3p","2/262",0.139385764909996,0.994792741292128,0,0,3.15544871794872,6.21784294626827,"SLC25A20;GRAMD4"
"mmu-miR-2139","3/543",0.153996663033229,0.994792741292128,0,0,2.29432624113475,4.2922813882478,"GPT2;MPPED2;ADAMTS6"
"mmu-miR-681","5/1141",0.154867832813333,0.994792741292128,0,0,1.8401799687011,3.43227279450282,"TMEM37;PIK3R3;KLHL4;GRAMD4;ADAMTS6"
"mmu-miR-5130","5/1198",0.178330156635282,0.994792741292128,0,0,1.74694979975785,3.0119487027273,"BEX1;B3GAT1;CACHD1;GRAMD4;GFAP"
"mmu-miR-216a","7/1862",0.179934136427408,0.994792741292128,0,0,1.58797718297499,2.72364193826861,"TMEM37;GPT2;SLC4A10;POLR3G;KLHL4;GRAMD4;ADAMTS6"
"mmu-miR-652","2/315",0.186001606438318,0.994792741292128,0,0,2.61408413205538,4.39688942788089,"B3GAT1;KLHL4"
"mmu-miR-669a-3-3p","6/1617",0.214731030838198,0.994792741292128,0,0,1.55231081767395,2.38802692315159,"TMEM37;GPT2;MPPED2;SLC4A10;CACHD1;GFAP"
"mmu-miR-669o-3p","6/1617",0.214731030838198,0.994792741292128,0,0,1.55231081767395,2.38802692315159,"TMEM37;GPT2;MPPED2;SLC4A10;CACHD1;GFAP"
"mmu-miR-669a-3p","6/1617",0.214731030838198,0.994792741292128,0,0,1.55231081767395,2.38802692315159,"TMEM37;GPT2;MPPED2;SLC4A10;CACHD1;GFAP"
"hsa-miR-4665-3p","2/356",0.22342711004312,0.994792741292128,0,0,2.30649717514124,3.45667823144573,"GRAMD4;GFAP"
"mmu-miR-3074-1-3p","6/1647",0.226965902536826,0.994792741292128,0,0,1.52143925544291,2.25622668419451,"TMEM37;MPPED2;SLC4A10;CACHD1;PIK3R3;KLHL4"
"mmu-miR-5122","1/112",0.2450711886959,0.994792741292128,0,0,3.64754550468836,5.1292023601924,"GPT2"
"mmu-miR-293","2/382",0.247489479299666,0.994792741292128,0,0,2.14583333333333,2.99641421235359,"TMEM37;B3GAT1"
"mmu-miR-18b","6/1698",0.248300248867289,0.994792741292128,0,0,1.47147001934236,2.04992928707514,"SNTG2;B3GAT1;CACHD1;PIK3R3;GRAMD4;GFAP"
"mmu-miR-18a","6/1698",0.248300248867289,0.994792741292128,0,0,1.47147001934236,2.04992928707514,"SNTG2;B3GAT1;CACHD1;PIK3R3;GRAMD4;GFAP"
"hsa-miR-451","2/392",0.256779338622601,0.994792741292128,0,0,2.08974358974359,2.84108617050365,"MPPED2;CACHD1"
"hsa-miR-1469","1/120",0.260124462166282,0.994792741292128,0,0,3.40096038415366,4.57971645890887,"GRAMD4"
"hsa-miR-563","5/1387",0.264534006549524,0.994792741292128,0,0,1.49284450876347,1.98516293189023,"KCNQ5;CD248;SLC25A20;KLHL4;ADAMTS6"
