"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"SRPK1","2/641",0.479276161547916,0.914336620030468,0,0,1.25919405320814,0.926109914249438,"CACHD1;GFAP"
"SRPK2","2/665",0.498803223193377,0.914336620030468,0,0,1.21210407239819,0.84307123409266,"CACHD1;GFAP"
"SRPK3","2/674",0.506009648674779,0.914336620030468,0,0,1.1953125,0.814246326769016,"CACHD1;GFAP"
"TGFBR1","2/682",0.512361074195793,0.914336620030468,0,0,1.18075980392157,0.789604402152832,"POLR3G;GRAMD4"
"ALPHAK3","2/751",0.564954242870512,0.914336620030468,0,0,1.06814641744548,0.609922859617923,"CACHD1;GRAMD4"
"HUNK","2/804",0.602606750706128,0.914336620030468,0,0,0.994804655029094,0.503859057105797,"SLC4A10;GFAP"
"IRE1","2/855",0.636546087405653,0.914336620030468,0,0,0.932835091832747,0.421360170735572,"KCNQ5;GFAP"
"MNK2","2/891",0.659152731543468,0.914336620030468,0,0,0.893372703412074,0.372357750596931,"CD248;GFAP"
"PKCE","2/979",0.709801417007196,0.914336620030468,0,0,0.809152166496076,0.277353122437817,"KCNQ5;GFAP"
"CLK2","1/662",0.814574896466136,0.914336620030468,0,0,0.595541696254901,0.12213899213326,"CACHD1"
"BMPR1A","1/670",0.81837647123777,0.914336620030468,0,0,0.58817607760593,0.117889786636994,"POLR3G"
"BMPR1B","1/674",0.820248508893314,0.914336620030468,0,0,0.584558935015314,0.115829140020005,"POLR3G"
"ALK2","1/678",0.822101632812106,0.914336620030468,0,0,0.580984535616314,0.113809787306586,"POLR3G"
"GRK7","1/692",0.828441307652675,0.914336620030468,0,0,0.568800023627396,0.107053446507732,"POLR3G"
"CK2A1","1/694",0.829328708549526,0.914336620030468,0,0,0.567099567099567,0.106126270264951,"POLR3G"
"FAM20C","1/696",0.830211610625187,0.914336620030468,0,0,0.565408897371898,0.105208267279823,"CACHD1"
"CDK2","1/698",0.831090036161657,0.914336620030468,0,0,0.563727930196469,0.104299331204388,"KCNQ5"
"ACVR2A","1/701",0.832399329625152,0.914336620030468,0,0,0.561224489795918,0.102952698365446,"GRAMD4"
"ALK4","1/709",0.835842347000969,0.914336620030468,0,0,0.554652369422345,0.0994576359531793,"GRAMD4"
"MOK","1/709",0.835842347000969,0.914336620030468,0,0,0.554652369422345,0.0994576359531793,"GFAP"
"CDK3","1/711",0.83669221233837,0.914336620030468,0,0,0.553032480597873,0.0986051400915266,"SLC25A20"
"CK1G2","1/724",0.842112175801124,0.914336620030468,0,0,0.542721652976543,0.093262400448088,"CACHD1"
"DSTYK","1/728",0.843744102646859,0.914336620030468,0,0,0.539623277096258,0.0916852466971335,"GFAP"
"PLK3","1/732",0.845359495561735,0.914336620030468,0,0,0.53655880957034,0.0901382869759162,"CACHD1"
"BMPR2","1/740",0.848541334807858,0.914336620030468,0,0,0.530529397144514,0.0871322809043242,"CACHD1"
