"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"adult rectum","2/301",0.173449682508572,0.531938672165118,0,0,2.73843366778149,4.79737358981002,"GPT2;ADAMTS6"
"adult retina","2/301",0.173449682508572,0.531938672165118,0,0,2.73843366778149,4.79737358981002,"ZNF683;MPPED2"
"adult testis","2/301",0.173449682508572,0.531938672165118,0,0,2.73843366778149,4.79737358981002,"ODF3;KLHL4"
"nk cells","2/301",0.173449682508572,0.531938672165118,0,0,2.73843366778149,4.79737358981002,"CACHD1;ADAMTS6"
"adult adrenal","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"KCNQ5"
"adult colon","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"SLC4A10"
"adult liver","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"LRRN3"
"adult pancreas","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"MPPED2"
"adult urinary bladder","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"TMC1"
"cd4 cells","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"LRRN3"
"fetal brain","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"B3GAT1"
"fetal gut","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"TMC1"
"fetal liver","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"ZNF683"
"monocytes","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"POLR3G"
"platelets","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"POLR3G"
