"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"adrenal gland","3/301",0.0393653955150989,0.531938672165118,0,0,4.20933885477652,13.6166561308037,"KLHL4;GRAMD4;GFAP"
"A-375 cell","2/301",0.173449682508572,0.531938672165118,0,0,2.73843366778149,4.79737358981002,"TMC1;KCNQ5"
"CAL-27 cell","2/301",0.173449682508572,0.531938672165118,0,0,2.73843366778149,4.79737358981002,"SLC4A10;GFAP"
"GaMG cell","2/301",0.173449682508572,0.531938672165118,0,0,2.73843366778149,4.79737358981002,"FSCN2;KLHL4"
"cerebrospinal fluid","2/301",0.173449682508572,0.531938672165118,0,0,2.73843366778149,4.79737358981002,"SLC4A10;GFAP"
"HEK-293 cell","2/301",0.173449682508572,0.531938672165118,0,0,2.73843366778149,4.79737358981002,"TMC1;LRRN3"
"HeLa cell","2/301",0.173449682508572,0.531938672165118,0,0,2.73843366778149,4.79737358981002,"ZNF683;FSCN2"
"M14 cell","2/301",0.173449682508572,0.531938672165118,0,0,2.73843366778149,4.79737358981002,"POLR3G;FSCN2"
"SK-MEL-28 cell","2/301",0.173449682508572,0.531938672165118,0,0,2.73843366778149,4.79737358981002,"CACHD1;GRAMD4"
"SNB-19 cell","2/301",0.173449682508572,0.531938672165118,0,0,2.73843366778149,4.79737358981002,"ZNF683;GFAP"
"SR cell","2/301",0.173449682508572,0.531938672165118,0,0,2.73843366778149,4.79737358981002,"PIK3R3;GRAMD4"
"blood platelet","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"SLC4A10"
"bone marrow stromal cell","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"ZNF683"
"cardia","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"DEFA1"
"HCC-1143","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"ADAMTS6"
"cerumen","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"CD248"
"cervical epithelium","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"SLC4A10"
"cervical mucosa","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"SLC4A10"
"colorectal cancer cell","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"KCNQ5"
"cycling crypt base columnar cell","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"LRRN3"
"HOP-92 cell","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"KCNQ5"
"hES H9","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"SLC4A10"
"iPS DF19.11","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"SLC4A10"
"Hs-578T cell","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"CD248"
"ileum epithelial cell","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"LRRN3"
"lymphoblastoid cell line","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"FSCN2"
"Kasumi-1 cell","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"ZNF683"
"mesenchymal stem cell","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"KCNQ5"
"MALME-3M cell","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"GRAMD4"
"MDA-MB-231 cell","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"KCNQ5"
"pancreas","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"SNTG2"
"proximal fluid (coronary sinus)","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"SNTG2"
"renal cell carcinoma cell","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"SNTG2"
"seminal vesicle","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"MPPED2"
"skin","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"GFAP"
"spermatozoon","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"ODF3"
"spleen","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"PIK3R3"
"stomach","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"GRAMD4"
"OVCAR-3 cell","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"KCNQ5"
"tonsil","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"GPT2"
"urine","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"TMC1"
"PC-3 cell","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"POLR3G"
"RCC 786-O cell","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"PIK3R3"
"RXF-393 cell","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"LRRN3"
"SF-295 cell","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"CACHD1"
"SF-539 cell","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"GFAP"
"SK-MEL-2 cell","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"ZNF683"
"SK-MEL-5 cell","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"SLC4A10"
"SKOV-3 cell","1/301",0.531938672165118,0.531938672165118,0,0,1.33673469387755,0.843783129758679,"ADAMTS6"
