"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"ATF1","1/32",0.0770332554327669,0.449073924543214,0,0,13.1132323897301,33.6160080774025,"GPT2"
"CBFB","1/34",0.0816498044624026,0.449073924543214,0,0,12.317254174397,30.8586121657323,"SLC4A10"
"CEBPA","1/113",0.246969136476027,0.646730796677949,0,0,3.61479591836735,5.05526282536401,"GFAP"
"STAT1","1/196",0.389222803095677,0.646730796677949,0,0,2.06750392464678,1.95090361026202,"GFAP"
"FOS","1/199",0.393837522527261,0.646730796677949,0,0,2.03586889301175,1.89705690654597,"SLC4A10"
"HTT","1/293",0.522327169843709,0.646730796677949,0,0,1.37391668996366,0.892305479504995,"GFAP"
"POU5F1","1/338",0.573982399068948,0.646730796677949,0,0,1.18773087870163,0.659376573118813,"GFAP"
"ESR2","1/365",0.602304153957088,0.646730796677949,0,0,1.09811616954474,0.556736906014936,"GFAP"
"SMAD2","1/384",0.62111954988037,0.646730796677949,0,0,1.04262801726435,0.496532516978853,"GFAP"
"CTNNB1","1/398",0.634422508792732,0.646730796677949,0,0,1.00514059528093,0.457379305987393,"FSCN2"
"ESR1","2/871",0.646730796677949,0.646730796677949,0,0,0.914892596854622,0.398733203614282,"PIK3R3;SLC25A20"
