"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"None of the above physical activity in last 4 wks 6164 100","1/8",0.0198291614511851,0.648647103050983,0,0,58.1428571428571,227.954980151296,"CD248"
"Frequency of unusual or psychotic experiences in past year 20467","1/8",0.0198291614511851,0.648647103050983,0,0,58.1428571428571,227.954980151296,"KLHL4"
"Years of cough on most days 22503 raw","1/14",0.0344477141698712,0.648647103050983,0,0,31.298273155416,105.422368949113,"SNTG2"
"Processed meat intake 1349","1/14",0.0344477141698712,0.648647103050983,0,0,31.298273155416,105.422368949113,"KCNQ5"
"QRS duration during ECG 12340 raw","2/124",0.038497072428768,0.648647103050983,0,0,6.77185792349727,22.0571133394188,"SLC4A10;GRAMD4"
"Age started wearing glasses/contact lenses 2217 raw","2/128",0.0407746939326369,0.648647103050983,0,0,6.55555555555556,20.9757693964965,"TMC1;KCNQ5"
"Calcium intake 100024 raw","1/17",0.0416766547912335,0.648647103050983,0,0,25.4260204081633,80.799167280865,"SNTG2"
"Other exercises in last 4 wks 6164 2","1/20",0.0488525499820278,0.648647103050983,0,0,21.4081632653061,64.6301466936404,"CD248"
"Systolic blood pressure (automated reading) 4080 raw","3/336",0.0516198170507826,0.648647103050983,0,0,3.76020701552616,11.1446881673728,"MPPED2;SLC4A10;KCNQ5"
"Glasses/contacts for short-sightedness 6147 1","1/22",0.0536071985992548,0.648647103050983,0,0,19.3673469387755,56.6702499978695,"KCNQ5"
"Drive faster than motorway speed limit 1100","1/27",0.0653921522588676,0.706496401608523,0,0,15.6389324960754,42.6528898315632,"MPPED2"
"Hearing test done 4849 1","1/29",0.0700657588372089,0.706496401608523,0,0,14.5204081632653,38.5999069065122,"ADAMTS6"
"Previous smoker 20116 1","1/33",0.0793443657059371,0.738512942339876,0,0,12.702806122449,32.1883751655927,"SLC4A10"
"Plays computer games 2237","1/36",0.0862437219743076,0.74539216849223,0,0,11.6122448979592,28.4567120450411,"B3GAT1"
"Basophill percentage 30220 raw","2/221",0.105540336092784,0.769232950945565,0,0,3.75399543378995,8.44146712979079,"KCNQ5;DEFA1"
"Right leg fat mass 23112 raw","3/481",0.118696616965473,0.769232950945565,0,0,2.60019585150895,5.54149703975637,"MPPED2;B3GAT1;SLC4A10"
"Left corneal resistance factor 5265 raw","2/243",0.123405637318928,0.769232950945565,0,0,3.40750345781466,7.12944617322331,"B3GAT1;ADAMTS6"
"Basophill count 30160","1/55",0.128777761392217,0.769232950945565,0,0,7.51927437641723,15.412009607623,"DEFA1"
"Right mean signal-to-noise ratio 4244 raw","1/58",0.135313851739813,0.769232950945565,0,0,7.12244897959184,14.246025949065,"ZNF683"
"Frequency of failure to fulfil normal expectations due to alcohol in last year 20407","1/60",0.139644523053441,0.769232950945565,0,0,6.88031822898651,13.544974303559,"GRAMD4"
"Trunk fat percentage 23127 raw","3/528",0.145161125810069,0.769232950945565,0,0,2.36170212765957,4.55787477559554,"MPPED2;B3GAT1;ADAMTS6"
"Left intra-ocular pressure, Goldmann-correlated 5263 raw","1/74",0.169369691826634,0.769232950945565,0,0,5.55689124965054,9.86721301833061,"ADAMTS6"
"Left 3mm asymmetry index 5156 raw","2/297",0.169890821981407,0.769232950945565,0,0,2.77612994350282,4.92096591651014,"LRRN3;SLC4A10"
"Trunk fat mass 23128 raw","3/573",0.172167622490004,0.769232950945565,0,0,2.17021276595745,3.81802651472465,"MPPED2;B3GAT1;ADAMTS6"
"Automated pulse rate reading 102 raw","2/304",0.176127172863587,0.769232950945565,0,0,2.71081677704194,4.70746608687154,"SLC4A10;SLC25A20"
"Right 3mm regularity index 5160 raw","2/310",0.181502535739734,0.769232950945565,0,0,2.65719696969697,4.53446850958879,"MPPED2;KLHL4"
"Nap during day 1190","1/80",0.181798760490535,0.769232950945565,0,0,5.13329888917592,8.75152984263767,"SLC4A10"
"Past tobacco smoking 1249","1/83",0.187944761535793,0.769232950945565,0,0,4.94474863115978,8.26567731981137,"SLC4A10"
"Lymphocyte count 30120 raw","9/2588",0.191573409215754,0.769232950945565,0,0,1.47853677451082,2.44325866768507,"ZNF683;TMC1;SNTG2;FGFBP2;BEX1;SLC4A10;KCNQ5;KLHL4;ADAMTS6"
"Right intra-ocular pressure Goldmann-correlated 5255 raw","1/89",0.20010134077429,0.769232950945565,0,0,4.60621521335807,7.41108400124833,"ADAMTS6"
"Impedance of right leg 23107 raw","3/632",0.209563098974508,0.769232950945565,0,0,1.96066028481548,3.0639834243809,"SNTG2;MPPED2;ADAMTS6"
"Never had corneal graft surgery 5328 0","1/94",0.210095436800202,0.769232950945565,0,0,4.35747202106649,6.79849904676328,"KLHL4"
"Impedance of left leg 23108 raw","3/645",0.21804956886926,0.769232950945565,0,0,1.91966593756214,2.92371430678829,"SNTG2;MPPED2;ADAMTS6"
"Platelet crit 30090 raw","3/647",0.219361975300366,0.769232950945565,0,0,1.91350601295097,2.90284996553951,"ODF3;SLC4A10;PIK3R3"
"Sexual interference by partner or ex-partner without consent as an adult 20524","2/355",0.222505399033841,0.769232950945565,0,0,2.313149197356,3.47620966363494,"SLC4A10;KLHL4"
"Relative age of first facial hair 2375","1/107",0.235510907008418,0.79157832633385,0,0,3.82056218713901,5.52452548143668,"TMC1"
"Never smoked 20116 0","1/115",0.250751014138588,0.799260813014614,0,0,3.55102040816327,4.9121080927455,"SLC4A10"
"Left spherical power 5085 raw","1/117",0.254514276411869,0.799260813014614,0,0,3.48944405348346,4.77494948047232,"KCNQ5"
