"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Beilong virus phosphoprotein (gene: P/V/C)","1/21",0.0512327930672156,0.49840693693659,0,0,20.3367346938776,60.4280744540867,"PIK3R3"
"Human betaherpesvirus 7 envelope glycoprotein UL33 (gene: U12)","1/23",0.0559757805878795,0.49840693693659,0,0,18.4860853432282,53.2923554931915,"PIK3R3"
"Cercopithecine betaherpesvirus 5 membrane protein US27D (gene: US27D)","1/28",0.0677318256109869,0.49840693693659,0,0,15.0589569160998,40.5417104352724,"PIK3R3"
"Powassan virus PreM protein","1/32",0.0770332554327669,0.49840693693659,0,0,13.1132323897301,33.6160080774025,"PIK3R3"
"Kyasanur Forest disease virus prM","1/33",0.0793443657059371,0.49840693693659,0,0,12.702806122449,32.1883751655927,"PIK3R3"
"Alkhumra hemorrhagic fever virus PreM protein","1/34",0.0816498044624026,0.49840693693659,0,0,12.317254174397,30.8586121657323,"PIK3R3"
"Louping ill virus premembrane protein","1/34",0.0816498044624026,0.49840693693659,0,0,12.317254174397,30.8586121657323,"PIK3R3"
"Rio Bravo virus PreM protein","1/34",0.0816498044624026,0.49840693693659,0,0,12.317254174397,30.8586121657323,"PIK3R3"
"Human parainfluenza virus 2 P protein (gene: V)","1/38",0.0908151166313485,0.49840693693659,0,0,10.9834528405957,26.3485293003408,"PIK3R3"
"Langat virus membrane-associated glycoprotein precursor","1/40",0.0953640965755272,0.49840693693659,0,0,10.4191522762951,24.4855612889518,"PIK3R3"
"Human T-lymphotropic virus 2 p21E envelope protein","1/43",0.102145774279416,0.49840693693659,0,0,9.6734693877551,22.0686112387857,"PIK3R3"
"Human T-lymphotropic virus 3 envelope (gene: env)","1/53",0.124393494912872,0.49840693693659,0,0,7.80926216640502,16.2768872389608,"PIK3R3"
"Human T-cell leukemia virus type I gp46 SU (gene: env)","1/58",0.135313851739813,0.49840693693659,0,0,7.12244897959184,14.246025949065,"PIK3R3"
"Human T-lymphotropic virus 2 hypothetical protein (env propeptide)","1/58",0.135313851739813,0.49840693693659,0,0,7.12244897959184,14.246025949065,"PIK3R3"
"Human T-cell lymphotropic virus type 2b env","1/59",0.137481851045255,0.49840693693659,0,0,6.99929627023223,13.8884471557023,"PIK3R3"
"Human T-lymphotropic virus 4 envelope glycoprotein (gene: env)","1/60",0.139644523053441,0.49840693693659,0,0,6.88031822898651,13.544974303559,"PIK3R3"
"Parainfluenza virus 5 phosphoprotein (gene: V/P)","1/67",0.154635136309991,0.49840693693659,0,0,6.14842300556586,11.4771806572209,"PIK3R3"
"Human herpesvirus 4 type 2 BZLF2","1/71",0.16308595979881,0.49840693693659,0,0,5.79591836734694,10.5107696169887,"CD248"
"Orf virus ORF110 EEV glycoprotein","1/73",0.167280269123171,0.49840693693659,0,0,5.6343537414966,10.0747012408884,"CD248"
"Human T-cell leukemia virus type I p21 TM (gene: env)","1/82",0.185901138460253,0.49840693693659,0,0,5.00604686318972,8.42287539189952,"PIK3R3"
"Human respirovirus 3 phosphoprotein","1/82",0.185901138460253,0.49840693693659,0,0,5.00604686318972,8.42287539189952,"PIK3R3"
"Monkeypox virus Zaire-96-I-16 D15L (gene: D15L)","1/82",0.185901138460253,0.49840693693659,0,0,5.00604686318972,8.42287539189952,"KLHL4"
"Human adenovirus 11a IVa2","1/84",0.189983356911436,0.49840693693659,0,0,4.88492746496189,8.1129793990771,"PIK3R3"
"Monkeypox virus Zaire-96-I-16 D17L (gene: D17L)","1/85",0.192016936645131,0.49840693693659,0,0,4.8265306122449,7.96460422141435,"KLHL4"
"Lake Victoria marburgvirus - DRC1999 glycoprotein (gene: GP)","1/86",0.194045512854838,0.49840693693659,0,0,4.76950780312125,7.82038330328814,"PIK3R3"
"Variola virus hypothetical protein (gene: J8R)","1/87",0.196069097589664,0.49840693693659,0,0,4.71381110583768,7.6801565438185,"KLHL4"
"Variola virus hypothetical protein (gene: D13L)","1/90",0.202110023192397,0.49840693693659,0,0,4.55423068103646,7.28195554376981,"KLHL4"
"Vaccinia virus Ankara 18.9k Kelch-like protein","1/93",0.208106457039028,0.49840693693659,0,0,4.40505767524401,6.91464333784472,"KLHL4"
"Horsepox virus HSPV187 (kelch-like protein; Provisional)","1/93",0.208106457039028,0.49840693693659,0,0,4.40505767524401,6.91464333784472,"KLHL4"
"Measles morbillivirus phosphoprotein (gene: P/V/C)","1/94",0.210095436800202,0.49840693693659,0,0,4.35747202106649,6.79849904676328,"PIK3R3"
"Measles virus genotype G3 phosphoprotein (gene: C/P/V)","1/94",0.210095436800202,0.49840693693659,0,0,4.35747202106649,6.79849904676328,"PIK3R3"
"Measles virus strain Edmonston-Zagreb phosphoprotein (gene: P)","1/94",0.210095436800202,0.49840693693659,0,0,4.35747202106649,6.79849904676328,"PIK3R3"
"Measles virus strain MVi/Arizona.USA/11.08/2 phosphoprotein (gene: P)","1/94",0.210095436800202,0.49840693693659,0,0,4.35747202106649,6.79849904676328,"PIK3R3"
"Measles virus strain MVi/California.USA/16.03 phosphoprotein (gene: P)","1/94",0.210095436800202,0.49840693693659,0,0,4.35747202106649,6.79849904676328,"PIK3R3"
"Measles virus strain MVi/Florida.USA/19.09 phosphoprotein (gene: P)","1/94",0.210095436800202,0.49840693693659,0,0,4.35747202106649,6.79849904676328,"PIK3R3"
"Measles virus strain MVi/New Jersey.USA/45.05 phosphoprotein (gene: P)","1/94",0.210095436800202,0.49840693693659,0,0,4.35747202106649,6.79849904676328,"PIK3R3"
"Measles virus strain MVi/New York.USA/26.09/3 phosphoprotein (gene: P)","1/94",0.210095436800202,0.49840693693659,0,0,4.35747202106649,6.79849904676328,"PIK3R3"
"Ravn virus - Ravn, Kenya, 1987 glycoprotein (gene: GP)","1/94",0.210095436800202,0.49840693693659,0,0,4.35747202106649,6.79849904676328,"PIK3R3"
"Measles virus strain MVi/Washington.USA/18.08/1 phosphoprotein (gene: P)","1/96",0.214058720124535,0.49840693693659,0,0,4.26530612244898,6.57499032398412,"PIK3R3"
"Measles virus strain MVi/California.USA/8.04 phosphoprotein (gene: P)","1/97",0.216033047281136,0.49840693693659,0,0,4.22066326530612,6.46742313757927,"PIK3R3"
"Menangle virus phosphoprotein (gene: V/P)","1/97",0.216033047281136,0.49840693693659,0,0,4.22066326530612,6.46742313757927,"PIK3R3"
"Cowpox virus Ati or CPXV158 protein (gene: ati)","1/98",0.218002513748404,0.49840693693659,0,0,4.17694087944456,6.36251970320458,"PIK3R3"
"Measles virus genotype D8 phosphoprotein (gene: P/V/C)","1/98",0.218002513748404,0.49840693693659,0,0,4.17694087944456,6.36251970320458,"PIK3R3"
"Monkeypox virus Zaire-96-I-16 D16L (gene: D16L)","1/98",0.218002513748404,0.49840693693659,0,0,4.17694087944456,6.36251970320458,"KLHL4"
"Human alphaherpesvirus 3 tegument protein VP22 (gene: ORF9)","1/98",0.218002513748404,0.49840693693659,0,0,4.17694087944456,6.36251970320458,"PIK3R3"
"Human herpesvirus 3 strain Dumas Tegument protein VP22 (gene: ORF9)","1/98",0.218002513748404,0.49840693693659,0,0,4.17694087944456,6.36251970320458,"PIK3R3"
"Cowpox virus CPXV204 protein (gene: CPXV204 CDS)","1/99",0.2199671313012,0.49840693693659,0,0,4.13411078717201,6.26018948804807,"KLHL4"
"Measles virus strain MVi/Texas.USA/4.07 phosphoprotein (gene: P)","1/99",0.2199671313012,0.49840693693659,0,0,4.13411078717201,6.26018948804807,"PIK3R3"
"Measles virus strain MVi/Virginia.USA/15.09 phosphoprotein (gene: P)","1/99",0.2199671313012,0.49840693693659,0,0,4.13411078717201,6.26018948804807,"PIK3R3"
"Human immunodeficiency virus gag protein (gene: gag)","1/100",0.221926911560385,0.49840693693659,0,0,4.09214594928881,6.16034588762116,"PIK3R3"
"Measles virus genotype D4 phosphoprotein (gene: C/P/V)","1/100",0.221926911560385,0.49840693693659,0,0,4.09214594928881,6.16034588762116,"PIK3R3"
"Variola virus hypothetical protein (gene: C7L)","1/100",0.221926911560385,0.49840693693659,0,0,4.09214594928881,6.16034588762116,"KLHL4"
"Human parainfluenza virus 1 strain Washington/1964 phosphoprotein (gene: P)","1/102",0.225832006978328,0.49840693693659,0,0,4.01070923418872,5.96779050603106,"PIK3R3"
"Human respirovirus 1 phosphoprotein (gene: P)","1/102",0.225832006978328,0.49840693693659,0,0,4.01070923418872,5.96779050603106,"PIK3R3"
"Lake Victoria marburgvirus - Angola2005 glycoprotein (gene: GP)","1/105",0.231653661546854,0.49840693693659,0,0,3.89442700156986,5.69564568108454,"PIK3R3"
"Sosuga virus phosphoprotein","1/105",0.231653661546854,0.49840693693659,0,0,3.89442700156986,5.69564568108454,"PIK3R3"
"Monkeypox virus Zaire-96-I-16 B1R (gene: B1R)","1/111",0.243168553227101,0.49840693693659,0,0,3.6808905380334,5.20478084558139,"KLHL4"
"Mumps virus strain Jeryl Lynn phosphoprotein (gene: P)","1/113",0.246969136476027,0.49840693693659,0,0,3.61479591836735,5.05526282536401,"PIK3R3"
"Human alphaherpesvirus 2 tegument protein VP22 (gene: UL49)","1/116",0.252634966589978,0.49840693693659,0,0,3.51996450754215,4.84280114390583,"PIK3R3"
"Human alphaherpesvirus 1 tegument protein VP22 (gene: UL49)","1/121",0.261985313392121,0.49840693693659,0,0,3.37244897959184,4.51728355262187,"PIK3R3"
"Molluscum contagiosum virus subtype 1 MC034L (gene: MC034L)","1/122",0.263841577763516,0.49840693693659,0,0,3.34440883791533,4.45611187425848,"SNTG2"
"Ebola virus - Mayinga, Zaire, 1976 virion spike glycoprotein precursor (gene: GP)","1/126",0.271220988057227,0.49840693693659,0,0,3.23673469387755,4.22336048857463,"PIK3R3"
"Zaire ebolavirus spike glycoprotein (gene: GP)","1/126",0.271220988057227,0.49840693693659,0,0,3.23673469387755,4.22336048857463,"PIK3R3"
"Variola virus hypothetical protein (gene: B24R)","1/127",0.273054483863885,0.49840693693659,0,0,3.2108843537415,4.16799737784363,"KLHL4"
"Horsepox virus HSPV155 (IEV and EEV membrane glycoprotein; Provisional)","1/127",0.273054483863885,0.49840693693659,0,0,3.2108843537415,4.16799737784363,"CD248"
"Variola virus IEV and EEV membrane glycoprotein (gene: A37R)","1/131",0.280343368498395,0.49840693693659,0,0,3.11145996860283,3.95696844602525,"CD248"
"Bundibugyo ebolavirus spike glycoprotein (gene: GP)","1/131",0.280343368498395,0.49840693693659,0,0,3.11145996860283,3.95696844602525,"PIK3R3"
"Vaccinia virus Ankara 64.7k Kelch-like protein f2","1/132",0.282154369399051,0.49840693693659,0,0,3.08755257828322,3.90668320615816,"KLHL4"
"Vaccinia virus Ankara EEV membrane glycoprotein","1/132",0.282154369399051,0.49840693693659,0,0,3.08755257828322,3.90668320615816,"CD248"
"Monkeypox virus Zaire-96-I-16 IEV and EEV membrane glycoprotein (gene: A36R)","1/132",0.282154369399051,0.49840693693659,0,0,3.08755257828322,3.90668320615816,"CD248"
"Ectromelia virus ERPV EEV c-type lectin-like protein","1/134",0.285762982719773,0.49840693693659,0,0,3.04081632653061,3.80890385676326,"CD248"
"Monkeypox virus EEV glycoprotein","1/134",0.285762982719773,0.49840693693659,0,0,3.04081632653061,3.80890385676326,"CD248"
"Rotavirus A NSP4","1/134",0.285762982719773,0.49840693693659,0,0,3.04081632653061,3.80890385676326,"PIK3R3"
"Orf virus ORF132 vascular endothelial growth factor-like protein","1/134",0.285762982719773,0.49840693693659,0,0,3.04081632653061,3.80890385676326,"LRRN3"
"Molluscum contagiosum virus subtype 1 MC143R (gene: MC143R)","1/136",0.289353816496661,0.49840693693659,0,0,2.99546485260771,3.71469112422295,"CD248"
"Sudan ebolavirus spike glycoprotein (gene: GP)","1/138",0.292926956612449,0.49840693693659,0,0,2.95143750931029,3.62386940777819,"PIK3R3"
"Sudan ebolavirus - Nakisamata structural glycoprotein (gene: GP)","1/138",0.292926956612449,0.49840693693659,0,0,2.95143750931029,3.62386940777819,"PIK3R3"
"Vaccinia virus IEV and EEV membrane glycoprotein (gene: A34R)","1/139",0.294706918226376,0.49840693693659,0,0,2.92990239574091,3.57967831775799,"CD248"
"Cowpox virus CPXV169 protein (gene: CPXV169 CDS)","1/143",0.301782956468689,0.49840693693659,0,0,2.84679505605059,3.41059486630523,"CD248"
"Tai Forest ebolavirus spike glycoprotein (gene: GP)","1/143",0.301782956468689,0.49840693693659,0,0,2.84679505605059,3.41059486630523,"PIK3R3"
"Lake Victoria marburgvirus - Leiden glycoprotein (gene: GP)","1/144",0.303541066856119,0.49840693693659,0,0,2.82674468388754,3.37015346511746,"PIK3R3"
"Marburg virus - Musoke, Kenya, 1980 glycoprotein (gene: GP)","1/148",0.31053022703461,0.500394145515215,0,0,2.74927113702624,3.21520120387571,"PIK3R3"
"Vaccinia virus C-type lectin-like type-II membrane protein (gene: A40R)","1/154",0.320885269622271,0.500394145515215,0,0,2.640656262505,3.00155907202735,"CD248"
"Vaccinia virus Ankara C-type lectin-like protein","1/154",0.320885269622271,0.500394145515215,0,0,2.640656262505,3.00155907202735,"CD248"
"Variola virus hypothetical protein (gene: J7R)","1/154",0.320885269622271,0.500394145515215,0,0,2.640656262505,3.00155907202735,"KLHL4"
"Yaba-like disease virus 123R protein (gene: 123R)","1/156",0.324302961975654,0.500394145515215,0,0,2.60631994733377,2.93491729206467,"CD248"
"Reston ebolavirus spike glycoprotein (gene: GP)","1/158",0.327703796855259,0.500394145515215,0,0,2.57285844274015,2.8703970097526,"PIK3R3"
"Marburg marburgvirus glycoprotein (gene: GP)","1/160",0.33108785567924,0.500394145515215,0,0,2.54023873700424,2.80790753816435,"PIK3R3"
"Cowpox virus CPXV177 protein (gene: CPXV177 CDS)","1/176",0.357566037357018,0.528005977677623,0,0,2.30612244897959,2.37169753438861,"CD248"
"Vaccinia virus Ankara 64.7k Kelch-like protein f1","1/176",0.357566037357018,0.528005977677623,0,0,2.30612244897959,2.37169753438861,"KLHL4"
"Vaccinia virus Ankara Kelch-like protein, modulator of inflammation","1/179",0.362415054719606,0.528005977677623,0,0,2.26691125888558,2.3008359575471,"KLHL4"
"Horsepox virus HSPV008","1/187",0.375171092385506,0.528005977677623,0,0,2.16853192890059,2.1259703927866,"KLHL4"
"Horsepox virus HSPV176 (kelch-like protein; Provisional)","1/188",0.376747905118404,0.528005977677623,0,0,2.1568263669104,2.1054486101079,"KLHL4"
"Cowpox virus CPXV013 protein (gene: CPXV013 CDS)","1/189",0.378320817983821,0.528005977677623,0,0,2.14524533217542,2.08520574717916,"KLHL4"
"Yaba-like disease virus 19L protein (gene: 19L)","1/189",0.378320817983821,0.528005977677623,0,0,2.14524533217542,2.08520574717916,"KLHL4"
"Cowpox virus CPXV193 protein (gene: CPXV193 CDS)","1/194",0.386127214456092,0.528005977677623,0,0,2.08914031934017,1.98800167857261,"KLHL4"
"Human mastadenovirus A E3 CR1-alpha1","1/196",0.389222803095677,0.528005977677623,0,0,2.06750392464678,1.95090361026202,"FSCN2"
"Horsepox virus HSPV177 (Immunoglobulin like)","2/538",0.390816825364487,0.528005977677623,0,0,1.50917288557214,1.41789253471183,"CACHD1;PIK3R3"
"Vaccinia virus kelch-like protein (gene: A55R)","1/199",0.393837522527261,0.528005977677623,0,0,2.03586889301175,1.89705690654597,"KLHL4"
"Yaba-like disease virus 140R protein (gene: 140R)","1/205",0.40296468626852,0.528005977677623,0,0,1.97539015606242,1.79544465262223,"KLHL4"
