"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"A-Vietnam-1203 CIP048 RG4-2004(H5N1)HAAvirmut 1day-MOI-10^4 GSE37572","3/300",0.0390400715124679,0.530747679484826,0,0,4.22372662798195,13.6982494892257,"LRRN3;MPPED2;PIK3R3"
"A-CA-04-2009(H1N1)MA Day1 GSE36328","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"LRRN3;MPPED2"
"A-CA-04-2009(H1N1)MA Day3 GSE36328","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"PIK3R3;POLR3G"
"A-CA-04-2009(H1N1) 18hour GSE47962","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"TMEM37;GRAMD4"
"RSV-A2 24Hour-B6.129PF1 J GSE18170","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"GPT2;GRAMD4"
"RV16 0Hour-B2B GSE28904","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"FGFBP2;PIK3R3"
"A-CA-04-2009(H1N1) 48Hour GSE47960","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"CACHD1;PIK3R3"
"hMPV 12Hour GSE8961","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"GPT2;GRAMD4"
"A-CA-04-2009(H1N1) 6Hour GSE47960","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"CACHD1;PIK3R3"
"icSARA deltaORF6 0Hour GSE33267","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"SLC25A20;GRAMD4"
"A-Netherlands-602-2009(H1N1) 0Hour GSE40844","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"CBX3P2;ADAMTS6"
"icSARS CoV 0Hour GSE33267","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"LRRN3;SLC25A20"
"A-Netherlands-602-2009(H1N1) 3Hour GSE40844","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"VMO1;ADAMTS6"
"icSARS CoV 12Hour GSE33267","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"LRRN3;SLC25A20"
"icSARS CoV 12Hour GSE37827","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"ZNF683;TMC1"
"icSARS CoV 24Hour GSE37827","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"TMC1;MPPED2"
"SARS-CoV MA15 Day4-C57BL-6 GSE40824","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"BEX1;FSCN2"
"A-Vietnam-1203 CIP048 RG3-2004(H5N1)PB1-F2del 4day-MOI-10^4 GSE44441","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"B3GAT1;KLHL4"
"SARS-CoV MA15 Day4-PFU-10^5 GSE50000","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"B3GAT1;KCNQ5"
"SARS-CoV MA15 Day7-PFU-10^4 GSE50000","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"SNTG2;GPT2"
