"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"A-Vietnam-1203 CIP048 RG4-2004(H5N1)NS1trunc124 2day-MOI-10^4 GSE44445","4/300",0.00664731974339026,0.352307946399684,0,0,5.7737955346651,28.9471638238672,"VMO1;SLC4A10;KCNQ5;ADAMTS6"
"SARS-CoV MA15 Day1 GSE49262","4/300",0.00664731974339026,0.352307946399684,0,0,5.7737955346651,28.9471638238672,"TMEM37;CACHD1;ADAMTS6;GFAP"
"SARS-BatSRBD Day4 GSE50000","3/300",0.0390400715124679,0.530747679484826,0,0,4.22372662798195,13.6982494892257,"B3GAT1;SLC4A10;GFAP"
"A-CA-04-2009(H1N1)MA Day3 GSE36328","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"VMO1;TMEM37"
"cSARS Bat SRBD 24Hour GSE37827","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"ZNF683;SLC4A10"
"cSARS Bat SRBD 36Hour GSE37827","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"SNTG2;B3GAT1"
"icSARA deltaORF6 0Hour GSE33267","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"TMEM37;B3GAT1"
"A-Netherlands-602-2009(H1N1) 0Hour GSE40844","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"TMC1;B3GAT1"
"A-Netherlands-602-2009(H1N1) 12Hour GSE40844","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"FGFBP2;CBX3P2"
"icSARS CoV 0Hour GSE33267","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"B3GAT1;SLC4A10"
"icSARS CoV 24Hour GSE37827","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"SNTG2;SLC4A10"
"icSARS CoV 30Hour GSE37827","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"TMC1;PIK3R3"
"icSARS CoV 3Hour GSE33267","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"TMEM37;ODF3"
"icSARS CoV 48Hour GSE33267","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"VMO1;SNTG2"
"A-VN-1203-2004(H5N1) Day4-10^4pfu GSE33263","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"ZNF683;POLR3G"
"A-Vietnam-1203-2004(H5N1) 24Hour GSE43204","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"FGFBP2;POLR3G"
"A-Vietnam-1203 CIP048 RG3-2004(H5N1)PB1-F2del 2day-MOI-10^3 GSE43302","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"CACHD1;ADAMTS6"
"A-Vietnam-1203 CIP048 RG3-2004(H5N1)PB1-F2del 4day-MOI-10^4 GSE44441","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"SLC25A20;ADAMTS6"
"A-Vietnam-1203 CIP048 RG3-2004(H5N1) 24Hour GSE43203","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"PIK3R3;ADAMTS6"
"A-Vietnam-1203 CIP048 RG4-2004(H5N1)NS1trunc 3Hour GSE43204","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"BEX1;GFAP"
"Enterovirus 71 4Hour GSE15323","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"FSCN2;GFAP"
"Enterovirus 71 8Hour GSE15323","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"SNTG2;GFAP"
"SARS-BatSRBD Day1 GSE50000","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"GRAMD4;ADAMTS6"
"SARS-BatSRBD Day2 GSE50000","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"VMO1;ADAMTS6"
"SARS-CoV MA15 Day1-PFU-10^3 GSE33266","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"CBX3P2;POLR3G"
"SARS-CoV MA15 Day1-PFU-10^4 GSE33266","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"ZNF683;CBX3P2"
"SARS-CoV MA15 Day1-PFU-10^5 GSE33266","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"ZNF683;CBX3P2"
"SARS-CoV MA15 Day2 GSE49263","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"TMEM37;GFAP"
"A-CA-04-2009(H1N1)MA Day1 GSE36328","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"TMEM37"
"SARS-dORF6 60Hour GSE47962","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"GPT2"
"A-CA-04-2009(H1N1) 0Hour GSE40844","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"SNTG2"
"SARS-dORF6 84Hour GSE47960","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"VMO1"
"A-CA-04-2009(H1N1) 12Hour GSE40844","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"CBX3P2"
"A-CA-04-2009(H1N1) 24Hour GSE37571","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"FGFBP2"
"A-CA-04-2009(H1N1) 36Hour GSE47960","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"GPT2"
"cSARS Bat SRBD 48Hour GSE37827","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"KLHL4"
"A-CA-04-2009(H1N1) 36Hour GSE47962","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"GPT2"
"A-CA-04-2009(H1N1) 48Hour GSE47961","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"GPT2"
"A-CA-04-2009(H1N1) 48Hour GSE47962","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"GPT2"
"A-CA-04-2009(H1N1) 6Hour GSE47960","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"GPT2"
"icSARA deltaORF6 24Hour GSE33267","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"ODF3"
"icSARA deltaORF6 48Hour GSE33267","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"VMO1"
"A-Netherlands-602-2009(H1N1) 18Hour GSE40844","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"FGFBP2"
"icSARA deltaORF6 60Hour GSE33267","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"PIK3R3"
"A-Netherlands-602-2009(H1N1) 30Hour GSE40844","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"ADAMTS6"
"icSARA deltaORF6 7Hour GSE33267","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"TMC1"
"icSARS CoV 12Hour GSE33267","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"TMC1"
"A-VN-1203-2004(H5N1) Day1-10^2pfu GSE33263","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"GFAP"
"icSARS CoV 24Hour GSE33267","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"SNTG2"
"icSARS CoV 30Hour GSE33267","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"SNTG2"
"icSARS CoV 36Hour GSE33267","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"SNTG2"
"icSARS CoV 36Hour GSE37827","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"ADAMTS6"
