"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Amino Acid Metabolism Pathway Excerpt Histidine Catabolism Extension WP4661","1/6",0.0149082847993736,0.351817447235416,0,0,81.4081632653061,342.389562344484,"GPT2"
"Ketogenesis And Ketolysis WP4742","1/8",0.0198291614511851,0.351817447235416,0,0,58.1428571428571,227.954980151296,"SLC25A20"
"17Q12 Copy Number Variation Syndrome WP5287","2/100",0.0259489619459531,0.351817447235416,0,0,8.44047619047619,30.8214426622313,"TBC1D3K;TBC1D3G"
"Cancer Immunotherapy By CTLA4 Blockade WP4582","1/14",0.0344477141698712,0.351817447235416,0,0,31.298273155416,105.422368949113,"PIK3R3"
"Leptin Insulin Signaling Overlap WP3935","1/17",0.0416766547912335,0.351817447235416,0,0,25.4260204081633,80.799167280865,"PIK3R3"
"Mitochondrial Long Chain Fatty Acid Beta Oxidation WP368","1/17",0.0416766547912335,0.351817447235416,0,0,25.4260204081633,80.799167280865,"SLC25A20"
"Mitochondrial Fatty Acid Oxidation Disorders WP5123","1/19",0.0464664552952436,0.351817447235416,0,0,22.5986394557823,69.3557808280063,"SLC25A20"
"PI3K AKT mTOR Signaling Pathway And Therapeutic Opportunities In Prostate Cancer WP3844","1/32",0.0770332554327669,0.369938586235569,0,0,13.1132323897301,33.6160080774025,"PIK3R3"
"Fatty Acid Beta Oxidation WP143","1/34",0.0816498044624026,0.369938586235569,0,0,12.317254174397,30.8586121657323,"SLC25A20"
"mBDNF And proBDNF Regulation Of GABA Neurotransmission WP4829","1/38",0.0908151166313485,0.369938586235569,0,0,10.9834528405957,26.3485293003408,"PIK3R3"
"Microglia Pathogen Phagocytosis Pathway WP3937","1/40",0.0953640965755272,0.369938586235569,0,0,10.4191522762951,24.4855612889518,"PIK3R3"
"Neural Crest Cell Migration During Development WP4564","1/40",0.0953640965755272,0.369938586235569,0,0,10.4191522762951,24.4855612889518,"PIK3R3"
"Glycosaminoglycan Synthesis In Fibroblasts WP5395","1/41",0.0976302146847682,0.369938586235569,0,0,10.1581632653061,23.6336602002892,"B3GAT1"
"Neural Crest Cell Migration In Cancer WP4565","1/43",0.102145774279416,0.369938586235569,0,0,9.6734693877551,22.0686112387857,"PIK3R3"
"Translation Inhibitors In Chronically Activated PDGFRA Cells WP4566","1/46",0.108877622208567,0.369938586235569,0,0,9.02721088435374,20.0181178087303,"PIK3R3"
"Synaptic Signaling Pathways Associated With Autism Spectrum Disorder WP4539","1/50",0.117776526004041,0.369938586235569,0,0,8.28862973760933,17.7290996615035,"PIK3R3"
"MET In Type 1 Papillary Renal Cell Carcinoma WP4205","1/59",0.137481851045255,0.369938586235569,0,0,6.99929627023223,13.8884471557023,"PIK3R3"
"TAR Syndrome WP5362","1/62",0.143953936469556,0.369938586235569,0,0,6.65406490465038,12.8973205926637,"POLR3G"
"3Q29 Copy Number Variation Syndrome WP4906","1/63",0.146100703414545,0.369938586235569,0,0,6.54641211323239,12.5917562502396,"PIK3R3"
"Endometrial Cancer WP4155","1/63",0.146100703414545,0.369938586235569,0,0,6.54641211323239,12.5917562502396,"PIK3R3"
"AMP Activated Protein Kinase Signaling WP1403","1/67",0.154635136309991,0.369938586235569,0,0,6.14842300556586,11.4771806572209,"PIK3R3"
"Melanoma WP4685","1/68",0.156755649080656,0.369938586235569,0,0,6.05635089856838,11.2228243619718,"PIK3R3"
"Non Small Cell Lung Cancer WP4255","1/72",0.165185695910124,0.369938586235569,0,0,5.71399827536648,10.2891110310162,"PIK3R3"
"Cytosolic DNA Sensing Pathway WP4655","1/74",0.169369691826634,0.369938586235569,0,0,5.55689124965054,9.86721301833061,"POLR3G"
"MicroRNAs In Cardiomyocyte Hypertrophy WP1544","1/83",0.187944761535793,0.369938586235569,0,0,4.94474863115978,8.26567731981137,"PIK3R3"
"EGFR Tyrosine Kinase Inhibitor Resistance WP4806","1/84",0.189983356911436,0.369938586235569,0,0,4.88492746496189,8.1129793990771,"PIK3R3"
"Pancreatic Adenocarcinoma Pathway WP4263","1/89",0.20010134077429,0.369938586235569,0,0,4.60621521335807,7.41108400124833,"PIK3R3"
"ErbB Signaling Pathway WP673","1/90",0.202110023192397,0.369938586235569,0,0,4.55423068103646,7.28195554376981,"PIK3R3"
"Amino Acid Metabolism WP3925","1/91",0.204113762093119,0.369938586235569,0,0,4.50340136054422,7.15625505110662,"GPT2"
"Small Cell Lung Cancer WP4658","1/95",0.21207952058325,0.369938586235569,0,0,4.31089882761615,6.68531593969729,"PIK3R3"
"Neural Crest Differentiation WP2064","1/101",0.223881866241205,0.369938586235569,0,0,4.05102040816327,6.06290601418737,"GFAP"
"Toll Like Receptor Signaling Pathway WP75","1/102",0.225832006978328,0.369938586235569,0,0,4.01070923418872,5.96779050603106,"PIK3R3"
"Thermogenesis WP4321","1/108",0.237432406982674,0.369938586235569,0,0,3.78466526797635,5.44186534675464,"SLC25A20"
"DNA Damage Response Only ATM Dependent WP710","1/110",0.241261218690496,0.369938586235569,0,0,3.71484740685265,5.28204879592619,"PIK3R3"
"Gastrin Signaling Pathway WP4659","1/115",0.250751014138588,0.369938586235569,0,0,3.55102040816327,4.9121080927455,"PIK3R3"
"Osteoblast Differentiation And Related Diseases WP4787","1/118",0.25638895483414,0.369938586235569,0,0,3.45944531658817,4.70851137205702,"PIK3R3"
"Spinal Cord Injury WP2431","1/119",0.258259013032378,0.369938586235569,0,0,3.4299550328606,4.64344661396654,"GFAP"
"Ebola Virus Infection In Host WP4217","1/129",0.27670792410592,0.373354390446803,0,0,3.16039540816327,4.06045312240468,"PIK3R3"
"Angiopoietin Like Protein 8 Regulatory Pathway WP3915","1/132",0.282154369399051,0.373354390446803,0,0,3.08755257828322,3.90668320615816,"PIK3R3"
"Measles Virus Infection WP4630","1/136",0.289353816496661,0.373354390446803,0,0,2.99546485260771,3.71469112422295,"PIK3R3"
"Neuroinflammation And Glutamatergic Signaling WP5083","1/140",0.296482488408479,0.373354390446803,0,0,2.90867713992072,3.53627403902577,"GFAP"
"Hepatitis B Infection WP4666","1/150",0.31399898455863,0.373354390446803,0,0,2.71209423366662,3.14159646617035,"PIK3R3"
"Regulation Of Actin Cytoskeleton WP51","1/150",0.31399898455863,0.373354390446803,0,0,2.71209423366662,3.14159646617035,"PIK3R3"
"Nonalcoholic Fatty Liver Disease WP4396","1/154",0.320885269622271,0.373354390446803,0,0,2.640656262505,3.00155907202735,"PIK3R3"
"Breast Cancer Pathway WP4262","1/154",0.320885269622271,0.373354390446803,0,0,2.640656262505,3.00155907202735,"PIK3R3"
"Epithelial To Mesenchymal Transition In Colorectal Cancer WP4239","1/160",0.33108785567924,0.373354390446803,0,0,2.54023873700424,2.80790753816435,"PIK3R3"
"Insulin Signaling WP481","1/160",0.33108785567924,0.373354390446803,0,0,2.54023873700424,2.80790753816435,"PIK3R3"
"Chemokine Signaling Pathway WP3929","1/165",0.33947513864042,0.374837132248798,0,0,2.46217023394724,2.66001684959183,"PIK3R3"
"Ras Signaling WP4223","1/184",0.370417160319637,0.400655295855934,0,0,2.20441619270659,2.18926181923924,"PIK3R3"
"Focal Adhesion WP306","1/199",0.393837522527261,0.417467773878896,0,0,2.03586889301175,1.89705690654597,"PIK3R3"
"Alzheimer 39 S Disease And miRNA Effects WP2059","1/260",0.48059365901365,0.489835844763913,0,0,1.55157198014341,1.13688822393882,"PIK3R3"
"Alzheimer 39 S Disease WP5124","1/260",0.48059365901365,0.489835844763913,0,0,1.55157198014341,1.13688822393882,"PIK3R3"
"PI3K Akt Signaling Pathway WP4172","1/338",0.573982399068948,0.573982399068948,0,0,1.18773087870163,0.659376573118813,"PIK3R3"
