"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Leptin Insulin Overlap Mus musculus WP578","1/15",0.0368632785936063,0.362842523149329,0,0,29.0612244897959,95.9177159613371,"PIK3R3"
"Mitochondrial LC-Fatty Acid Beta-Oxidation Mus musculus WP401","1/16",0.0392729207344652,0.362842523149329,0,0,27.1224489795918,87.8013353011642,"SLC25A20"
"Mitochondrial LC-Fatty Acid Beta-Oxidation Homo sapiens WP368","1/17",0.0416766547912335,0.362842523149329,0,0,25.4260204081633,80.799167280865,"SLC25A20"
"Fatty Acid Beta Oxidation Mus musculus WP1269","1/33",0.0793443657059371,0.362842523149329,0,0,12.702806122449,32.1883751655927,"SLC25A20"
"Fatty Acid Beta Oxidation Homo sapiens WP143","1/34",0.0816498044624026,0.362842523149329,0,0,12.317254174397,30.8586121657323,"SLC25A20"
"Imatinib Resistance in Chronic Myeloid Leukemia Homo sapiens WP2946","1/50",0.117776526004041,0.362842523149329,0,0,8.28862973760933,17.7290996615035,"SLC4A10"
"Alpha6-Beta4 Integrin Signaling Pathway Mus musculus WP488","1/64",0.14824219418026,0.362842523149329,0,0,6.4421768707483,12.2975222932606,"PIK3R3"
"AMPK Signaling Homo sapiens WP1403","1/69",0.158870948881139,0.362842523149329,0,0,5.96698679471789,10.9772451176002,"PIK3R3"
"MicroRNAs in Cardiomyocyte Hypertrophy Mus musculus WP1560","1/79",0.179739981193554,0.362842523149329,0,0,5.19937205651491,8.92339120694113,"PIK3R3"
"Amino Acid metabolism Mus musculus WP662","1/92",0.206112569436316,0.362842523149329,0,0,4.45368916797488,7.03385741012878,"GPT2"
"Spinal Cord Injury Mus musculus WP2432","1/96",0.214058720124535,0.362842523149329,0,0,4.26530612244898,6.57499032398412,"GFAP"
"MicroRNAs in cardiomyocyte hypertrophy Homo sapiens WP1544","1/101",0.223881866241205,0.362842523149329,0,0,4.05102040816327,6.06290601418737,"PIK3R3"
"Neural Crest Differentiation Homo sapiens WP2064","1/101",0.223881866241205,0.362842523149329,0,0,4.05102040816327,6.06290601418737,"GFAP"
"Toll-like Receptor Signaling Pathway Homo sapiens WP75","1/102",0.225832006978328,0.362842523149329,0,0,4.01070923418872,5.96779050603106,"PIK3R3"
"DNA Damage Response (only ATM dependent) Homo sapiens WP710","1/111",0.243168553227101,0.362842523149329,0,0,3.6808905380334,5.20478084558139,"PIK3R3"
"Spinal Cord Injury Homo sapiens WP2431","1/119",0.258259013032378,0.362842523149329,0,0,3.4299550328606,4.64344661396654,"GFAP"
"Regulation of toll-like receptor signaling pathway Homo sapiens WP1449","1/141",0.298253677795296,0.362842523149329,0,0,2.88775510204082,3.49363756094843,"PIK3R3"
"Regulation of Actin Cytoskeleton Mus musculus WP523","1/148",0.31053022703461,0.362842523149329,0,0,2.74927113702624,3.21520120387571,"PIK3R3"
"Regulation of Actin Cytoskeleton Homo sapiens WP51","1/150",0.31399898455863,0.362842523149329,0,0,2.71209423366662,3.14159646617035,"PIK3R3"
"Insulin Signaling Mus musculus WP65","1/154",0.320885269622271,0.362842523149329,0,0,2.640656262505,3.00155907202735,"PIK3R3"
"MAPK signaling pathway Mus musculus WP493","1/155",0.322596228121901,0.362842523149329,0,0,2.62337662337662,2.96796712606432,"TMEM37"
"Purine metabolism Mus musculus WP2185","1/158",0.327703796855259,0.362842523149329,0,0,2.57285844274015,2.8703970097526,"POLR3G"
"Insulin Signaling Homo sapiens WP481","1/160",0.33108785567924,0.362842523149329,0,0,2.54023873700424,2.80790753816435,"PIK3R3"
"Chemokine signaling pathway Mus musculus WP2292","1/165",0.33947513864042,0.362842523149329,0,0,2.46217023394724,2.66001684959183,"PIK3R3"
"MAPK Signaling Pathway Homo sapiens WP382","1/168",0.344457946244357,0.362842523149329,0,0,2.41757301723084,2.57660887054472,"TMEM37"
"EGFR1 Signaling Pathway Mus musculus WP572","1/171",0.349403911180835,0.362842523149329,0,0,2.37454981992797,2.49690250610292,"PIK3R3"
"XPodNet - protein-protein interactions in the podocyte expanded by STRING Mus musculus WP2309","1/808",0.873119569156698,0.873119569156698,0,0,0.484105910022001,0.0656848303595495,"PIK3R3"
