"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Mitochondrial LC-Fatty Acid Beta-Oxidation WP368","1/17",0.0416766547912335,0.372751414202783,0,0,25.4260204081633,80.799167280865,"SLC25A20"
"Leptin Insulin Overlap WP3935","1/17",0.0416766547912335,0.372751414202783,0,0,25.4260204081633,80.799167280865,"PIK3R3"
"PI3K-AKT-mTOR signaling pathway and therapeutic opportunities WP3844","1/30",0.0723939657090184,0.372751414202783,0,0,14.0190007037298,36.8087414767415,"PIK3R3"
"Fatty Acid Beta Oxidation WP143","1/34",0.0816498044624026,0.372751414202783,0,0,12.317254174397,30.8586121657323,"SLC25A20"
"Microglia Pathogen Phagocytosis Pathway WP3937","1/40",0.0953640965755272,0.372751414202783,0,0,10.4191522762951,24.4855612889518,"PIK3R3"
"Synaptic signaling pathways associated with autism spectrum disorder WP4539","1/50",0.117776526004041,0.372751414202783,0,0,8.28862973760933,17.7290996615035,"PIK3R3"
"MET in type 1 papillary renal cell carcinoma WP4205","1/59",0.137481851045255,0.372751414202783,0,0,6.99929627023223,13.8884471557023,"PIK3R3"
"Endometrial cancer WP4155","1/63",0.146100703414545,0.372751414202783,0,0,6.54641211323239,12.5917562502396,"PIK3R3"
"Non-small cell lung cancer WP4255","1/66",0.152509397975627,0.372751414202783,0,0,6.24332810047096,11.7407599163322,"PIK3R3"
"AMP-activated Protein Kinase (AMPK) Signaling WP1403","1/69",0.158870948881139,0.372751414202783,0,0,5.96698679471789,10.9772451176002,"PIK3R3"
"MicroRNAs in cardiomyocyte hypertrophy WP1544","1/84",0.189983356911436,0.372751414202783,0,0,4.88492746496189,8.1129793990771,"PIK3R3"
"Pyrimidine metabolism WP4022","1/85",0.192016936645131,0.372751414202783,0,0,4.8265306122449,7.96460422141435,"POLR3G"
"Pancreatic adenocarcinoma pathway WP4263","1/89",0.20010134077429,0.372751414202783,0,0,4.60621521335807,7.41108400124833,"PIK3R3"
"Amino Acid metabolism WP3925","1/91",0.204113762093119,0.372751414202783,0,0,4.50340136054422,7.15625505110662,"GPT2"
"ErbB Signaling Pathway WP673","1/91",0.204113762093119,0.372751414202783,0,0,4.50340136054422,7.15625505110662,"PIK3R3"
"Neural Crest Differentiation WP2064","1/101",0.223881866241205,0.372751414202783,0,0,4.05102040816327,6.06290601418737,"GFAP"
"Toll-like Receptor Signaling Pathway WP75","1/103",0.22777734539855,0.372751414202783,0,0,3.97118847539016,5.87492334394335,"PIK3R3"
"Thermogenesis WP4321","1/108",0.237432406982674,0.372751414202783,0,0,3.78466526797635,5.44186534675464,"SLC25A20"
"DNA Damage Response (only ATM dependent) WP710","1/110",0.241261218690496,0.372751414202783,0,0,3.71484740685265,5.28204879592619,"PIK3R3"
"Spinal Cord Injury WP2431","1/118",0.25638895483414,0.372751414202783,0,0,3.45944531658817,4.70851137205702,"GFAP"
"Ebola Virus Pathway on Host WP4217","1/129",0.27670792410592,0.372751414202783,0,0,3.16039540816327,4.06045312240468,"PIK3R3"
"Angiopoietin Like Protein 8 Regulatory Pathway WP3915","1/132",0.282154369399051,0.372751414202783,0,0,3.08755257828322,3.90668320615816,"PIK3R3"
"Regulation of toll-like receptor signaling pathway WP1449","1/139",0.294706918226376,0.372751414202783,0,0,2.92990239574091,3.57967831775799,"PIK3R3"
"Regulation of Actin Cytoskeleton WP51","1/150",0.31399898455863,0.372751414202783,0,0,2.71209423366662,3.14159646617035,"PIK3R3"
"Breast cancer pathway WP4262","1/154",0.320885269622271,0.372751414202783,0,0,2.640656262505,3.00155907202735,"PIK3R3"
"Nonalcoholic fatty liver disease WP4396","1/155",0.322596228121901,0.372751414202783,0,0,2.62337662337662,2.96796712606432,"PIK3R3"
"Epithelial to mesenchymal transition in colorectal cancer WP4239","1/159",0.329397918202972,0.372751414202783,0,0,2.55644536295531,2.83890389537721,"PIK3R3"
"Insulin Signaling WP481","1/160",0.33108785567924,0.372751414202783,0,0,2.54023873700424,2.80790753816435,"PIK3R3"
"Chemokine signaling pathway WP3929","1/164",0.337805969121272,0.372751414202783,0,0,2.47740077626142,2.68868244347541,"PIK3R3"
"Ras Signaling WP4223","1/184",0.370417160319637,0.39511163767428,0,0,2.20441619270659,2.18926181923924,"PIK3R3"
"Focal Adhesion WP306","1/198",0.392303092169255,0.404958030626327,0,0,2.04630684761214,1.91477135590819,"PIK3R3"
"PI3K-Akt Signaling Pathway WP4172","1/340",0.576146398185812,0.576146398185812,0,0,1.18060321473722,0.650976923412083,"PIK3R3"
