"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Mitochondrial LC-Fatty Acid Beta-Oxidation WP401","1/16",0.0392729207344652,0.312416686991258,0,0,27.1224489795918,87.8013353011642,"SLC25A20"
"Leptin Insulin Overlap WP578","1/18",0.0440744949316927,0.312416686991258,0,0,23.9291716686675,74.7038591145848,"PIK3R3"
"Dysregulated miRNA Targeting in Insulin/PI3K-AKT Signaling WP3855","1/26",0.0630467249540435,0.312416686991258,0,0,16.265306122449,44.9553406480956,"PIK3R3"
"Fatty Acid Beta Oxidation WP1269","1/34",0.0816498044624026,0.312416686991258,0,0,12.317254174397,30.8586121657323,"SLC25A20"
"Microglia Pathogen Phagocytosis Pathway WP3626","1/41",0.0976302146847682,0.312416686991258,0,0,10.1581632653061,23.6336602002892,"PIK3R3"
"Alpha6-Beta4 Integrin Signaling Pathway WP488","1/67",0.154635136309991,0.358210985985928,0,0,6.14842300556586,11.4771806572209,"PIK3R3"
"MicroRNAs in Cardiomyocyte Hypertrophy WP1560","1/82",0.185901138460253,0.358210985985928,0,0,5.00604686318972,8.42287539189952,"PIK3R3"
"Amino Acid metabolism WP662","1/95",0.21207952058325,0.358210985985928,0,0,4.31089882761615,6.68531593969729,"GPT2"
"Spinal Cord Injury WP2432","1/99",0.2199671313012,0.358210985985928,0,0,4.13411078717201,6.26018948804807,"GFAP"
"Neural Crest Differentiation WP2074","1/101",0.223881866241205,0.358210985985928,0,0,4.05102040816327,6.06290601418737,"GFAP"
"Regulation of Actin Cytoskeleton WP523","1/152",0.317450637880715,0.379889840431448,0,0,2.67590214893905,3.07041828055456,"PIK3R3"
"Insulin Signaling WP65","1/159",0.329397918202972,0.379889840431448,0,0,2.55644536295531,2.83890389537721,"PIK3R3"
"MAPK signaling pathway WP493","1/159",0.329397918202972,0.379889840431448,0,0,2.55644536295531,2.83890389537721,"TMEM37"
"Purine metabolism WP2185","1/171",0.349403911180835,0.379889840431448,0,0,2.37454981992797,2.49690250610292,"POLR3G"
"EGFR1 Signaling Pathway WP572","1/178",0.360802714392248,0.379889840431448,0,0,2.2798339674853,2.32411738851616,"PIK3R3"
"Chemokine signaling pathway WP2292","1/190",0.379889840431448,0.379889840431448,0,0,2.13378684807256,2.06523673047369,"PIK3R3"
