"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Eosinophils","2/46",0.00590974224361543,0.0650071646797698,0,0,18.8503787878788,96.7241788394836,"SNTG2;MPPED2"
"monocyte chemoattractant protein 1 (66-77) [Supplementary Concept]","1/58",0.135313851739813,0.426900128280645,0,0,7.12244897959184,14.246025949065,"TMC1"
"Calcium","1/61",0.141801880592737,0.426900128280645,0,0,6.76530612244898,13.2148375405932,"KCNQ5"
"Metabolism","1/83",0.187944761535793,0.426900128280645,0,0,4.94474863115978,8.26567731981137,"ADAMTS6"
"Fibrinogen","1/86",0.194045512854838,0.426900128280645,0,0,4.76950780312125,7.82038330328814,"KLHL4"
"Iron","1/154",0.320885269622271,0.588289660974164,0,0,2.640656262505,3.00155907202735,"KCNQ5"
"Heart Failure","1/187",0.375171092385506,0.589043294470116,0,0,2.16853192890059,2.1259703927866,"MPPED2"
"Myocardial Infarction","1/229",0.438145462697151,0.589043294470116,0,0,1.76530612244898,1.45673823329454,"ADAMTS6"
"Echocardiography","1/273",0.497444185998806,0.589043294470116,0,0,1.47644057623049,1.03095699242274,"POLR3G"
"Cholesterol, LDL","1/304",0.535493904063742,0.589043294470116,0,0,1.32329763588604,0.826486410593103,"KCNQ5"
"Body Height","1/385",0.622085290082628,0.622085290082628,0,0,1.03985969387755,0.493598596017106,"GFAP"
