"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LINC01445","3/100",0.00200467613787586,0.221926911560385,0,0,13.0640491335819,81.1574365484459,"LRRN3;KLHL4;GFAP"
"LINC01849","3/100",0.00200467613787586,0.221926911560385,0,0,13.0640491335819,81.1574365484459,"VMO1;SLC4A10;PIK3R3"
"LINC02032","3/100",0.00200467613787586,0.221926911560385,0,0,13.0640491335819,81.1574365484459,"LRRN3;KLHL4;GFAP"
"LINC00566","3/100",0.00200467613787586,0.221926911560385,0,0,13.0640491335819,81.1574365484459,"TBC1D3K;TBC1D3G;ADAMTS6"
"LINC02775","2/100",0.0259489619459531,0.221926911560385,0,0,8.44047619047619,30.8214426622313,"SLC25A20;GRAMD4"
"ZFHX2-AS1","2/100",0.0259489619459531,0.221926911560385,0,0,8.44047619047619,30.8214426622313,"TBC1D3K;TBC1D3G"
"TMEM51-AS1","2/100",0.0259489619459531,0.221926911560385,0,0,8.44047619047619,30.8214426622313,"B3GAT1;GFAP"
"ATP6V0E2-AS1","2/100",0.0259489619459531,0.221926911560385,0,0,8.44047619047619,30.8214426622313,"BEX1;B3GAT1"
"ARHGAP27P1-BPTFP1-KPNA2P3","2/100",0.0259489619459531,0.221926911560385,0,0,8.44047619047619,30.8214426622313,"TBC1D3K;TBC1D3G"
"LINC01778","2/100",0.0259489619459531,0.221926911560385,0,0,8.44047619047619,30.8214426622313,"KLHL4;GFAP"
"NTM-AS1","2/100",0.0259489619459531,0.221926911560385,0,0,8.44047619047619,30.8214426622313,"B3GAT1;GFAP"
"LINC01763","2/100",0.0259489619459531,0.221926911560385,0,0,8.44047619047619,30.8214426622313,"BEX1;B3GAT1"
"SLC39A12-AS1","2/100",0.0259489619459531,0.221926911560385,0,0,8.44047619047619,30.8214426622313,"B3GAT1;GFAP"
"LINC00115","2/100",0.0259489619459531,0.221926911560385,0,0,8.44047619047619,30.8214426622313,"TBC1D3K;TBC1D3G"
"LINC02549","2/100",0.0259489619459531,0.221926911560385,0,0,8.44047619047619,30.8214426622313,"LRRN3;GFAP"
"LINC00840","2/100",0.0259489619459531,0.221926911560385,0,0,8.44047619047619,30.8214426622313,"TBC1D3K;TBC1D3G"
"LINC01630","2/100",0.0259489619459531,0.221926911560385,0,0,8.44047619047619,30.8214426622313,"B3GAT1;GFAP"
"LINC02803","2/100",0.0259489619459531,0.221926911560385,0,0,8.44047619047619,30.8214426622313,"TBC1D3K;TBC1D3G"
"LINC02048","2/100",0.0259489619459531,0.221926911560385,0,0,8.44047619047619,30.8214426622313,"TMEM37;SNTG2"
"LINC02587","2/100",0.0259489619459531,0.221926911560385,0,0,8.44047619047619,30.8214426622313,"LRRN3;KLHL4"
"LINC00364","2/100",0.0259489619459531,0.221926911560385,0,0,8.44047619047619,30.8214426622313,"BEX1;LRRN3"
"LINC01066","2/100",0.0259489619459531,0.221926911560385,0,0,8.44047619047619,30.8214426622313,"B3GAT1;GFAP"
"TGFB2-AS1","2/100",0.0259489619459531,0.221926911560385,0,0,8.44047619047619,30.8214426622313,"CACHD1;GFAP"
"NALCN-AS1","2/100",0.0259489619459531,0.221926911560385,0,0,8.44047619047619,30.8214426622313,"BEX1;B3GAT1"
