"Patient","XGY2","ENSG00000142539","F8A2","ENSG00000285505","ENSG00000267793","TBC1D3K","RNVU1-18","TBC1D3G","ZNF683","SNTG2","CD248","ENSG00000254732","RNU1-3","MPPED2","ENSG00000224610","PIK3R3","LRRN3","ENSG00000289694","ODF3","SLC4A10","POLR3G","CBX3P2","DEFA1","TMC1","KLHL4","ENSG00000273162","KCNQ5","ENSG00000225544","FSCN2","MED14OS"
"1","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Upregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Upregulated","Neutral","Neutral","Neutral"
"10","Neutral","Neutral","Upregulated","Upregulated","Neutral","Neutral","Upregulated","Neutral","Upregulated","Neutral","Upregulated","Neutral","Upregulated","Neutral","Neutral","Upregulated","Upregulated","Neutral","Neutral","Neutral","Upregulated","Neutral","Neutral","Neutral","Neutral","Upregulated","Upregulated","Neutral","Neutral","Neutral"
"11","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Downregulated","Neutral","Neutral","Neutral","Neutral","Downregulated","Neutral","Neutral","Downregulated","Upregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Upregulated","Upregulated","Neutral","Downregulated","Upregulated","Neutral","Neutral"
"12","Neutral","Neutral","Upregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Upregulated","Neutral","Downregulated","Neutral","Neutral","Downregulated","Neutral","Neutral","Neutral","Upregulated","Neutral","Upregulated","Neutral","Neutral","Neutral","Neutral"
"13","Neutral","Neutral","Neutral","Neutral","Neutral","Upregulated","Neutral","Upregulated","Neutral","Neutral","Downregulated","Upregulated","Upregulated","Downregulated","Neutral","Neutral","Downregulated","Neutral","Neutral","Neutral","Neutral","Upregulated","Upregulated","Neutral","Upregulated","Neutral","Neutral","Upregulated","Downregulated","Neutral"
"14","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Downregulated","Neutral","Downregulated","Neutral","Neutral","Upregulated","Downregulated","Neutral","Downregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Upregulated","Neutral"
"15","Neutral","Neutral","Upregulated","Neutral","Neutral","Neutral","Upregulated","Neutral","Upregulated","Neutral","Neutral","Upregulated","Upregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Upregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Upregulated","Upregulated"
"16","Neutral","Neutral","Neutral","Upregulated","Neutral","Neutral","Neutral","Upregulated","Neutral","Upregulated","Neutral","Neutral","Upregulated","Upregulated","Neutral","Neutral","Upregulated","Neutral","Neutral","Upregulated","Upregulated","Neutral","Neutral","Neutral","Neutral","Upregulated","Neutral","Neutral","Neutral","Neutral"
"17","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Downregulated","Upregulated","Neutral","Neutral","Neutral","Neutral","Downregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Downregulated","Neutral","Neutral","Neutral"
"18","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Downregulated","Neutral","Neutral","Neutral","Upregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Upregulated","Upregulated","Upregulated","Upregulated","Upregulated","Upregulated","Neutral","Neutral","Neutral","Neutral","Neutral"
"19","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Upregulated","Upregulated","Upregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Downregulated","Neutral","Neutral","Upregulated","Neutral","Upregulated","Neutral","Neutral","Neutral"
"2","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Upregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Downregulated","Upregulated","Neutral","Neutral","Upregulated","Neutral","Neutral","Neutral","Neutral","Upregulated","Neutral","Neutral","Neutral","Neutral","Upregulated"
"20","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Downregulated","Neutral","Neutral","Neutral","Upregulated","Neutral","Neutral","Neutral","Neutral","Downregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Downregulated","Neutral","Neutral","Downregulated","Upregulated"
"21","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Upregulated","Neutral","Neutral","Downregulated","Downregulated","Neutral","Neutral","Neutral","Neutral","Downregulated","Downregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Downregulated","Neutral","Neutral","Neutral","Upregulated","Downregulated"
"22","Upregulated","Neutral","Neutral","Neutral","Upregulated","Neutral","Neutral","Neutral","Neutral","Downregulated","Neutral","Neutral","Neutral","Neutral","Upregulated","Upregulated","Neutral","Upregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Upregulated","Neutral","Neutral"
"23","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Upregulated","Neutral","Neutral","Neutral","Upregulated","Neutral","Downregulated","Neutral","Upregulated","Neutral","Neutral","Neutral","Upregulated","Downregulated","Neutral","Neutral","Neutral","Upregulated","Neutral","Neutral","Neutral","Neutral"
"3","Neutral","Neutral","Upregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Downregulated","Neutral","Upregulated","Neutral","Neutral","Upregulated","Downregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Downregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
"4","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Upregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
"5","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Downregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Upregulated","Neutral","Neutral","Upregulated","Neutral","Neutral","Neutral","Neutral","Upregulated","Neutral","Neutral","Downregulated","Upregulated","Downregulated","Neutral"
"6","Neutral","Upregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Upregulated","Neutral","Neutral","Neutral","Upregulated","Upregulated","Neutral","Neutral","Neutral","Upregulated","Downregulated","Downregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Upregulated","Neutral"
"7","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Upregulated","Neutral","Upregulated","Neutral","Neutral","Upregulated","Neutral","Upregulated","Neutral","Neutral","Neutral","Neutral","Neutral"
"8","Neutral","Upregulated","Neutral","Upregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Upregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
"9","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Upregulated","Neutral","Neutral","Neutral","Neutral","Upregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Upregulated","Neutral","Neutral"
