"","10","10H","11","11H","12","13","13H","14","18","19","20","21","22","23","24","25","25H","26","26H","27","28","28_27H","4","5","6","7","8","9","9H"
"TRPM3",0,0,0,0,0.759694123225671,0,0,1.80046109538035,0,0.658180675696499,0,0,0,0,0,0,0,0,0,0,2.22854665683,0,0,0,0,0,0,14.6433318456991,0
"MYH7",0,0,0,0,0,0,0,0,0,0,0,0,0,2.93964297894599,0,0,0,1.92089182751,0,0,0,0,0,0,0,1.08542212510367,0,0,0
"MYH14",0,0,0,0,1.20176806924807,1.22367290047405,0,1.18327445924598,0,1.27085375849975,3.83396337940469,0,0,0,6.1965510159905,0,0,0,0,0,1.18634690922421,0,4.56723192106694,3.47016906008195,1.5890236613587,0,1.26335398288432,0,0
"TP53TG5",0,0,0,0,3.50163957433354,0.946591326023258,1.87911955913528,0,1.70964373912047,0.979198249367767,15.7306511651748,1.72319104242505,0,2.51055591228576,2.11264046882801,0,0,0,0,0,1.77085603023216,0,0,6.748541880926,4.15426036497954,0,0,0.91169628286469,0
"ACE2",0,0,0,0,5.62640450387863,0,0.749929436804992,0,0,1.16412155152195,0,1.75768053604732,3.6209868178511,0.80239976777415,0.744129149809659,0,0,0,0,0,0,1.62784212989174,0,0,0,0.696060479240947,1.60170436335108,0,0
"TSHB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CGA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LHCGR",0,0,0,0,0.980175910512324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97155304506985,0,0,0,0,0
"PTH2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AQP4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMPRSS2",0,0,0,0,0,1.43136336503006,0,0.687155475739503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IGHV3-16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CGB8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNJ18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IGHV3OR16-9",0,0,0,0,0,0,0,0.973301034747888,0,0,0,0,0,0,0,0,7.36536421114802,0,1.87563180975061,0,0,0,0,0,0,1.1585338047142,0,0,0
