"gene","name","symbol","summary","mean","lfc","padj","direction"
"XGY2","XG Y-linked 2 (pseudogene)","XGY2",NA,1.64974249901343,-22.354087545352,8.21042289456094e-08,"Down"
"ENSG00000142539",NA,NA,NA,3.11515485816267,22.9764126532664,1.2705667082692e-05,"Up"
"F8A2","coagulation factor VIII associated 2","F8A2","This gene is part of a region that is repeated three times on chromosome X, once in intron 22 of the F8 gene and twice closer to the Xq telomere. This record represents the middle copy. Although its function is unknown, the observation that this gene is conserved in the mouse implies it has some function. Unlike factor VIII, this gene is transcribed abundantly in a wide variety of cell types. [provided by RefSeq, Jul 2008].",5.05876845721045,22.539385100771,1.67358245651367e-05,"Up"
"ENSG00000285505",NA,NA,NA,3.85596061576209,21.979101679011,3.2794215501126e-05,"Up"
"ENSG00000267793",NA,NA,NA,1.23719330832969,-21.5231261386025,5.34372947492016e-05,"Down"
"TBC1D3K","TBC1 domain family member 3K","TBC1D3K","Predicted to enable GTPase activator activity. Predicted to be involved in activation of GTPase activity and intracellular protein transport. Predicted to be located in plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]",3.29638544009989,21.616450438442,6.54937347761048e-05,"Up"
"KDM5DP1","lysine demethylase 5D pseudogene 1","KDM5DP1",NA,0.798690449672121,-20.8276084569713,0.000145882529398348,"Down"
"RNVU1-18","RNA, variant U1 small nuclear 18","RNVU1-18",NA,7.44579004205998,-8.9869525208669,0.000200160549123079,"Down"
"TBC1D3G","TBC1 domain family member 3G","TBC1D3G","Predicted to enable GTPase activator activity. Predicted to be involved in activation of GTPase activity and intracellular protein transport. Predicted to be located in plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]",4.51099140907968,20.1613462692145,0.000380604768832714,"Up"
"ZNF683","zinc finger protein 683","ZNF683","Enables RNA polymerase II cis-regulatory region sequence-specific DNA binding activity. Involved in T cell receptor signaling pathway; cellular response to ionomycin; and regulation of gene expression. Predicted to be located in nucleus. [provided by Alliance of Genome Resources, Apr 2022]",7.86521046814896,-1.78736825708988,0.000487557238983091,"Down"
"NEFLP1","neurofilament light pseudogene 1","NEFLP1",NA,0.459232211462126,-19.7576543993318,0.000487557238983091,"Down"
"SNTG2","syntrophin gamma 2","SNTG2","This gene encodes a protein belonging to the syntrophin family. Syntrophins are cytoplasmic peripheral membrane proteins that bind to components of mechanosenstive sodium channels and the extreme carboxy-terminal domain of dystrophin and dystrophin-related proteins. The PDZ domain of this protein product interacts with a protein component of a mechanosensitive sodium channel that affects channel gating. Absence or reduction of this protein product has been associated with Duchenne muscular dystrophy. There is evidence of alternative splicing yet the full-length nature of these variants has not been described. [provided by RefSeq, Jul 2008].",4.7030930297172,2.11538509723315,0.00106201145442387,"Up"
"CD248","CD248 molecule","CD248","Predicted to enable extracellular matrix binding activity and extracellular matrix protein binding activity. Predicted to be involved in cell migration. Predicted to act upstream of or within several processes, including anatomical structure regression; lymph node development; and positive regulation of endothelial cell apoptotic process. Located in extracellular exosome. [provided by Alliance of Genome Resources, Apr 2022]",7.38459047945043,1.67798688344402,0.00142180761792129,"Up"
"ENSG00000254732",NA,NA,NA,4.03815429356271,-6.50315558235992,0.00142180761792129,"Down"
"RNU1-3","RNA, U1 small nuclear 3","RNU1-3",NA,7.08003838351565,-12.1010909238346,0.00327206041950078,"Down"
"MPPED2","metallophosphoesterase domain containing 2","MPPED2","This gene likely encodes a metallophosphoesterase. The encoded protein may play a role a brain development. Alternatively spliced transcript variants have been described. [provided by RefSeq, Feb 2009]",5.27239961885374,2.30998278243252,0.00551353092963571,"Up"
"ENSG00000224610",NA,NA,NA,4.40998223377222,2.78509333462885,0.00763082765133077,"Up"
