"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000267541.1",1.55019475578178,-19.8362982513946,2.12617975057284,-9.32954904026824,1.06322309548075e-20,3.13406271854861e-16
"ENSG00000235007.3",6.28279996261346,19.8050859645471,2.36510830377877,8.37386006082862,5.576096939905e-17,5.47888698325266e-13
"ENSG00000238055.1",3.39062241636395,18.3737774495386,2.19321027151042,8.37757222287901,5.40306106216154e-17,5.47888698325266e-13
"ENSG00000177138.17",2.73149364903053,17.7014706400987,2.13286138953561,8.29940038623556,1.04638162850139e-16,7.71104781583388e-13
"ENSG00000239828.8",2.95785710465301,17.2130503057422,2.16431459825832,7.9531184235388,1.81874338266341e-15,1.07222197381539e-11
"ENSG00000278276.1",2.33111749963353,17.6166053571341,2.35512098301516,7.48012755360886,7.42505087287231e-14,3.64780374299429e-10
"ENSG00000258555.6",35.1992148972246,19.9611385916725,2.72207577669766,7.33305764760479,2.24960110107053e-13,9.47307023660801e-10
"ENSG00000176732.7",1.64825857876116,17.3136336166086,2.36996880795111,7.30542678811736,2.76388040114509e-13,1.01838628230692e-09
"ENSG00000254983.1",1.69806692680233,16.8737016498287,2.32911455091631,7.24468517153456,4.33444852155956e-13,1.41962821188901e-09
"ENSG00000160505.16",1.79135592602601,17.5889484851546,2.44619681895527,7.19032432258111,6.46375968693455e-13,1.73211131174336e-09
"ENSG00000273687.1",1.96769072630223,16.7748702770938,2.32986886708389,7.19992035349593,6.02477414452596e-13,1.73211131174336e-09
"ENSG00000260772.1",54.5649113558284,21.1999989766054,3.0191425184358,7.02186095792158,2.18932355730488e-12,5.37789087488966e-09
"ENSG00000254905.1",1.40054337135926,17.1674984906511,2.45318482823828,6.99804527283812,2.59558227888079e-12,5.88538298727454e-09
"ENSG00000287249.1",1.60436091679886,17.6325016543577,2.54016526627393,6.94147813469717,3.88018295371129e-12,8.16972520903911e-09
"ENSG00000270800.3",158.73626792884,4.0033934210904,0.594021970799554,6.7394702854203,1.58965099600084e-11,3.12387616060779e-08
"ENSG00000239570.1",1.18009256756172,16.6829922178438,2.49643565333916,6.68272470613417,2.34539927436731e-11,4.32095840065783e-08
"ENSG00000101311.16",0.932426248611588,-30,4.5385714506753,-6.61000941067839,3.84295593731304e-11,6.6634595390692e-08
"ENSG00000275191.1",1.50096298729574,17.2527827684678,2.61757407064306,6.59113450196629,4.36478227501062e-11,7.14781595113823e-08
"ENSG00000279795.1",1.50717504092572,17.6623095039407,2.71163298458182,6.51353247447849,7.34037267534877e-11,1.13880087026977e-07
"ENSG00000141314.13",2.34797742321064,18.8708571971424,2.90510407961274,6.49575942203695,8.26155894700409e-11,1.2176298654042e-07
"ENSG00000204347.4",2.53068812561786,18.6889969133641,2.89340094831036,6.45917978435646,1.05271987866834e-10,1.47766780302412e-07
"ENSG00000286282.1",1.42813705033066,15.7756957328715,2.46691510277835,6.39490824597255,1.60643790576452e-10,2.15240773401004e-07
"ENSG00000213519.2",1.83612313429791,18.4456249092539,2.89338510215315,6.37510191627353,1.8284132104932e-10,2.34331026981339e-07
"ENSG00000118407.15",2.41339131410305,16.9316798957609,2.66060980654264,6.36383428119549,1.96778448695454e-10,2.41684930508163e-07
"ENSG00000167971.16",2.13202076887035,16.3606814974746,2.61477594846181,6.25701085674245,3.92426104522903e-10,4.62701771320864e-07
"ENSG00000244273.1",1.1160637107392,16.4928840907582,2.66067305144476,6.19876391118498,5.69083194867849e-10,6.4518712827383e-07
