"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"chrX","5/1137",0.153274326958923,0.980515620973806,0,0,1.84707499018453,3.46423712447178,"MED14OS;XGY2;BEX1;F8A2;KLHL4"
"chrY","1/141",0.298253677795296,0.980515620973806,0,0,2.88775510204082,3.49363756094843,"XGY2"
"chr17","5/1529",0.334957815977263,0.980515620973806,0,0,1.34339457567804,1.46933872735397,"VMO1;TBC1D3K;FSCN2;TBC1D3G;GFAP"
"chr22","2/623",0.464343414543031,0.980515620973806,0,0,1.2969001610306,0.994892165640001,"GRAMD4;OGFRP1"
"chr11","4/1651",0.600502832024212,0.980515620973806,0,0,0.966341965629207,0.492822730377034,"ODF3;MPPED2;B3GAT1;CD248"
"chr18","1/411",0.646364767470114,0.980515620973806,0,0,0.972623195619711,0.424444280351694,"CBX3P2"
"chr2","3/1751",0.825431680985407,0.980515620973806,0,0,0.664662349676226,0.127514660774722,"TMEM37;SNTG2;SLC4A10"
"chr5","2/1265",0.833525254250769,0.980515620973806,0,0,0.616488519398258,0.112257182498514,"POLR3G;ADAMTS6"
"chr8","1/996",0.922489005197873,0.980515620973806,0,0,0.388780637883294,0.031366752514967,"DEFA1"
"chr4","1/1031",0.929322144630158,0.980515620973806,0,0,0.374876164057856,0.0274783610969816,"FGFBP2"
"chr9","1/1092",0.939847633091523,0.980515620973806,0,0,0.352775023850053,0.02188528382725,"TMC1"
"chr16","1/1113",0.943102713749043,0.980515620973806,0,0,0.345727499632947,0.0202527445724968,"GPT2"
"chr7","1/1295",0.964960033032012,0.980515620973806,0,0,0.294230829889916,0.0104948003219737,"LRRN3"
"chr1","3/2689",0.972075206478111,0.980515620973806,0,0,0.410259660018061,0.0116194170021244,"ZNF683;CACHD1;PIK3R3"
"chr6","1/1416",0.974680041421055,0.980515620973806,0,0,0.267325304680176,0.00685583130969027,"KCNQ5"
"chr3","1/1513",0.980515620973806,0.980515620973806,0,0,0.248866213151927,0.00489686627220996,"SLC25A20"
