"gene","name","symbol","summary","mean","lfc","padj","direction"
"ENSG00000254732",NA,NA,NA,4.03660328665716,-6.56851166959973,6.63378685786056e-05,"Down"
"XGY2","XG Y-linked 2 (pseudogene)","XGY2",NA,1.43197587080516,-23.954190662949,6.63378685786056e-05,"Down"
"F8A2","coagulation factor VIII associated 2","F8A2","This gene is part of a region that is repeated three times on chromosome X, once in intron 22 of the F8 gene and twice closer to the Xq telomere. This record represents the middle copy. Although its function is unknown, the observation that this gene is conserved in the mouse implies it has some function. Unlike factor VIII, this gene is transcribed abundantly in a wide variety of cell types. [provided by RefSeq, Jul 2008].",5.24737099037149,22.999674266837,9.84240306462867e-05,"Up"
"ENSG00000259132",NA,NA,NA,2.77126148456926,-22.3956835054853,0.000145844334454502,"Down"
"TBC1D3F","TBC1 domain family member 3F","TBC1D3F","Predicted to enable GTPase activator activity. Predicted to be involved in activation of GTPase activity and intracellular protein transport. Predicted to be located in plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]",4.04170307886499,16.2037659137482,0.000145844334454502,"Up"
"ENSG00000269693",NA,NA,NA,3.84034546503822,-21.9354227048505,0.000233205526617776,"Down"
"ENSG00000142539",NA,NA,NA,2.82442787876789,21.5226249050579,0.000275904459910926,"Up"
"ENSG00000284554",NA,NA,NA,4.21090692372676,21.6518110326223,0.000275904459910926,"Up"
"ENSG00000285952",NA,NA,NA,0.358055137623273,-21.7274802372578,0.000275904459910926,"Down"
"ENSG00000285505",NA,NA,NA,3.62430949767413,21.3362633886674,0.000286951879392578,"Up"
"ENSG00000289694",NA,NA,NA,9.29412343331317,-11.1850813444748,0.000286951879392578,"Down"
"RNVU1-18","RNA, variant U1 small nuclear 18","RNVU1-18",NA,7.30880064674854,-9.13398001122697,0.000704864990186103,"Down"
"CD248","CD248 molecule","CD248","Predicted to enable extracellular matrix binding activity and extracellular matrix protein binding activity. Predicted to be involved in cell migration. Predicted to act upstream of or within several processes, including anatomical structure regression; lymph node development; and positive regulation of endothelial cell apoptotic process. Located in extracellular exosome. [provided by Alliance of Genome Resources, Apr 2022]",7.36096014900432,1.58038997252089,0.00113072388741903,"Up"
"DEFA1","defensin alpha 1","DEFA1","Defensins are a family of antimicrobial and cytotoxic peptides thought to be involved in host defense. They are abundant in the granules of neutrophils and also found in the epithelia of mucosal surfaces such as those of the intestine, respiratory tract, urinary tract, and vagina. Members of the defensin family are highly similar in protein sequence and distinguished by a conserved cysteine motif. The protein encoded by this gene, defensin, alpha 1, is found in the microbicidal granules of neutrophils and likely plays a role in phagocyte-mediated host defense. Several alpha defensin genes are clustered on chromosome 8. This gene differs from defensin, alpha 3 by only one amino acid. This gene and the gene encoding defensin, alpha 3 are both subject to copy number variation. [provided by RefSeq, Oct 2014].",10.1680091000496,-12.5763907119922,0.00140745814973605,"Down"
"ENSG00000224610",NA,NA,NA,4.53788949045409,2.67274167907854,0.00171081447619475,"Up"
"KLHL4","kelch like family member 4","KLHL4","This gene encodes a member of the kelch family of proteins, which are characterized by kelch repeat motifs and a POZ/BTB protein-binding domain. It is thought that kelch repeats are actin binding domains. However, the specific function of this protein has not been determined. Alternative splicing of this gene results in two transcript variants encoding different isoforms. [provided by RefSeq, Jul 2008].",2.05186535005815,-4.2534676530003,0.00202735964700404,"Down"
"IGKV6-21","immunoglobulin kappa variable 6-21 (non-functional)","IGKV6-21",NA,3.34718207788537,3.93129778922631,0.00231181105327645,"Up"
"KCNQ5","potassium voltage-gated channel subfamily Q member 5","KCNQ5","This gene is a member of the KCNQ potassium channel gene family that is differentially expressed in subregions of the brain and in skeletal muscle. The protein encoded by this gene yields currents that activate slowly with depolarization and can form heteromeric channels with the protein encoded by the KCNQ3 gene. Currents expressed from this protein have voltage dependences and inhibitor sensitivities in common with M-currents. They are also inhibited by M1 muscarinic receptor activation. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, May 2009].",7.86843289637566,1.39386953893449,0.00329392393578968,"Up"
"RNU1-3","RNA, U1 small nuclear 3","RNU1-3",NA,6.84773843115572,-12.8143161931146,0.00329392393578968,"Down"
"PIK3R3","phosphoinositide-3-kinase regulatory subunit 3","PIK3R3","Phosphatidylinositol 3-kinase (PI3K) phosphorylates phosphatidylinositol and similar compounds, which then serve as second messengers in growth signaling pathways. PI3K is composed of a catalytic and a regulatory subunit. The protein encoded by this gene represents a regulatory subunit of PI3K. The encoded protein contains two SH2 domains through which it binds activated protein tyrosine kinases to regulate their activity. [provided by RefSeq, Jun 2016].",6.97437801734559,-0.991140776132959,0.00556778964578357,"Down"
"FSCN2","fascin actin-bundling protein 2, retinal","FSCN2","This gene encodes a member of the fascin protein family. Fascins crosslink actin into filamentous bundles within dynamic cell extensions. This family member is proposed to play a role in photoreceptor disk morphogenesis. A mutation in this gene results in one form of autosomal dominant retinitis pigmentosa and macular degeneration. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008].",5.21581053326006,1.4415533647659,0.00590053818892346,"Up"
"TIPARP-AS1","TIPARP antisense RNA 1","TIPARP-AS1",NA,2.94137464313382,-2.82654872533853,0.0102880576241597,"Down"
"BEX1","brain expressed X-linked 1","BEX1","Enables RNA polymerase II-specific DNA-binding transcription factor binding activity. Involved in positive regulation of DNA-binding transcription factor activity and positive regulation of transcription by RNA polymerase II. Part of transcription regulator complex. [provided by Alliance of Genome Resources, Apr 2022]",2.78001249642869,-5.33908346957803,0.010730691498217,"Down"
"VWA3A","von Willebrand factor A domain containing 3A","VWA3A","Predicted to be located in extracellular region. [provided by Alliance of Genome Resources, Apr 2022]",2.41447134278403,-4.43762941911825,0.0138069598292688,"Down"
"ZNF683","zinc finger protein 683","ZNF683","Enables RNA polymerase II cis-regulatory region sequence-specific DNA binding activity. Involved in T cell receptor signaling pathway; cellular response to ionomycin; and regulation of gene expression. Predicted to be located in nucleus. [provided by Alliance of Genome Resources, Apr 2022]",7.72918869099633,-1.59753516810822,0.0140169824498266,"Down"
"ODF3","outer dense fiber of sperm tails 3","Odf3",NA,2.09144482229342,5.20477564645602,0.0140169824498266,"Up"
"LRRN3","leucine rich repeat neuronal 3","LRRN3","Predicted to act upstream of or within positive regulation of synapse assembly. Predicted to be integral component of membrane. Predicted to be active in extracellular matrix and extracellular space. [provided by Alliance of Genome Resources, Apr 2022]",8.39697150544661,1.51705535815267,0.0187332765409735,"Up"
"SNTG2","syntrophin gamma 2","SNTG2","This gene encodes a protein belonging to the syntrophin family. Syntrophins are cytoplasmic peripheral membrane proteins that bind to components of mechanosenstive sodium channels and the extreme carboxy-terminal domain of dystrophin and dystrophin-related proteins. The PDZ domain of this protein product interacts with a protein component of a mechanosensitive sodium channel that affects channel gating. Absence or reduction of this protein product has been associated with Duchenne muscular dystrophy. There is evidence of alternative splicing yet the full-length nature of these variants has not been described. [provided by RefSeq, Jul 2008].",4.64566812832746,1.90471219835275,0.0188013558320896,"Up"
"TMEM37","transmembrane protein 37","TMEM37","Predicted to enable calcium channel activity and voltage-gated ion channel activity. Predicted to be involved in calcium ion transmembrane transport and regulation of ion transmembrane transport. Predicted to be integral component of membrane. [provided by Alliance of Genome Resources, Apr 2022]",2.40671970575842,5.12937891321214,0.0248128926656826,"Up"
"ENSG00000273026",NA,NA,NA,2.30543638933171,-3.1310986904482,0.0248128926656826,"Down"
"SLC4A10","solute carrier family 4 member 10","SLC4A10","This gene belongs to a small family of sodium-coupled bicarbonate transporters (NCBTs) that regulate the intracellular pH of neurons, the secretion of bicarbonate ions across the choroid plexus, and the pH of the brain extracellular fluid. The protein encoded by this gene was initially identified as a sodium-driven chloride bicarbonate exchanger (NCBE) though there is now evidence that its sodium/bicarbonate cotransport activity is independent of any chloride ion countertransport under physiological conditions. This gene is now classified as a member A10 of the SLC4 family of transmembrane solute carriers. Alternative splicing results in multiple transcript variants encoding distinct isoforms.[provided by RefSeq, May 2010].",7.98578704025312,1.8980555522976,0.0264737744369154,"Up"
"FOSL1","FOS like 1, AP-1 transcription factor subunit","FOSL1","The Fos gene family consists of 4 members: FOS, FOSB, FOSL1, and FOSL2. These genes encode leucine zipper proteins that can dimerize with proteins of the JUN family, thereby forming the transcription factor complex AP-1. As such, the FOS proteins have been implicated as regulators of cell proliferation, differentiation, and transformation. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2014].",2.89948118299704,-3.41110387618699,0.0264737744369154,"Down"
"VMO1","vitelline membrane outer layer 1 homolog","VMO1","Located in extracellular exosome. [provided by Alliance of Genome Resources, Apr 2022]",4.30974690792208,-2.50679834007425,0.0264737744369154,"Down"
"MPPED2","metallophosphoesterase domain containing 2","MPPED2","This gene likely encodes a metallophosphoesterase. The encoded protein may play a role a brain development. Alternatively spliced transcript variants have been described. [provided by RefSeq, Feb 2009]",5.24244737901982,2.09127843018908,0.0353300418343489,"Up"
"CDR2-DT","CDR2 divergent transcript","CDR2-DT",NA,2.03174264075914,4.1942155071315,0.0357880806949504,"Up"
"CBX3P2","CBX3 pseudogene 2","CBX3P2",NA,5.3022421679802,-1.15012720799576,0.0357880806949504,"Down"
"ENSG00000265337",NA,NA,NA,1.94383460941096,-4.33633952138356,0.0419659188401538,"Down"
